gesture,ax,ay,az,gx,gy,gz
basket,"[61764, 61612, 61612, 62565, 62199, 61826, 61689, 62259, 62706, 63090, 63803, 64369, 64635, 65060, 65221, 65093, 65306, 65100, 64455, 64549, 63907, 62485, 61612, 61612, 64515, 65105, 65200, 65315, 65387, 150, 68, 542, 360, 722, 469, 643, 65510, 65358, 64681, 63810, 63721, 63290, 63110, 62533, 62954, 64172, 64363, 64441, 64671, 64624, 64556, 64563, 64583, 64582, 64589, 64649, 64591, 64580, 64570, 64587]","[65200, 181, 1193, 3229, 840, 1150, 1035, 808, 577, 385, 0, 65431, 65409, 65330, 65341, 65122, 64903, 64559, 64430, 64016, 63997, 65351, 59, 65328, 3900, 762, 65298, 65241, 513, 245, 65446, 65400, 65280, 65274, 65163, 65261, 65273, 65482, 416, 891, 903, 1443, 606, 127, 1750, 2170, 563, 65516, 175, 260, 76, 204, 147, 87, 77, 143, 109, 147, 151, 92]","[64408, 1076, 3924, 1922, 2899, 1652, 1008, 497, 282, 95, 65155, 65152, 64962, 64614, 64722, 64533, 63721, 63408, 63260, 61859, 62794, 63370, 64317, 3342, 2312, 1090, 1483, 507, 653, 460, 278, 121, 45, 65457, 65528, 20, 41, 26, 105, 643, 294, 713, 625, 615, 345, 254, 316, 294, 65528, 65502, 65511, 3, 11, 63, 72, 45, 53, 59, 82, 74]","[62907, 9772, 15669, 59936, 10348, 5976, 65466, 28, 60098, 56442, 55127, 59666, 1744, 6349, 64600, 64929, 546, 912, 7061, 61926, 58088, 2083, 688, 25000, 63682, 40536, 6318, 14548, 3549, 56003, 57255, 64550, 2285, 7483, 10372, 12549, 12298, 14858, 12244, 5655, 10098, 56512, 54201, 22139, 25000, 64434, 56575, 9392, 15533, 8334, 4052, 2701, 65515, 217, 807, 65277, 64428, 64028, 63445, 65201]","[25000, 25000, 25000, 19793, 52145, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 49556, 52917, 17827, 25000, 25000, 25000, 25000, 7029, 51059, 45582, 46208, 55251, 54011, 50130, 53226, 57261, 64143, 2632, 8737, 10575, 16003, 18388, 23812, 21382, 25000, 25000, 22427, 11004, 6576, 2662, 60758, 57268, 60480, 63399, 64676, 425, 996, 401, 195, 711, 939, 930, 422]","[40536, 41020, 40536, 47827, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 22832, 21559, 20805, 16746, 14855, 11838, 3194, 1640, 57715, 40536, 40536, 40536, 40536, 40536, 11556, 25000, 19875, 10237, 9514, 10221, 9911, 6677, 2609, 62117, 55699, 47349, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 50114, 6898, 7741, 6018, 5954, 3416, 1744, 3019, 2783, 2368, 1840, 1705, 1157, 1178, 1458]"
basket,"[62235, 61612, 61612, 61612, 61612, 61670, 61612, 62080, 62035, 62178, 62534, 63321, 63875, 64376, 64655, 64876, 65190, 64858, 64566, 64351, 63578, 61612, 61612, 63574, 65366, 65230, 65373, 98, 60, 337, 542, 504, 775, 694, 779, 332, 547, 65452, 64724, 64416, 63900, 64058, 63711, 63749, 63742, 63957, 64235, 64511, 64551, 64575, 64558, 64579, 64602, 64608, 64592, 64610, 64604, 64600, 64595, 64604]","[64070, 64513, 331, 64499, 3924, 1115, 1154, 858, 1098, 1101, 492, 65472, 65416, 65301, 65500, 65146, 64897, 64600, 64235, 64015, 65039, 65328, 64495, 2138, 1988, 65297, 65008, 178, 62, 65055, 65329, 65220, 65365, 65241, 65062, 65043, 65289, 40, 615, 503, 1574, 1298, 1387, 1140, 596, 1186, 1081, 636, 593, 415, 242, 143, 154, 143, 147, 114, 124, 139, 148, 149]","[63077, 63581, 800, 2593, 2189, 3372, 1629, 895, 460, 521, 35, 65196, 65048, 64725, 64533, 63941, 63444, 63204, 62677, 62242, 63415, 64257, 2161, 2244, 1574, 887, 652, 650, 383, 196, 65478, 0, 65261, 65120, 65231, 65110, 65052, 65269, 426, 591, 1048, 1339, 876, 1161, 966, 697, 617, 366, 332, 167, 114, 80, 74, 58, 70, 70, 96, 112, 126, 126]","[584, 59163, 955, 17973, 57687, 7366, 10162, 59453, 64153, 56228, 48130, 49833, 55184, 1851, 3199, 5149, 2912, 5550, 4918, 60157, 375, 51019, 19528, 22093, 40536, 53790, 15423, 9167, 53419, 60784, 677, 1161, 2027, 64528, 1207, 4218, 8758, 6740, 6669, 5426, 9011, 62600, 7964, 56198, 3740, 17224, 8127, 9849, 6176, 140, 65443, 2731, 2971, 3428, 2119, 1001, 65179, 64354, 64289, 64702]","[25000, 25000, 25000, 25000, 25000, 61942, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 46301, 63007, 25000, 25000, 25000, 25000, 23711, 48933, 41233, 40536, 40536, 40536, 40950, 46198, 55298, 59732, 2085, 8799, 9719, 17725, 25000, 25000, 25000, 25000, 24371, 18263, 22274, 16444, 12662, 9225, 2400, 344, 63655, 63431, 63531, 64246, 64150, 64811, 65237, 362, 544, 484, 344]","[40536, 40536, 40536, 40536, 40536, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 21185, 19080, 18465, 19909, 13731, 7536, 4718, 49250, 40536, 40536, 40536, 40536, 53122, 24259, 25000, 18095, 17577, 13348, 7297, 5101, 911, 63232, 58671, 50581, 43644, 40536, 40536, 40536, 40536, 40536, 40828, 40536, 41981, 45249, 52454, 60643, 64576, 1423, 2671, 2922, 2433, 2303, 2180, 1742, 946, 383, 95, 225]"
basket,"[61772, 61612, 61612, 62239, 62320, 62223, 62306, 62424, 62370, 62772, 63345, 63848, 64265, 64741, 65258, 65161, 65102, 64981, 64401, 64473, 64172, 61612, 61647, 62694, 65053, 65503, 65315, 65313, 65291, 65457, 182, 469, 738, 851, 874, 685, 559, 25, 64902, 64574, 64657, 64430, 64374, 64456, 64078, 63883, 64008, 64380, 64618, 64603, 64610, 64648, 64624, 64610, 64606, 64609, 64613, 64622, 64637, 64617]","[64726, 65302, 553, 3216, 65481, 126, 812, 921, 771, 268, 136, 65324, 65113, 65091, 64959, 64938, 64827, 64504, 64117, 64546, 64923, 65406, 65155, 1062, 2295, 406, 65223, 65423, 3, 65345, 65120, 65167, 65218, 65215, 65049, 64912, 64933, 65174, 208, 825, 1223, 1276, 1289, 534, 758, 612, 1217, 1300, 949, 632, 452, 295, 272, 235, 258, 235, 208, 228, 199, 187]","[64675, 65248, 3490, 2868, 1797, 919, 1037, 747, 659, 297, 65466, 65178, 64820, 64465, 64070, 63978, 63633, 63425, 63004, 63391, 64026, 64425, 399, 3094, 2017, 883, 867, 553, 446, 84, 65357, 64990, 64837, 64723, 64683, 64531, 64517, 64905, 216, 943, 1181, 1490, 1484, 931, 1059, 964, 741, 422, 280, 297, 255, 202, 172, 161, 105, 87, 96, 101, 86, 107]","[50195, 64212, 25000, 53061, 65363, 6762, 6904, 3997, 61201, 64108, 64217, 65259, 9234, 6016, 2420, 4708, 5590, 1042, 2076, 59681, 63577, 56798, 62546, 25000, 50773, 46987, 7320, 8745, 63081, 58221, 63881, 3315, 2845, 63925, 63353, 177, 4083, 4932, 1232, 65504, 3722, 436, 63640, 2488, 4879, 9262, 14318, 9202, 8072, 5565, 65508, 61726, 61252, 63838, 2700, 4174, 3044, 6, 63068, 63446]","[25000, 25000, 25000, 24229, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 43860, 59366, 12555, 25000, 25000, 25000, 25000, 25000, 47013, 40536, 40536, 40536, 40536, 40536, 40536, 44937, 54760, 63280, 4091, 10615, 20609, 25000, 25000, 25000, 25000, 25000, 20178, 16514, 18250, 10102, 7647, 5979, 6714, 6564, 4592, 1925, 898, 65295, 64558, 64942, 38, 349, 521, 741]","[40536, 41544, 40536, 40698, 25000, 23863, 24101, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 20929, 15409, 14441, 7854, 64261, 52165, 40536, 40536, 40536, 40536, 46241, 18475, 22729, 18663, 20627, 17384, 12871, 9204, 5550, 740, 61408, 53924, 44498, 40536, 40536, 40536, 40536, 40536, 45124, 47506, 42296, 40536, 41365, 49964, 61520, 2882, 4640, 3719, 1783, 1623, 2040, 2633, 2305, 1142, 726, 65392]"
basket,"[61884, 61612, 61612, 61612, 62090, 62038, 61788, 61612, 61656, 62363, 62823, 63643, 64401, 64816, 65088, 65444, 65213, 64739, 65063, 64766, 64086, 61612, 61612, 61612, 64962, 65428, 64642, 65242, 125, 424, 593, 856, 791, 803, 409, 65431, 64998, 64609, 64200, 63899, 63561, 63282, 63395, 63685, 64281, 64430, 64460, 64421, 64555, 64547, 64563, 64559, 64603, 64603, 64605, 64589, 64569, 64576, 64584, 64578]","[65121, 488, 1246, 2384, 2068, 731, 889, 1249, 733, 360, 39, 65176, 65292, 65279, 65172, 65037, 65052, 64331, 64092, 63950, 64706, 65175, 65369, 1677, 2985, 378, 65146, 65017, 65200, 65226, 65104, 65126, 65095, 65211, 65223, 228, 830, 708, 1389, 1453, 1234, 1198, 1279, 1395, 1403, 794, 432, 416, 234, 212, 130, 5, 28, 72, 49, 55, 78, 113, 124, 144]","[64715, 398, 2273, 2252, 2757, 2009, 1246, 914, 384, 14, 65202, 64755, 64647, 64570, 64267, 64035, 64221, 63413, 62407, 62395, 63336, 64306, 65202, 2588, 2967, 851, 618, 28, 167, 276, 90, 65412, 65424, 65338, 65360, 65455, 231, 354, 275, 722, 616, 603, 496, 363, 155, 273, 329, 154, 38, 65526, 65503, 65535, 65516, 18, 45, 70, 72, 81, 115, 128]","[51081, 62504, 25000, 7599, 59225, 504, 61366, 63285, 62839, 60642, 57969, 60177, 920, 3508, 6858, 65335, 3598, 3362, 2419, 61069, 64825, 63956, 10771, 25000, 43237, 46034, 10222, 14001, 8651, 360, 63248, 1498, 7296, 7267, 10927, 13264, 3028, 2688, 4984, 3088, 10750, 4728, 2537, 5948, 8184, 7108, 5041, 344, 63123, 65235, 2304, 4506, 4264, 534, 63494, 63287, 64180, 65118, 64883, 64462]","[25000, 25000, 25000, 25000, 21144, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 47376, 40536, 4992, 25000, 25000, 25000, 25000, 25000, 46610, 40536, 40536, 40536, 48975, 59281, 58902, 64172, 1571, 5810, 7926, 14873, 17705, 16019, 17475, 19872, 12730, 10969, 12358, 11379, 8433, 6673, 830, 61680, 61025, 61551, 62182, 63519, 64564, 138, 558, 628, 561, 885, 901, 421]","[40536, 40536, 41212, 40536, 61983, 25000, 20553, 25000, 25000, 25000, 25000, 25000, 22129, 19605, 19937, 12656, 9507, 11790, 63376, 48612, 40536, 40536, 40536, 40536, 40536, 25000, 25000, 25000, 20731, 10189, 939, 61201, 55562, 48414, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 51079, 1421, 2189, 1681, 2400, 2368, 4845, 5121, 3704, 2659, 1903, 1388, 1007, 956, 724, 286]"
basket,"[61851, 61612, 61612, 61921, 62489, 61920, 61857, 61612, 61737, 62674, 63285, 63571, 64036, 64577, 64609, 64795, 65043, 64498, 64422, 64356, 62186, 61612, 62863, 65275, 65484, 65108, 65314, 315, 315, 749, 447, 870, 308, 736, 165, 64998, 64544, 64036, 63874, 63557, 63656, 63580, 63483, 63994, 64384, 64481, 64514, 64610, 64569, 64555, 64575, 64594, 64599, 64611, 64588, 64590, 64595, 64588, 64579, 64581]","[65084, 270, 65373, 3494, 1983, 541, 1036, 1547, 616, 222, 182, 65516, 65236, 65206, 65301, 64808, 64670, 64281, 64097, 64652, 65474, 10, 65022, 1843, 766, 64967, 65280, 65433, 65179, 65160, 64993, 65165, 65039, 50, 65510, 319, 733, 1067, 996, 943, 730, 500, 809, 1251, 1184, 398, 153, 295, 236, 173, 139, 74, 112, 110, 145, 147, 138, 177, 183, 147]","[64232, 104, 2416, 2161, 3050, 1702, 1346, 983, 330, 65465, 65400, 64830, 64460, 64166, 64067, 63473, 63168, 62883, 62272, 63725, 64434, 451, 3351, 1811, 972, 730, 222, 65349, 65393, 65409, 67, 70, 50, 65362, 65438, 238, 538, 809, 869, 1034, 711, 353, 434, 200, 176, 243, 212, 90, 47, 33, 4, 28, 33, 22, 52, 55, 66, 89, 83, 88]","[62687, 63680, 17558, 9411, 60837, 11961, 3525, 56814, 46166, 55757, 58303, 54211, 58553, 4557, 2347, 7304, 4267, 1365, 62572, 56867, 54471, 59132, 21265, 428, 46621, 2311, 14826, 5309, 62574, 2871, 7237, 11216, 11108, 8629, 2250, 4522, 1146, 3616, 2182, 7284, 11056, 16369, 21603, 15255, 5175, 3579, 8597, 4515, 64442, 63784, 65205, 1875, 1793, 1424, 347, 64841, 65377, 65185, 65073, 65446]","[25000, 25000, 25000, 25000, 64528, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 46498, 2526, 25000, 25000, 25000, 25000, 25000, 56754, 43717, 40536, 40536, 40536, 55334, 189, 5854, 8787, 5376, 10729, 20220, 25000, 25000, 25000, 25000, 25000, 18112, 10328, 10459, 6552, 3844, 161, 63116, 61411, 62611, 63120, 63349, 64204, 64552, 65132, 351, 360, 611, 450, 2, 65474]","[40536, 46389, 40536, 40536, 9247, 25000, 25000, 25000, 25000, 25000, 25000, 24568, 19833, 16554, 18263, 19820, 11779, 1815, 57428, 40536, 40536, 46629, 50585, 44817, 9179, 24986, 18793, 18251, 13337, 5980, 906, 60397, 51641, 43185, 40536, 40536, 40536, 40536, 40536, 43063, 47063, 47857, 44940, 48168, 61603, 6541, 5124, 3061, 2818, 1631, 2368, 2726, 1544, 1474, 716, 611, 495, 147, 196, 30]"
basket,"[62121, 61612, 61612, 61771, 62048, 61612, 61739, 62349, 63063, 63478, 64077, 64584, 64863, 64886, 64877, 65109, 64701, 64432, 64170, 63937, 61612, 61612, 62404, 64570, 65060, 64946, 65021, 65494, 65317, 298, 325, 790, 760, 1007, 776, 612, 65432, 64797, 64588, 64118, 63753, 63787, 63706, 63476, 63182, 63795, 64366, 64389, 64473, 64535, 64592, 64603, 64588, 64592, 64599, 64595, 64589, 64572, 64580, 64583]","[65163, 646, 65026, 3028, 1809, 579, 473, 722, 214, 76, 65446, 65296, 65465, 65440, 65194, 64801, 64486, 64002, 64257, 64860, 21, 65350, 387, 2943, 96, 65244, 65488, 172, 65372, 65168, 65032, 65043, 64964, 65060, 65080, 64990, 65205, 706, 915, 987, 1172, 948, 564, 570, 739, 1357, 1010, 211, 176, 65504, 4, 84, 0, 47, 55, 58, 60, 87, 99, 123]","[64429, 1014, 3142, 2566, 3461, 1745, 696, 527, 233, 0, 65030, 64850, 64878, 64724, 64092, 63459, 63019, 62567, 62870, 63980, 64389, 65453, 2645, 2873, 1031, 1207, 712, 274, 156, 65336, 65128, 64836, 64911, 64849, 64742, 64911, 65228, 336, 517, 899, 896, 871, 511, 485, 501, 360, 386, 591, 286, 79, 14, 65531, 44, 86, 93, 102, 86, 108, 124, 133]","[58365, 2956, 11764, 1940, 2317, 712, 63647, 56171, 62295, 61114, 56038, 60698, 3418, 4522, 9503, 6802, 5285, 357, 63492, 59531, 55300, 59540, 25000, 55478, 50235, 9527, 8727, 63856, 55361, 61579, 1561, 4971, 1429, 63400, 63074, 62830, 62380, 62016, 62826, 219, 3732, 781, 3937, 3597, 2700, 63378, 57903, 3103, 4010, 3100, 5867, 4043, 3847, 4936, 3298, 1715, 1067, 173, 536, 6]","[25000, 25000, 25000, 25000, 61819, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 46767, 7029, 25000, 25000, 25000, 25000, 25000, 52182, 40846, 40536, 40536, 40536, 40536, 40536, 46749, 55716, 65385, 3518, 6602, 18139, 25000, 25000, 25000, 25000, 25000, 25000, 18092, 16441, 15897, 13211, 9717, 155, 54754, 54012, 57161, 61198, 64301, 65318, 65427, 65469, 122, 753, 553, 267]","[40536, 49758, 46713, 40536, 14078, 25000, 25000, 24811, 25000, 25000, 22913, 16744, 13109, 15337, 17911, 15670, 10152, 65497, 49526, 40536, 40536, 40536, 40536, 43569, 25000, 25000, 19295, 19779, 16882, 13283, 7888, 2356, 61543, 53945, 47508, 43205, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 60112, 6294, 8066, 7388, 5172, 2846, 2123, 1539, 1718, 1130, 889, 666, 601, 387]"
basket,"[62080, 61612, 61612, 61612, 62196, 61612, 61612, 61670, 62387, 62751, 63422, 64118, 64504, 64754, 65057, 64940, 64711, 64553, 64240, 62427, 61612, 61612, 64228, 65221, 64595, 64813, 65419, 131, 331, 636, 783, 811, 990, 601, 121, 64734, 64543, 64233, 63896, 64089, 63902, 63615, 63392, 63841, 64473, 64499, 64594, 64704, 64611, 64563, 64564, 64570, 64565, 64595, 64586, 64611, 64633, 64621, 64602, 64622]","[64809, 95, 65456, 3319, 2174, 609, 539, 1166, 340, 65377, 65226, 65124, 65147, 65114, 65055, 64684, 64122, 63941, 64456, 65459, 65315, 64932, 3362, 1749, 64958, 64969, 65275, 65398, 65115, 65029, 64879, 65091, 64876, 64840, 65025, 419, 1078, 1408, 1507, 1553, 611, 511, 1069, 1718, 1440, 420, 76, 226, 343, 256, 216, 230, 282, 160, 101, 116, 187, 202, 147, 199]","[64605, 65526, 1365, 1774, 2374, 956, 688, 196, 173, 65298, 64766, 64433, 64465, 64071, 63569, 63441, 62654, 62500, 63128, 64349, 64917, 2552, 3581, 1237, 797, 336, 65524, 65517, 3, 65415, 65502, 65269, 64999, 65011, 65160, 191, 424, 827, 1098, 747, 680, 379, 61, 44, 65512, 143, 149, 51, 60, 80, 15, 3, 16, 28, 60, 63, 42, 66, 101, 88]","[49665, 4852, 18350, 10634, 59595, 62929, 65413, 57643, 51077, 54602, 57892, 60129, 1267, 7367, 7801, 4234, 64920, 60216, 63175, 58072, 64706, 24394, 60867, 40536, 62076, 15724, 13129, 63284, 60379, 64664, 9394, 6520, 8154, 11322, 13272, 8675, 1322, 64516, 12234, 2774, 60914, 16331, 25000, 19006, 59825, 55224, 61999, 65354, 61474, 60834, 80, 3016, 1751, 307, 746, 910, 64767, 62557, 62668, 63610]","[25000, 25000, 25000, 25000, 56244, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 42758, 61014, 25000, 25000, 25000, 25000, 25000, 11089, 40536, 40536, 40536, 40536, 47165, 53988, 59153, 63795, 62620, 64240, 7778, 17978, 25000, 25000, 25000, 21342, 9961, 14188, 12372, 6419, 4530, 2008, 593, 63909, 63643, 65431, 64987, 64117, 64664, 115, 611, 1105, 827, 1036, 1573, 1325, 878]","[40536, 40536, 45442, 40536, 9245, 25000, 25000, 25000, 25000, 25000, 25000, 21700, 16510, 15574, 16332, 14028, 7152, 55225, 40536, 40536, 40536, 40536, 40536, 6684, 25000, 25000, 25000, 20370, 12292, 7153, 2861, 60531, 54887, 45244, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 43283, 61062, 8217, 5678, 1750, 1410, 1630, 3118, 4416, 5049, 5891, 4962, 3273, 1840, 1028, 265, 64772]"
basket,"[61690, 61612, 61612, 62208, 62376, 61662, 61993, 62411, 62626, 63351, 64011, 64496, 64947, 65023, 64955, 64877, 64385, 64328, 64071, 62397, 62040, 62011, 65162, 65161, 64949, 65279, 316, 373, 544, 540, 720, 830, 805, 887, 579, 146, 65025, 64677, 64501, 64105, 63845, 63755, 63856, 63447, 63537, 64338, 64433, 64472, 64562, 64642, 64670, 64624, 64589, 64561, 64634, 64621, 64617, 64612, 64602, 64604]","[65136, 242, 326, 2904, 738, 809, 1079, 743, 221, 65212, 65074, 65099, 65116, 65186, 64745, 64530, 64022, 64012, 64849, 65389, 65379, 21, 1871, 1138, 64907, 65027, 65375, 65509, 65294, 64931, 64935, 64957, 64978, 64729, 64612, 64917, 65388, 229, 823, 604, 1334, 607, 936, 515, 1178, 1239, 805, 387, 378, 331, 213, 207, 232, 188, 134, 121, 80, 103, 134, 144]","[64592, 571, 2910, 2609, 2049, 1378, 1091, 701, 184, 65317, 64922, 64757, 64328, 64162, 63778, 63361, 62891, 63111, 64068, 64751, 65480, 3392, 2562, 921, 536, 93, 65465, 65379, 65189, 65094, 64774, 64702, 64487, 64298, 64482, 65028, 65531, 344, 741, 667, 1266, 811, 661, 678, 733, 491, 610, 485, 224, 72, 64, 113, 152, 124, 84, 92, 135, 145, 148, 158]","[45690, 59916, 14487, 64765, 2494, 8495, 7377, 1248, 63851, 3727, 7570, 14036, 12338, 11524, 7487, 7262, 1450, 60924, 63875, 52197, 252, 25000, 58489, 40536, 63782, 21345, 15021, 991, 59523, 62938, 65177, 65525, 64741, 93, 64468, 64649, 57421, 59399, 53620, 64214, 3869, 7696, 6912, 65047, 2259, 2925, 7746, 10048, 6842, 65408, 61216, 62296, 63429, 65256, 545, 685, 308, 64813, 64429, 64571]","[25000, 25000, 25000, 2558, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 52413, 5690, 25000, 25000, 25000, 25000, 25000, 51282, 40536, 40536, 40536, 40536, 45015, 51905, 53640, 57499, 61506, 64239, 5204, 19255, 25000, 25000, 25000, 25000, 25000, 25000, 10322, 6828, 9486, 12933, 12578, 10805, 666, 59745, 60810, 64410, 578, 119, 64644, 64355, 65476, 469, 808, 1059, 1083]","[40536, 40536, 49719, 60395, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 23824, 23171, 18862, 11566, 3451, 49331, 40536, 40536, 40646, 49031, 51051, 7704, 25000, 23023, 17325, 12773, 11864, 10366, 4347, 63850, 57765, 53135, 41707, 40536, 40536, 40536, 40536, 40536, 40536, 45667, 44517, 41096, 40536, 47251, 62632, 3166, 4119, 3790, 2072, 440, 1177, 2082, 2491, 2269, 1664, 867, 286, 77]"
basket,"[61760, 61612, 61612, 61887, 62433, 61612, 61612, 61831, 62440, 62618, 63129, 63605, 63805, 64490, 64779, 64704, 64655, 64582, 65011, 64426, 62238, 62475, 63017, 65448, 65130, 64949, 65283, 114, 228, 586, 514, 808, 624, 814, 548, 523, 58, 65126, 64515, 64572, 64273, 63973, 64180, 64271, 63916, 63559, 63480, 64298, 64504, 64480, 64677, 64712, 64632, 64574, 64557, 64575, 64605, 64628, 64624, 64646]","[64994, 65433, 64637, 3924, 1968, 451, 961, 1189, 580, 460, 65456, 65241, 65107, 64918, 64808, 64530, 64436, 64394, 64467, 64946, 65343, 359, 636, 2696, 144, 64779, 39, 0, 65215, 65175, 64938, 64957, 64871, 64856, 64887, 64844, 64927, 120, 384, 1666, 1352, 1379, 683, 440, 408, 609, 1337, 1438, 668, 391, 159, 169, 312, 165, 176, 208, 136, 170, 171, 124]","[64154, 65156, 1028, 1901, 2459, 1298, 993, 665, 710, 249, 65187, 64946, 64516, 63760, 63452, 63260, 63085, 63106, 63542, 64069, 64788, 820, 3322, 1740, 981, 622, 244, 65469, 65299, 65015, 64949, 64725, 64724, 64575, 64592, 64546, 64822, 65400, 256, 252, 837, 1072, 847, 395, 338, 245, 450, 174, 427, 361, 159, 134, 167, 154, 75, 25, 13, 35, 48, 57]","[51839, 51694, 21336, 15002, 47358, 8047, 8574, 58343, 63364, 61806, 59170, 64080, 2263, 4052, 6065, 5637, 5449, 64368, 60217, 63467, 64027, 2895, 22586, 51449, 40873, 21430, 23632, 1137, 59167, 59699, 63068, 64397, 1054, 1250, 863, 65424, 1675, 537, 64770, 63287, 47147, 47728, 61916, 14970, 16457, 16631, 5591, 54227, 4900, 7899, 1905, 617, 59585, 57768, 63112, 1140, 4143, 3681, 1078, 64443]","[25000, 25000, 25000, 25000, 60231, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 47020, 1142, 21367, 25000, 25000, 25000, 25000, 25000, 47688, 40536, 40536, 40536, 40536, 41207, 46855, 51827, 57972, 63260, 2452, 4354, 11987, 24534, 25000, 25000, 25000, 25000, 23223, 12101, 11085, 12000, 9985, 7498, 64542, 62617, 62095, 63586, 23, 711, 64462, 63025, 63486, 64229, 65250, 14, 369]","[40536, 40536, 52371, 40536, 10264, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 20265, 14684, 3080, 60842, 50437, 40536, 40536, 43485, 40536, 46652, 15950, 25000, 25000, 24770, 14600, 11517, 8706, 3054, 62585, 55593, 49118, 42825, 40536, 40536, 40536, 40536, 40536, 40536, 44782, 47409, 41807, 40536, 40536, 51911, 5368, 11349, 8426, 3501, 1072, 936, 839, 2105, 2578, 2096, 1382, 492]"
basket,"[61612, 61612, 61612, 61612, 62270, 61612, 61697, 62241, 62767, 63297, 63777, 64096, 64329, 65041, 64773, 64615, 64501, 64671, 63333, 61612, 61612, 64865, 65290, 64571, 64890, 366, 378, 650, 605, 859, 595, 408, 65222, 64678, 64573, 64221, 63757, 64087, 63774, 63653, 63632, 64032, 64600, 64565, 64631, 64565, 64594, 64597, 64557, 64537, 64521, 64512, 64604, 64628, 64631, 64625, 64613, 64600, 64611, 64607]","[65265, 56, 64535, 3924, 1990, 669, 1147, 1182, 490, 65476, 65345, 65086, 64975, 64852, 64679, 64098, 63912, 64543, 65174, 65479, 95, 2055, 2007, 65143, 64643, 65101, 65171, 65005, 64891, 64823, 64879, 64971, 65339, 812, 1165, 1297, 1511, 750, 443, 549, 1132, 1674, 1284, 497, 252, 210, 444, 250, 145, 217, 155, 102, 143, 136, 135, 174, 223, 248, 252, 273]","[63812, 64673, 1493, 3166, 1326, 1259, 592, 399, 129, 65459, 65183, 64934, 64371, 63590, 63364, 62181, 62268, 63080, 63750, 65119, 2819, 2401, 740, 89, 65243, 65133, 65496, 144, 252, 408, 322, 83, 38, 251, 623, 389, 1156, 794, 331, 50, 65432, 65346, 65174, 65423, 110, 240, 289, 153, 13, 13, 61, 59, 59, 45, 32, 49, 45, 47, 45, 54]","[58025, 50447, 15638, 25000, 47047, 15165, 63812, 54738, 57638, 62631, 59416, 63115, 5211, 4515, 7378, 3080, 60052, 60436, 56648, 63929, 25000, 64906, 40536, 41025, 16398, 25000, 13178, 4197, 6963, 9384, 10373, 18395, 22008, 14143, 58739, 65394, 58294, 5873, 25000, 25000, 25000, 5578, 52575, 57470, 2505, 6883, 428, 56221, 59650, 64041, 1205, 4622, 4273, 866, 64249, 63348, 63757, 64402, 65066, 65416]","[25000, 25000, 25000, 23559, 43099, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 53811, 25000, 25000, 25000, 25000, 25000, 80, 40536, 40536, 40536, 41084, 63631, 4264, 10650, 12672, 3299, 4879, 9372, 13998, 16184, 22337, 25000, 18909, 6422, 296, 61173, 57018, 61634, 5494, 10944, 7994, 2527, 63274, 62191, 64240, 13, 65115, 65237, 65177, 65514, 304, 46, 35, 16, 58]","[40536, 40536, 47540, 44574, 23236, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 23360, 21213, 13537, 57193, 40536, 40536, 40536, 46335, 40536, 2726, 25000, 25000, 25000, 15247, 3304, 62211, 54050, 46597, 41359, 40536, 40536, 40536, 40536, 40536, 43806, 48339, 44365, 40536, 42113, 59250, 8801, 10710, 5619, 2182, 2397, 1757, 2504, 3976, 4810, 4313, 2886, 1040, 64903, 64400, 64399, 64502, 64486]"
