gesture,ax,ay,az,gx,gy,gz
basket,"[62129, 61612, 61905, 63322, 64061, 63550, 63766, 64157, 64283, 64476, 64892, 64751, 65053, 65380, 10, 335, 507, 551, 592, 679, 535, 424, 65491, 65399, 64706, 61612, 62318, 65248, 296, 600, 591, 496, 722, 582, 593, 668, 659, 822, 730, 839, 761, 668, 452, 276, 65312, 355, 74, 482, 451, 761, 612, 540, 427, 65265, 65153, 64573, 64615, 64306, 63947, 63808]","[397, 1474, 2140, 2501, 1872, 798, 1091, 844, 881, 808, 617, 816, 441, 381, 141, 65457, 65251, 65247, 65022, 65003, 64825, 64688, 64270, 63877, 64151, 64944, 1270, 1215, 87, 65424, 52, 152, 243, 199, 147, 233, 156, 34, 186, 94, 28, 217, 395, 511, 243, 89, 65371, 65228, 65139, 65487, 65220, 65154, 273, 65388, 749, 471, 1400, 909, 981, 549]","[198, 2004, 2416, 3548, 1485, 1727, 1373, 893, 841, 578, 379, 627, 228, 3, 65087, 64695, 64513, 64647, 64401, 64395, 64223, 64118, 63847, 63481, 63619, 64777, 3924, 1364, 1327, 824, 818, 848, 593, 910, 642, 724, 634, 449, 564, 547, 529, 740, 902, 997, 852, 330, 244, 65517, 65533, 65328, 65472, 65440, 203, 302, 542, 808, 916, 1167, 1232, 787]","[58397, 61472, 43092, 62756, 6231, 5461, 4625, 59554, 62834, 65453, 61307, 61439, 51751, 56910, 54211, 60634, 58879, 61874, 64310, 64650, 5315, 2404, 1311, 61981, 53568, 43095, 55529, 56144, 62227, 2188, 63111, 2100, 2277, 730, 64681, 3569, 1015, 2214, 737, 932, 364, 2626, 54, 220, 62745, 62403, 59295, 1870, 5912, 5336, 64637, 11230, 8708, 11826, 17484, 11878, 9850, 8008, 5825, 5662]","[25000, 25000, 25000, 605, 50458, 57071, 48844, 45397, 45060, 40536, 42180, 40536, 40536, 40536, 40536, 40536, 40536, 46510, 47109, 51665, 52881, 59604, 1610, 23312, 25000, 25000, 25000, 62740, 62031, 61568, 434, 61472, 62921, 64778, 62141, 63357, 60697, 62238, 64761, 64252, 589, 1384, 1464, 65088, 58900, 54052, 58056, 59761, 63812, 3192, 11557, 15314, 24178, 21750, 25000, 20159, 20399, 20666, 10100, 5273]","[40536, 40536, 47218, 58484, 16149, 24168, 20102, 22965, 19921, 23918, 21398, 25000, 25000, 25000, 25000, 25000, 23681, 18724, 14545, 11094, 6041, 2420, 64117, 45104, 40536, 40536, 50235, 57200, 9634, 1171, 1269, 817, 1686, 1579, 2490, 2108, 3756, 2516, 1099, 2067, 65013, 64095, 64351, 2592, 8094, 12599, 11505, 8723, 3969, 64669, 63237, 51876, 49477, 45320, 40536, 40536, 40536, 40536, 40536, 40536]"
basket,"[62098, 61612, 61612, 62533, 64647, 63887, 64020, 63723, 63494, 63682, 63771, 63936, 64194, 64381, 64741, 65063, 8, 114, 65532, 49, 10, 49, 65397, 65501, 64954, 64288, 61612, 61612, 65119, 394, 535, 623, 368, 494, 544, 579, 539, 520, 605, 557, 654, 624, 587, 562, 613, 524, 400, 309, 545, 366, 209, 299, 214, 226, 323, 235, 422, 401, 65344, 65103]","[65474, 896, 2846, 1288, 2757, 65325, 509, 1441, 1102, 1106, 1056, 1012, 784, 455, 288, 65524, 65365, 65293, 65201, 65078, 64810, 64776, 64687, 64527, 63943, 63882, 64643, 1936, 62, 1552, 65092, 466, 158, 369, 153, 234, 225, 309, 316, 220, 297, 224, 341, 325, 276, 260, 276, 65458, 146, 203, 104, 494, 44, 398, 227, 196, 415, 660, 949, 947]","[74, 1388, 3027, 3746, 1071, 1832, 2435, 2190, 1556, 1131, 820, 464, 146, 65478, 65177, 64857, 64498, 64492, 64372, 64058, 63927, 63844, 63903, 63732, 63622, 63134, 64707, 3563, 2238, 1730, 1204, 664, 1019, 754, 827, 810, 845, 771, 665, 747, 662, 645, 808, 699, 629, 579, 432, 320, 56, 382, 625, 548, 636, 423, 461, 456, 375, 448, 524, 949]","[53154, 5748, 46459, 57216, 13385, 50882, 9526, 1123, 6365, 3059, 60600, 59087, 53251, 55379, 52195, 59808, 59143, 60564, 64938, 3510, 4371, 6633, 7023, 3460, 65268, 55851, 47380, 55523, 40536, 2822, 64950, 64742, 62181, 389, 2806, 702, 65326, 148, 65123, 1274, 434, 842, 65531, 230, 65054, 64745, 64949, 4086, 6389, 65070, 6336, 4422, 4177, 6958, 5119, 7345, 7875, 6482, 2494, 1406]","[25000, 25000, 25000, 6115, 56727, 7560, 61378, 44569, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 44172, 50046, 58266, 64051, 8259, 25000, 25000, 25000, 25000, 6537, 62887, 60163, 64373, 1115, 63380, 65116, 63956, 65223, 62086, 64295, 64650, 63144, 65485, 64588, 62492, 63323, 64121, 63596, 62764, 63990, 4776, 4293, 2641, 3292, 1107, 3852, 5401, 8251, 13635, 16593, 21481]","[40536, 40536, 40536, 48459, 9877, 23882, 2881, 14541, 19098, 23792, 24682, 25000, 25000, 25000, 25000, 25000, 23474, 15797, 10081, 6479, 1397, 60629, 55907, 53708, 40536, 40536, 40536, 40536, 53936, 9498, 4145, 1808, 650, 773, 1591, 422, 187, 308, 844, 204, 949, 65385, 44, 942, 1622, 1117, 2460, 2580, 971, 608, 64809, 1288, 863, 62810, 62647, 56782, 51056, 48196, 46066, 46079]"
basket,"[61612, 61612, 61612, 62104, 62613, 63075, 63121, 63022, 63260, 63702, 63759, 64013, 64290, 64608, 65148, 65357, 65387, 65496, 65474, 65374, 65008, 64969, 64615, 61612, 63215, 63660, 64720, 255, 366, 404, 275, 344, 160, 183, 65387, 119, 64954, 65121, 64658, 64613, 64256, 64974, 63965, 64187, 64212, 64127, 64539, 64394, 64547, 64809, 64725, 64630, 64643, 64711, 64746, 64741, 64787, 64749, 64715, 64713]","[64854, 2090, 2194, 1971, 2303, 703, 1031, 1497, 1147, 701, 773, 445, 283, 182, 65439, 65247, 65123, 64970, 64935, 64785, 64404, 64103, 63992, 65516, 1306, 64974, 1477, 260, 17, 65515, 65435, 1, 65514, 65467, 100, 87, 83, 402, 329, 65490, 659, 587, 343, 1603, 393, 1178, 173, 574, 786, 65467, 403, 520, 556, 441, 389, 291, 277, 379, 375, 347]","[64677, 1966, 1738, 2368, 2385, 1840, 1333, 1215, 739, 362, 65473, 65175, 64836, 64678, 64346, 64031, 63952, 63695, 63669, 63575, 63248, 62925, 62722, 300, 1272, 2027, 2382, 925, 743, 828, 705, 334, 268, 294, 208, 238, 497, 685, 917, 880, 668, 558, 1238, 994, 1252, 1010, 1047, 937, 501, 874, 758, 482, 319, 196, 177, 212, 196, 262, 310, 277]","[57881, 9790, 8249, 55492, 1474, 5981, 4532, 3717, 59588, 54387, 52367, 48968, 52617, 57288, 58162, 61806, 63219, 3653, 7531, 9828, 10311, 2047, 60824, 54310, 58446, 43763, 8963, 57734, 5755, 59775, 63187, 64024, 64917, 1654, 569, 2768, 215, 4040, 58018, 3843, 16205, 4194, 8941, 1234, 62767, 148, 64201, 7222, 391, 293, 7128, 7449, 2807, 64528, 62538, 64021, 1015, 2462, 664, 1200]","[25000, 25000, 25000, 25000, 6426, 48290, 46959, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 45785, 53003, 55455, 63526, 22029, 25000, 25000, 25000, 25000, 8879, 62041, 65283, 1529, 2037, 842, 4162, 7013, 8958, 13440, 19647, 19144, 22244, 21327, 16602, 20602, 25000, 12431, 14304, 8431, 6060, 1021, 63003, 3556, 64417, 61823, 61767, 62918, 64200, 64555, 65337, 878, 579, 56]","[40536, 40536, 48767, 42720, 681, 20454, 14525, 24677, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 21539, 11707, 5160, 64173, 60098, 56717, 44859, 40536, 40536, 40871, 40536, 59698, 6983, 3926, 2049, 64609, 65382, 144, 62827, 60738, 61084, 55734, 57986, 56178, 55715, 55781, 58793, 49633, 53664, 61295, 58168, 3471, 63028, 3769, 3460, 62939, 1406, 2993, 3246, 3427, 2755, 1433, 65511, 299, 65102]"
basket,"[61836, 61612, 61612, 61612, 61971, 62924, 62989, 63041, 63117, 63334, 63505, 63907, 64563, 64667, 65232, 32, 68, 162, 155, 239, 65327, 100, 65493, 62849, 62492, 64196, 65350, 135, 340, 341, 318, 346, 441, 429, 386, 393, 407, 497, 426, 457, 409, 403, 375, 361, 449, 254, 296, 277, 124, 293, 198, 427, 65535, 238, 65162, 65279, 64877, 64625, 64474, 64538]","[64793, 67, 2345, 2475, 1736, 276, 1299, 1008, 1058, 944, 606, 418, 65276, 235, 65052, 65110, 64814, 64869, 64893, 64658, 64213, 63878, 64038, 64779, 1049, 288, 572, 406, 62, 218, 232, 282, 286, 178, 228, 249, 244, 266, 345, 301, 338, 371, 332, 401, 298, 350, 400, 187, 65478, 65467, 65335, 262, 19, 361, 328, 570, 429, 839, 1090, 576]","[64541, 64838, 1895, 3112, 978, 918, 953, 547, 90, 91, 65324, 65261, 64638, 65157, 64191, 64332, 64235, 64433, 64363, 64229, 63964, 63396, 63416, 64662, 1641, 1953, 784, 1314, 1161, 734, 1009, 926, 767, 879, 935, 846, 769, 778, 883, 880, 853, 857, 869, 747, 633, 696, 402, 255, 183, 149, 131, 217, 515, 475, 830, 785, 877, 855, 1161, 947]","[63090, 65520, 40536, 25000, 53851, 17725, 51554, 47563, 52694, 49294, 51979, 54184, 58882, 1651, 4756, 314, 835, 65069, 2816, 998, 2905, 60460, 59122, 47025, 63604, 52322, 1915, 61890, 64935, 65115, 2491, 1499, 65426, 1293, 65338, 1470, 1396, 2140, 212, 65416, 888, 65298, 2121, 659, 1225, 811, 244, 63945, 64150, 1266, 2259, 3959, 599, 6832, 4232, 9231, 5090, 9868, 4152, 330]","[25000, 25000, 25000, 10166, 40536, 46733, 51502, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 51971, 57743, 59501, 63689, 492, 22863, 25000, 25000, 25000, 64448, 2157, 7049, 61365, 410, 2951, 63278, 65515, 868, 63963, 63834, 63801, 65116, 995, 64789, 144, 523, 64725, 63690, 63854, 65205, 60712, 62030, 63430, 64901, 2303, 10751, 13212, 14300, 18743, 16389, 19420, 19135, 18288, 16187]","[40536, 40536, 40536, 58784, 25000, 25000, 16471, 19038, 22507, 24469, 25000, 25000, 25000, 25000, 25000, 23914, 12525, 5791, 3460, 1153, 63121, 47969, 40536, 40536, 40536, 61816, 61796, 91, 2336, 65277, 193, 1282, 1165, 1523, 708, 867, 1161, 827, 43, 164, 64935, 64964, 415, 630, 1333, 1392, 3676, 6338, 5963, 4353, 903, 61281, 62046, 56541, 56175, 53016, 50328, 46446, 50722, 51101]"
basket,"[61612, 61612, 61664, 64036, 63817, 64178, 63819, 63653, 63887, 63869, 63952, 64068, 64218, 64565, 64781, 64999, 65270, 6, 8, 150, 9, 65445, 65355, 65201, 65167, 64743, 64311, 61612, 61612, 64516, 503, 512, 498, 479, 520, 413, 433, 493, 496, 295, 431, 206, 159, 166, 322, 49, 318, 65473, 127, 65072, 64935, 64162, 64115, 63632, 63799, 63994, 64129, 64372, 64508, 64736]","[65279, 1398, 3545, 1332, 375, 508, 616, 924, 627, 1092, 965, 767, 629, 324, 174, 0, 65453, 65343, 65320, 65172, 65101, 64878, 64771, 64675, 64633, 64161, 62997, 64310, 2502, 229, 1669, 65032, 554, 7, 526, 179, 115, 14, 86, 151, 227, 113, 315, 261, 65522, 65399, 124, 65300, 160, 40, 398, 225, 582, 859, 746, 1031, 732, 1115, 759, 505]","[65014, 2397, 3924, 789, 1454, 1130, 1562, 1147, 847, 569, 354, 150, 65470, 65258, 65144, 64893, 64595, 64366, 64198, 63823, 63832, 63692, 63763, 63856, 63592, 63357, 62405, 65318, 3290, 2818, 1557, 1027, 932, 1272, 786, 925, 815, 648, 557, 815, 721, 841, 725, 186, 237, 237, 97, 211, 315, 493, 891, 1127, 1039, 1376, 885, 691, 912, 767, 638, 653]","[53508, 2794, 48831, 7825, 7668, 60811, 2352, 1682, 6561, 1007, 60708, 60336, 56055, 55060, 53631, 56341, 58491, 61812, 313, 2912, 6279, 8736, 10058, 9988, 9514, 63644, 46980, 54031, 44567, 57736, 59472, 740, 61599, 62499, 65416, 582, 42, 1657, 64750, 64976, 64452, 1400, 4971, 3318, 64985, 1998, 1590, 65173, 4425, 1326, 5789, 260, 10670, 7728, 11694, 7800, 11059, 12742, 8806, 21953]","[25000, 25000, 59170, 48226, 3797, 2936, 61522, 47833, 45213, 40607, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 44114, 50937, 58356, 63891, 6007, 24901, 25000, 25000, 25000, 17047, 4705, 63685, 4854, 65394, 65429, 498, 63688, 62132, 825, 997, 65263, 64543, 59898, 59080, 2247, 4461, 8635, 14521, 19075, 23251, 25000, 23812, 23657, 21784, 11474, 14102, 11581, 5511, 2827, 759]","[40536, 40536, 51068, 15819, 14741, 2385, 8698, 12924, 16214, 16261, 18773, 22804, 25000, 25000, 25000, 25000, 23535, 18623, 15007, 10876, 5639, 334, 60347, 52437, 46871, 46481, 40536, 40536, 41294, 48187, 5680, 3332, 200, 645, 291, 2056, 753, 2149, 65257, 166, 955, 1808, 1963, 4925, 4775, 64431, 64358, 58954, 55670, 51934, 47881, 45835, 40536, 41402, 43627, 45860, 49341, 53746, 59152, 58846]"
basket,"[61890, 61612, 61699, 63294, 63931, 63922, 63606, 63492, 63688, 63800, 63964, 64204, 64544, 64926, 65156, 65393, 65371, 65487, 65506, 65479, 65420, 65316, 65217, 64695, 64309, 61612, 61612, 63116, 65028, 434, 434, 266, 224, 273, 194, 254, 194, 236, 207, 48, 178, 65382, 65359, 65325, 65470, 64988, 65115, 64646, 64917, 64632, 65091, 64598, 64559, 64769, 64722, 64781, 64984, 64819, 64688, 64664]","[65212, 2744, 1524, 1688, 343, 973, 1501, 955, 1060, 616, 522, 277, 186, 111, 65513, 43, 65, 65446, 65520, 65309, 65362, 65153, 64995, 64734, 64310, 65213, 2190, 811, 1188, 215, 65476, 312, 374, 164, 267, 121, 50, 70, 43, 164, 296, 229, 191, 390, 615, 474, 739, 732, 1034, 1041, 1116, 847, 1161, 950, 540, 663, 592, 316, 302, 406]","[65366, 3312, 3822, 2006, 1355, 1374, 1441, 925, 403, 65, 65306, 65140, 65020, 64867, 64665, 64471, 64205, 63710, 63526, 63379, 63313, 63163, 63251, 63436, 63358, 64942, 1671, 3204, 2218, 975, 1256, 1237, 1040, 1053, 845, 660, 629, 342, 430, 407, 481, 508, 846, 534, 407, 545, 961, 1004, 694, 736, 733, 1085, 820, 643, 766, 546, 249, 476, 534, 396]","[50599, 14417, 46203, 20841, 2138, 15218, 590, 3407, 62656, 59789, 52998, 50762, 55330, 52408, 56662, 58710, 61362, 762, 5188, 9653, 16962, 21241, 19093, 10386, 62463, 64578, 7832, 40536, 3054, 59550, 167, 64293, 63357, 2707, 2794, 1328, 1849, 65501, 2706, 2961, 148, 24, 6305, 10807, 5354, 3440, 5003, 4989, 8298, 6875, 1300, 64590, 5331, 63483, 5569, 8426, 1281, 60512, 64857, 5389]","[25000, 25000, 21488, 55330, 57180, 63845, 55430, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 45573, 50533, 56084, 59509, 4995, 24236, 25000, 25000, 25000, 25000, 65098, 2497, 5116, 1142, 1414, 166, 63382, 64352, 65283, 64520, 4226, 4668, 7805, 9370, 7736, 2291, 7489, 13030, 16407, 9560, 8092, 9699, 10051, 9745, 2788, 2372, 688, 60579, 64082, 4940, 4990, 3651]","[40536, 40536, 55974, 9069, 21495, 9023, 18649, 23568, 25000, 25000, 25000, 25000, 23674, 21705, 18704, 13436, 11787, 6405, 65238, 59204, 54394, 52452, 48837, 42672, 40536, 40536, 40536, 47229, 61237, 4861, 65049, 64546, 65074, 65476, 582, 614, 36, 65302, 63639, 61345, 61999, 60676, 62323, 57776, 58186, 52783, 53724, 51030, 51429, 52189, 54807, 53158, 56379, 62250, 62989, 64371, 351, 64368, 60365, 59580]"
basket,"[61748, 61612, 61883, 63440, 63449, 63955, 64236, 64314, 64302, 64443, 64556, 64603, 64619, 64682, 64822, 65139, 65344, 18, 230, 239, 311, 378, 285, 315, 306, 280, 107, 65363, 65331, 63043, 62248, 64152, 65530, 497, 437, 437, 481, 569, 443, 468, 533, 466, 436, 443, 372, 308, 205, 333, 279, 201, 168, 65429, 117, 65035, 65186, 64559, 64952, 64662, 64468, 64218]","[65272, 2490, 589, 3209, 510, 109, 508, 591, 967, 800, 973, 1011, 765, 621, 399, 141, 178, 94, 31, 52, 65493, 65373, 65245, 65233, 65249, 65134, 65085, 64836, 64208, 64866, 1123, 697, 1123, 371, 134, 430, 77, 309, 378, 299, 283, 117, 206, 198, 304, 233, 154, 56, 243, 17, 220, 395, 531, 577, 925, 834, 1366, 947, 580, 777]","[40, 3210, 3237, 2293, 1505, 1466, 1637, 1367, 1354, 931, 634, 446, 315, 4, 65402, 65142, 65096, 64729, 64439, 64214, 63897, 63725, 63869, 63857, 63997, 63989, 64088, 63912, 63220, 64360, 1543, 3117, 1372, 984, 1124, 949, 914, 787, 823, 839, 707, 741, 652, 589, 546, 438, 382, 230, 158, 201, 447, 403, 509, 602, 563, 744, 317, 593, 1570, 1665]","[52162, 4334, 46884, 25000, 61381, 12496, 10271, 12469, 12117, 4911, 5111, 64078, 59757, 56691, 56250, 55211, 57492, 59043, 60874, 64937, 4355, 8763, 10691, 15662, 15354, 13955, 9537, 4915, 60688, 61866, 59673, 43418, 1911, 57713, 1364, 60351, 63306, 65489, 64075, 407, 65447, 1770, 1226, 3439, 476, 1252, 1201, 5257, 2044, 1345, 8841, 8866, 4706, 7908, 7902, 7013, 1458, 57168, 62171, 5095]","[25000, 25000, 25000, 61276, 55050, 53328, 49251, 45435, 42407, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 43712, 51477, 56740, 58202, 61131, 64346, 4972, 11493, 25000, 25000, 25000, 25000, 2951, 5274, 2486, 1085, 1178, 65173, 602, 63929, 64558, 64611, 63312, 63909, 65296, 3, 471, 145, 3489, 7609, 9607, 7935, 11512, 12448, 12765, 12336, 9826, 22117, 25000, 5825]","[40536, 40536, 50354, 59294, 23807, 11945, 11607, 10292, 14053, 16266, 18067, 23181, 25000, 25000, 25000, 21920, 17085, 14936, 10217, 6892, 4492, 1461, 64030, 58880, 57441, 57146, 54197, 52550, 40536, 40536, 40536, 49760, 56553, 2854, 65447, 903, 141, 64386, 65312, 222, 1078, 698, 434, 321, 469, 1464, 1023, 65020, 64742, 61806, 60281, 56218, 55117, 51251, 49835, 46847, 49095, 52730, 51143, 47936]"
basket,"[61989, 61612, 61612, 62389, 64011, 63920, 64214, 64173, 64244, 64213, 64260, 64398, 64394, 64578, 64773, 64844, 65294, 65365, 174, 187, 317, 363, 307, 339, 248, 189, 181, 65524, 65469, 64628, 63344, 62765, 64377, 64896, 308, 694, 414, 521, 554, 639, 588, 561, 557, 608, 550, 476, 467, 449, 461, 447, 527, 733, 472, 706, 501, 752, 582, 237, 202, 65437]","[238, 2043, 2392, 994, 2149, 65322, 285, 378, 764, 751, 965, 1126, 896, 801, 508, 507, 173, 310, 71, 205, 104, 106, 65461, 65331, 65374, 65232, 65144, 64987, 64633, 64522, 65367, 653, 1022, 192, 784, 65245, 441, 225, 1, 77, 65509, 88, 31, 105, 116, 188, 128, 242, 91, 134, 90, 65525, 19, 179, 10, 430, 354, 280, 728, 643]","[65318, 2303, 2593, 3542, 1264, 1544, 1749, 1455, 1403, 1196, 947, 605, 445, 166, 65437, 65513, 64960, 65005, 64488, 64368, 64091, 63871, 63792, 63713, 63789, 63803, 63711, 63627, 63404, 63460, 65185, 1202, 1959, 2467, 1231, 570, 1149, 904, 921, 673, 701, 805, 855, 713, 761, 738, 558, 621, 449, 470, 328, 254, 499, 166, 465, 262, 285, 364, 568, 586]","[56855, 8150, 40536, 4811, 12028, 4149, 11516, 8393, 10237, 7177, 6849, 2945, 411, 62688, 61126, 58108, 57190, 56016, 57081, 61384, 64249, 5056, 8328, 13743, 16912, 18246, 19021, 15361, 6279, 64168, 57422, 61112, 46373, 2456, 3975, 1877, 2502, 59357, 64613, 64830, 91, 65192, 988, 2171, 1605, 776, 2458, 1981, 1800, 4680, 2909, 4100, 4229, 3778, 4351, 4543, 64875, 6821, 5484, 2867]","[25000, 25000, 25000, 17564, 53618, 62575, 50880, 45683, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 44599, 47891, 52746, 57301, 58271, 63535, 3952, 25000, 25000, 25000, 25000, 23597, 15931, 58308, 2618, 321, 65012, 63773, 63446, 343, 99, 63538, 63178, 64108, 62705, 62381, 61465, 61759, 62724, 61481, 185, 1936, 84, 6988, 3562, 9594, 11626, 14185, 12805]","[40536, 40536, 49077, 42099, 10933, 16170, 9466, 9034, 11223, 13431, 14856, 18698, 22032, 24542, 22891, 23242, 19021, 16356, 12375, 9024, 7316, 5447, 3781, 65284, 61240, 60042, 55668, 53785, 43937, 40536, 40536, 41423, 56528, 55336, 3423, 955, 30, 2883, 1703, 1496, 704, 65462, 311, 65377, 312, 1348, 2053, 3152, 3433, 2307, 2192, 308, 62379, 60032, 58446, 53007, 55222, 47927, 47093, 46273]"
basket,"[61710, 61612, 61612, 62557, 63709, 63631, 63927, 63801, 63904, 64049, 64378, 64606, 64740, 65088, 65136, 65500, 69, 268, 399, 423, 395, 435, 399, 328, 186, 197, 65521, 65520, 64920, 61960, 63542, 65094, 585, 610, 435, 572, 520, 460, 611, 445, 303, 244, 65504, 68, 65212, 65271, 64996, 65292, 64640, 64806, 64380, 64720, 64255, 64650, 64310, 64326, 64998, 64598, 64622, 64693]","[65164, 1108, 1064, 1137, 1865, 65520, 394, 738, 788, 855, 841, 826, 612, 390, 459, 133, 200, 48, 65520, 62, 65347, 65308, 65349, 65201, 65218, 65147, 64971, 64547, 64013, 65051, 1737, 276, 626, 41, 234, 162, 46, 275, 3, 98, 214, 35, 186, 200, 125, 653, 23, 711, 664, 639, 969, 882, 952, 880, 612, 973, 896, 369, 739, 643]","[65178, 1174, 2802, 2356, 996, 1849, 1362, 1469, 1326, 1102, 714, 481, 175, 65385, 65440, 64917, 64929, 64674, 64322, 64221, 64089, 63973, 64113, 64032, 64097, 64074, 64073, 63196, 63102, 847, 2900, 2170, 776, 667, 1205, 636, 823, 655, 397, 433, 260, 192, 151, 237, 423, 534, 547, 625, 968, 756, 1260, 849, 1136, 1142, 1471, 954, 754, 1045, 639, 301]","[53181, 57569, 48706, 313, 2561, 65262, 6775, 8959, 11198, 8470, 4631, 617, 59892, 61030, 59000, 60543, 60711, 60988, 1428, 3445, 7047, 10390, 12102, 13030, 12443, 11866, 9741, 4776, 54344, 51689, 1963, 57959, 65005, 63576, 61783, 218, 1391, 1065, 65034, 865, 1802, 328, 4998, 3877, 6080, 1356, 239, 10559, 63517, 9451, 3645, 5677, 62313, 64968, 3731, 13147, 4239, 6634, 15638, 14706]","[25000, 25000, 25000, 4815, 62096, 54770, 45588, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 41832, 46440, 49447, 53498, 57276, 59554, 63097, 1470, 6511, 23903, 25000, 25000, 25000, 14569, 64610, 7133, 3059, 1198, 2786, 65302, 1960, 4280, 3078, 4194, 6041, 9685, 12440, 11451, 13759, 15468, 15292, 16363, 19893, 12946, 19888, 14489, 11875, 3214, 5419, 2710, 59763, 60129]","[40536, 40536, 42827, 52325, 10360, 16039, 11626, 13459, 18422, 20326, 21969, 22877, 24475, 22240, 22033, 19186, 16240, 12932, 7393, 7156, 4936, 730, 289, 63280, 60969, 59231, 57982, 49708, 40536, 40536, 51943, 54797, 64207, 63751, 64678, 64713, 64375, 64434, 65158, 62316, 63346, 63358, 61087, 62129, 58870, 61509, 60517, 55156, 55414, 50566, 49398, 48883, 48612, 51905, 53074, 53934, 61989, 59398, 60963, 65176]"
basket,"[61612, 61612, 62793, 63820, 64149, 64147, 64009, 63847, 64108, 64153, 64259, 64569, 64626, 65012, 65043, 65534, 276, 791, 841, 1083, 1019, 985, 726, 403, 195, 65471, 65417, 65235, 146, 63564, 62537, 63971, 65126, 395, 516, 94, 283, 269, 302, 368, 239, 131, 147, 83, 101, 448, 484, 540, 416, 445, 161, 116, 65317, 69, 65143, 64313, 64157, 64126, 63871, 63625]","[65411, 2262, 1203, 1875, 228, 148, 675, 721, 636, 795, 714, 659, 693, 440, 504, 316, 246, 10, 119, 65477, 65399, 65417, 65220, 65133, 65081, 64905, 64940, 64844, 64692, 65289, 65155, 941, 231, 65295, 204, 160, 1, 65522, 148, 23, 158, 70, 113, 116, 65531, 64, 65486, 65490, 14, 246, 288, 65521, 165, 560, 414, 656, 1328, 715, 435, 1219]","[472, 2923, 2149, 1571, 1109, 989, 1207, 1166, 739, 887, 667, 409, 467, 103, 129, 65029, 64921, 64585, 64736, 64575, 64690, 64547, 64400, 64196, 64144, 64331, 64499, 64515, 63933, 64761, 359, 3696, 1432, 172, 1023, 1228, 906, 964, 918, 731, 828, 748, 637, 637, 455, 294, 284, 354, 291, 374, 458, 487, 487, 489, 736, 793, 1204, 866, 717, 810]","[62382, 65197, 52066, 7597, 1847, 8320, 5922, 8274, 8505, 8113, 5379, 2069, 64259, 60234, 62000, 61616, 63843, 767, 3921, 5336, 6226, 10115, 9016, 9890, 8730, 5634, 4158, 344, 58639, 47363, 44730, 51876, 57883, 61281, 6131, 65130, 62746, 2383, 896, 1776, 2298, 527, 65505, 200, 1856, 4228, 1911, 6644, 3758, 9794, 6342, 13380, 15330, 11246, 1855, 11117, 13971, 57342, 2454, 6349]","[25000, 25000, 18895, 190, 55739, 56936, 56605, 46328, 41201, 43235, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 44969, 45041, 47380, 44448, 45880, 47891, 56738, 1832, 9556, 22844, 25000, 25000, 25000, 25000, 43021, 59958, 8954, 64843, 64239, 65302, 62485, 62794, 61490, 60256, 60505, 57066, 54073, 57474, 64868, 1786, 4382, 9644, 7989, 11143, 10586, 16098, 18998, 25000, 19260, 10120, 16559, 16080]","[40536, 45320, 51984, 3875, 15960, 7558, 5012, 9588, 12179, 14552, 18073, 19659, 23464, 22410, 23346, 22337, 20749, 16490, 14321, 13364, 12900, 10843, 10487, 5635, 2423, 65160, 59089, 52731, 40536, 40536, 40536, 48268, 4292, 2484, 1411, 2843, 933, 1821, 2072, 1945, 1747, 2587, 4043, 6306, 7737, 6488, 4985, 2485, 64437, 60723, 61077, 57355, 49093, 45554, 44351, 40536, 40536, 41038, 40536, 40536]"
