gesture,ax,ay,az,gx,gy,gz
basket,"[64946, 63449, 61612, 61612, 62309, 62655, 63065, 62886, 62526, 61703, 61612, 61612, 62137, 62981, 63766, 64503, 65190, 65511, 6, 65507, 65357, 64814, 62937, 62362, 64265, 64996, 65258, 65483, 65302, 65169, 65308, 65200, 65194, 65301, 41, 402, 564, 892, 720, 755, 40, 65356, 65003, 64447, 64478, 64104, 64367, 64150, 63918, 63885, 64235, 64417, 64512, 64564, 64546, 64584, 64564, 64571, 64575, 64598]","[63967, 64397, 63681, 105, 1121, 246, 881, 896, 747, 965, 919, 870, 447, 147, 65509, 65237, 64888, 64617, 64499, 64644, 64819, 64685, 64734, 18, 1232, 438, 65315, 76, 91, 277, 106, 65441, 65437, 65295, 65213, 65263, 65136, 65378, 65172, 65157, 201, 808, 668, 1228, 750, 939, 560, 493, 397, 749, 843, 859, 492, 277, 177, 177, 160, 153, 111, 68]","[62316, 63118, 63485, 2221, 786, 1332, 1824, 1658, 1433, 1233, 1191, 1192, 692, 171, 65219, 64676, 64188, 63799, 63485, 63579, 63837, 63722, 64226, 827, 2353, 1904, 959, 1157, 1496, 1051, 640, 610, 450, 213, 171, 85, 138, 184, 130, 337, 384, 495, 585, 1254, 1089, 952, 442, 317, 355, 429, 268, 275, 184, 203, 159, 118, 122, 100, 113, 143]","[1229, 58566, 57761, 58292, 60369, 4802, 62428, 64066, 4212, 1534, 64818, 65417, 60744, 60966, 59826, 58500, 62171, 64480, 63280, 62447, 65213, 5336, 769, 40536, 49920, 1964, 4532, 53788, 64824, 64394, 60817, 63850, 64483, 64610, 1911, 5744, 10122, 12520, 13177, 18468, 18820, 11835, 9331, 64082, 63702, 2002, 8278, 11536, 8246, 12359, 14588, 11644, 7579, 5886, 3725, 2333, 1262, 766, 65374, 64305]","[814, 25000, 25000, 25000, 21996, 14819, 175, 45585, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 43249, 58143, 15136, 25000, 25000, 25000, 25000, 25000, 56025, 60483, 5978, 1509, 59908, 55552, 53701, 44760, 41061, 43629, 52459, 61475, 2599, 6036, 14322, 16266, 18588, 18271, 25000, 18655, 11499, 10710, 10543, 10083, 10823, 7170, 5063, 2236, 243, 65401, 403, 454, 65444, 120, 65501]","[57077, 40536, 40536, 40536, 55417, 65488, 381, 12682, 24530, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 21283, 10560, 1645, 54530, 46770, 40536, 40536, 40536, 40536, 12041, 3611, 60543, 599, 6583, 9226, 13051, 16211, 16207, 14357, 10011, 6038, 63673, 58352, 48689, 40536, 40536, 40536, 40536, 40702, 42922, 44953, 45474, 43255, 44562, 53149, 61820, 2648, 4506, 3805, 2949, 2098, 2369, 2533, 1608]"
basket,"[62356, 61612, 61612, 62731, 63487, 63366, 63663, 63622, 63275, 62872, 62569, 62784, 63235, 63650, 63976, 64192, 64384, 64937, 65450, 354, 283, 304, 45, 65370, 64697, 64095, 63502, 64337, 65229, 65039, 98, 116, 65528, 65277, 65374, 65371, 65462, 164, 61, 424, 488, 711, 796, 243, 65066, 65158, 64600, 64432, 63875, 63500, 63103, 63411, 64132, 64520, 64465, 64582, 64657, 64610, 64576, 64560]","[64794, 63960, 65198, 973, 64892, 365, 242, 249, 282, 101, 332, 741, 769, 891, 859, 550, 112, 65305, 64856, 64479, 64344, 64322, 64612, 65031, 65371, 49, 65387, 1070, 711, 80, 141, 79, 334, 377, 232, 65459, 65363, 65397, 22, 65503, 65347, 65203, 64931, 65519, 461, 910, 1067, 1481, 1452, 1032, 961, 1183, 1395, 1109, 504, 256, 305, 224, 262, 231]","[63285, 64802, 1094, 1235, 317, 613, 919, 1028, 942, 950, 1040, 1006, 918, 1013, 621, 412, 65265, 64803, 64296, 63956, 63798, 63683, 63985, 64463, 64733, 65120, 457, 1606, 1937, 1649, 888, 959, 1078, 994, 660, 453, 302, 255, 358, 296, 303, 198, 58, 242, 384, 65431, 65324, 65281, 65518, 65498, 65361, 65227, 65203, 65357, 98, 137, 39, 32, 51, 36]","[62316, 47557, 59077, 57498, 14365, 59734, 62730, 5426, 7244, 11642, 13382, 6389, 4956, 3085, 63814, 60967, 57158, 61875, 62442, 61197, 64355, 65074, 238, 5760, 8169, 62061, 42160, 52812, 58502, 7791, 58688, 58848, 759, 63886, 61370, 2244, 7180, 12578, 7029, 3550, 4589, 10437, 25000, 25000, 25000, 25000, 13927, 6994, 65513, 8494, 11911, 8439, 6944, 5995, 3678, 2079, 63544, 62323, 64987, 63495]","[25000, 25000, 25000, 25000, 6059, 10186, 981, 46943, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 41271, 56131, 4102, 19621, 25000, 25000, 25000, 25000, 25000, 5440, 55025, 59519, 1931, 65294, 59352, 52149, 49069, 49029, 55773, 59357, 62247, 63549, 486, 7522, 18540, 5291, 52239, 51380, 54650, 59170, 56308, 51066, 54085, 63044, 5597, 6118, 761, 64768, 259, 65354, 65052]","[40536, 40536, 40536, 52896, 5924, 60594, 2014, 13048, 18977, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 15868, 3797, 57716, 45957, 40536, 40536, 40536, 40536, 40536, 63635, 12720, 1189, 64203, 3270, 8424, 12569, 18263, 19109, 17963, 12655, 8346, 4089, 63473, 56644, 47667, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 61820, 6995, 3621, 65443, 64871, 65344, 1627]"
basket,"[62305, 61612, 61612, 62877, 63192, 63299, 63442, 62686, 62648, 62094, 61732, 62167, 62882, 63364, 64118, 64638, 64997, 65306, 231, 510, 475, 441, 133, 64551, 62781, 62696, 64398, 33, 65140, 98, 65503, 65512, 123, 7, 65472, 65311, 65476, 28, 247, 263, 379, 323, 141, 64930, 64741, 64157, 63841, 63575, 63052, 63037, 63838, 64531, 64492, 64651, 64732, 64642, 64545, 64526, 64550, 64552]","[64727, 63932, 65188, 1132, 64527, 305, 534, 447, 334, 458, 697, 618, 737, 428, 113, 164, 65202, 64769, 64208, 64273, 64353, 64370, 64722, 65101, 65402, 65023, 2479, 338, 61, 265, 188, 259, 156, 271, 138, 80, 65443, 65493, 65459, 65348, 65407, 65240, 65502, 442, 1092, 1155, 1301, 1016, 957, 991, 1814, 1492, 891, 452, 341, 270, 283, 381, 300, 145]","[63728, 64036, 1550, 1567, 441, 742, 1298, 1525, 776, 808, 747, 630, 487, 224, 65355, 65088, 64732, 64527, 63797, 63687, 63780, 63487, 63958, 64010, 64918, 1089, 2034, 1340, 1273, 897, 1210, 1040, 698, 832, 643, 522, 296, 213, 87, 100, 55, 49, 108, 249, 530, 676, 574, 507, 584, 223, 65316, 65253, 88, 121, 103, 83, 90, 27, 9, 69]","[685, 40536, 57293, 53948, 13323, 64400, 2919, 7243, 4961, 4688, 5108, 5819, 571, 59171, 56068, 57763, 60959, 63633, 672, 62999, 63772, 60983, 979, 7679, 61682, 55473, 64570, 65206, 646, 55240, 289, 860, 62989, 62879, 65170, 30, 2393, 3331, 4366, 9311, 14057, 18228, 25000, 23316, 17180, 12826, 10498, 13314, 5280, 14548, 24058, 19196, 7112, 63881, 61810, 63261, 4161, 5243, 964, 64327]","[25000, 25000, 25000, 25000, 62210, 12698, 3068, 43354, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 54996, 1866, 15999, 25000, 25000, 25000, 25000, 24035, 16, 60966, 2271, 2674, 62093, 61602, 61433, 57013, 53219, 52207, 52965, 59100, 65291, 5448, 11000, 14359, 13414, 12860, 10903, 7699, 6430, 2177, 62548, 61710, 3378, 6962, 3706, 1631, 1124, 286, 64809, 414, 1490]","[40536, 40536, 40536, 55573, 9895, 61763, 4434, 19280, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 24737, 19655, 4573, 59756, 51255, 40536, 40536, 40536, 40536, 40536, 9091, 3302, 59185, 123, 4015, 2689, 4868, 10118, 12669, 14307, 12079, 10321, 7466, 696, 58317, 46392, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 58605, 4429, 3583, 2117, 842, 897, 2388, 4142, 4524]"
basket,"[61612, 61612, 61612, 63774, 63592, 63742, 62909, 62482, 62548, 62905, 63327, 63841, 64224, 64521, 65094, 89, 294, 337, 326, 188, 65428, 64991, 64371, 62669, 62789, 64252, 65059, 65273, 15, 65476, 65354, 65286, 65398, 65218, 65466, 65452, 224, 356, 731, 648, 225, 65070, 64840, 64184, 64140, 63874, 63616, 63678, 63676, 64107, 64483, 64546, 64594, 64686, 64610, 64579, 64533, 64528, 64573, 64586]","[63933, 64341, 3924, 64736, 486, 399, 565, 321, 807, 876, 799, 454, 376, 192, 65280, 64980, 64901, 64823, 64829, 64692, 64646, 64807, 65042, 65357, 65104, 1909, 65506, 207, 65512, 106, 219, 139, 17, 65497, 65366, 65314, 65277, 65330, 65493, 65532, 25, 71, 895, 1088, 1377, 1103, 1127, 804, 1027, 1203, 1088, 567, 242, 98, 71, 109, 112, 3, 65451, 65531]","[63980, 1563, 2035, 1537, 590, 878, 1714, 1040, 1187, 1063, 970, 783, 230, 65360, 64737, 64381, 64378, 64282, 64118, 63996, 63867, 63879, 64269, 64876, 2514, 1944, 1932, 1325, 1002, 1091, 1024, 830, 600, 529, 295, 370, 261, 293, 36, 65501, 282, 339, 349, 669, 781, 455, 468, 429, 391, 126, 36, 164, 223, 242, 195, 108, 112, 108, 113, 117]","[6155, 52955, 42373, 4077, 65482, 2522, 11973, 13088, 15302, 9427, 1792, 59980, 59722, 57644, 59943, 59366, 62385, 62762, 64208, 64948, 217, 1174, 5165, 57503, 40536, 51540, 4122, 61957, 51812, 1299, 1126, 62381, 64334, 1949, 4026, 7080, 11839, 14999, 18747, 16432, 15993, 14129, 8104, 7143, 9398, 2706, 4486, 10467, 14313, 12833, 8662, 3454, 1787, 2259, 3630, 5657, 2652, 63283, 64906, 620]","[25000, 25000, 25000, 56061, 40536, 64432, 49944, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 45757, 52356, 59663, 1028, 12331, 25000, 25000, 25000, 25000, 25000, 3284, 55349, 63767, 64945, 59521, 55773, 52331, 49913, 48809, 54483, 58431, 63811, 1107, 7103, 13882, 8005, 9989, 17654, 7023, 7005, 11546, 8462, 8236, 3010, 2019, 2904, 1802, 72, 64288, 63787, 64469, 64917, 65309, 371]","[40536, 40536, 40536, 6766, 4597, 9665, 23199, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 14876, 6814, 65271, 60168, 51516, 41133, 40536, 40536, 40536, 44314, 11049, 1218, 61572, 3604, 8412, 9166, 12372, 13739, 14906, 12636, 9900, 4629, 62337, 52774, 44566, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 47894, 61506, 4359, 4580, 2800, 1493, 2066, 3318, 3296, 2648, 1051]"
basket,"[62298, 61612, 61612, 63089, 63040, 63288, 63252, 62753, 62375, 62136, 62011, 62435, 62941, 63347, 63730, 64400, 64959, 65361, 65416, 65516, 65498, 65393, 65103, 64234, 63028, 62219, 63400, 65091, 65064, 65294, 65489, 65329, 65247, 65232, 65453, 65149, 65483, 65342, 175, 308, 586, 600, 626, 733, 445, 65530, 65161, 64804, 64530, 64455, 64118, 63837, 63304, 63791, 64553, 64619, 64564, 64654, 64657, 64584]","[64194, 63856, 1168, 2178, 64944, 1061, 825, 604, 539, 1104, 1181, 886, 593, 288, 48, 65084, 64838, 64431, 64053, 64316, 64316, 64529, 64611, 65197, 36, 64892, 255, 1336, 65242, 65505, 48, 161, 221, 182, 46, 65531, 13, 33, 105, 65509, 65450, 20, 65205, 65514, 65503, 110, 998, 1103, 1372, 1446, 946, 852, 1024, 1412, 1173, 673, 299, 188, 186, 147]","[63998, 63713, 1306, 1459, 314, 687, 1095, 752, 460, 597, 721, 643, 305, 65482, 65194, 64736, 64218, 63846, 63642, 63747, 63597, 63648, 63704, 64208, 64455, 506, 2446, 1917, 1262, 1261, 1077, 1212, 1056, 825, 560, 690, 619, 557, 520, 423, 443, 458, 424, 251, 426, 145, 63, 489, 320, 65486, 65387, 65530, 263, 48, 65260, 65458, 179, 251, 161, 85]","[5807, 15577, 51014, 50822, 20529, 61779, 59909, 2128, 7843, 8017, 207, 64117, 61250, 57387, 55108, 64342, 64979, 64230, 62508, 65390, 65335, 64217, 385, 5420, 63410, 40536, 49554, 56614, 14851, 61873, 54582, 1405, 478, 62655, 63138, 1866, 3188, 3500, 2077, 4527, 9455, 10186, 13529, 18781, 17607, 24939, 21348, 7780, 10719, 11755, 15877, 7531, 945, 63762, 6843, 8612, 2556, 63550, 63589, 2721]","[25000, 25000, 25000, 20089, 63711, 8320, 58046, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 49315, 59920, 927, 16882, 25000, 25000, 25000, 25000, 25000, 9928, 61630, 65197, 1678, 612, 59495, 57271, 54733, 56927, 56198, 55377, 56089, 57610, 61756, 60247, 64406, 2111, 4224, 871, 406, 6208, 202, 61382, 64709, 1155, 2484, 59617, 58978, 3523, 6103, 2479, 65373, 64771]","[40536, 40536, 40536, 42919, 14471, 64220, 8911, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 10895, 63749, 55909, 44956, 40536, 40536, 40536, 40536, 40536, 58505, 20912, 64396, 60529, 1287, 6545, 7382, 11085, 13198, 14040, 13264, 10863, 9282, 5957, 729, 62657, 55185, 52192, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 56978, 5053, 6128, 1264, 65396, 65187]"
basket,"[61612, 61612, 61612, 63532, 62931, 63198, 63126, 62527, 62419, 62757, 63039, 63614, 63855, 64179, 64419, 64890, 65283, 6, 85, 179, 198, 110, 65485, 65278, 64759, 64058, 63926, 64410, 65118, 64749, 131, 325, 156, 119, 65470, 65239, 65133, 65179, 41, 287, 561, 659, 960, 539, 65426, 65009, 64626, 64540, 64105, 63710, 63646, 63845, 64231, 64540, 64563, 64692, 64640, 64629, 64585, 64591]","[63970, 63872, 1117, 917, 65037, 330, 658, 473, 608, 1029, 1015, 886, 729, 434, 50, 65136, 64778, 64450, 64290, 64192, 64244, 64566, 65017, 65212, 65511, 65334, 65045, 1036, 341, 18, 70, 65329, 75, 273, 274, 174, 221, 19, 65462, 65219, 65088, 64965, 65030, 65128, 574, 1514, 1404, 1703, 1132, 1507, 1210, 1164, 1419, 1281, 667, 264, 257, 266, 287, 276]","[63603, 65004, 1713, 927, 1165, 776, 882, 887, 609, 668, 842, 559, 324, 65524, 65110, 64748, 64463, 64260, 64127, 64032, 63976, 64090, 64415, 64511, 64749, 65217, 1013, 1804, 2481, 2091, 887, 722, 1010, 1073, 885, 649, 625, 416, 159, 65506, 65342, 65078, 64898, 65422, 234, 927, 1049, 641, 587, 491, 357, 124, 65447, 65520, 148, 105, 122, 50, 17, 19]","[128, 55691, 55038, 40536, 25000, 65405, 64278, 6417, 11934, 8304, 2697, 62693, 55230, 52880, 54634, 61065, 64518, 666, 63426, 62031, 62611, 63986, 1315, 933, 5497, 63029, 40536, 40858, 59604, 11539, 56735, 57405, 5423, 3245, 64709, 4993, 7721, 4555, 5324, 8107, 15507, 21265, 22704, 9884, 16408, 16341, 10443, 8572, 21, 10327, 59062, 6285, 23431, 15813, 64299, 61298, 63467, 2063, 5011, 2072]","[25000, 25000, 25000, 16338, 64049, 56627, 50862, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 44718, 53801, 62379, 3788, 13690, 24003, 25000, 25000, 25000, 25000, 25000, 15858, 46600, 46559, 63224, 4546, 1066, 62566, 54370, 50113, 44399, 46265, 50038, 55854, 57593, 63856, 13730, 19191, 17711, 9499, 2347, 5347, 64096, 1173, 2817, 4721, 6642, 4924, 1799, 585, 64981, 64365, 64645]","[40536, 40536, 40536, 55838, 24259, 13756, 20215, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 19701, 10461, 85, 56318, 46474, 40536, 40536, 40536, 40536, 40536, 40536, 62614, 13084, 2760, 64591, 65386, 2716, 4895, 12360, 17097, 18298, 16336, 15206, 11492, 3604, 54950, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 41849, 63376, 5788, 3392, 202, 65532, 1004, 2106]"
basket,"[61811, 61612, 61612, 64261, 62920, 62917, 63381, 63308, 63301, 63087, 62720, 62757, 62895, 63557, 64074, 64583, 65051, 65480, 200, 452, 494, 652, 542, 335, 202, 65231, 64929, 64544, 63801, 64591, 65369, 65262, 65471, 14, 65370, 65202, 65154, 65414, 83, 489, 613, 930, 801, 790, 385, 65345, 65266, 65109, 64745, 64502, 64449, 64048, 63683, 63760, 64230, 64560, 64570, 64625, 64689, 64627]","[63690, 63084, 562, 553, 64492, 442, 684, 206, 364, 554, 371, 697, 893, 719, 750, 486, 237, 65439, 65140, 64783, 64496, 64412, 64484, 64678, 64791, 65266, 65410, 65374, 65350, 274, 1100, 46, 68, 229, 128, 163, 94, 59, 65384, 65263, 65191, 65078, 65037, 64940, 65429, 459, 1369, 1361, 1173, 1136, 1172, 830, 958, 895, 1172, 1176, 683, 300, 269, 351]","[62986, 62594, 499, 362, 64847, 482, 709, 556, 360, 632, 336, 402, 485, 371, 202, 65514, 65314, 64989, 64838, 64556, 64206, 64193, 64177, 64254, 64259, 64750, 64996, 65152, 757, 1793, 1915, 1592, 1103, 869, 969, 961, 622, 309, 226, 65500, 65458, 65249, 65351, 65302, 4, 414, 496, 686, 528, 145, 65427, 65410, 9, 65260, 65137, 65275, 13, 26, 65470, 65469]","[5175, 63576, 14782, 40536, 13041, 63085, 917, 4262, 2956, 809, 3206, 7609, 2536, 2243, 62998, 59197, 55411, 58172, 61492, 61046, 61613, 64145, 65530, 64141, 64529, 1979, 1965, 60266, 44758, 57106, 62933, 6493, 65272, 57119, 63477, 3627, 2253, 2009, 4610, 9491, 12282, 13345, 15277, 17909, 21425, 19035, 16525, 3360, 8918, 18008, 14137, 9684, 8042, 10922, 16950, 10848, 2439, 63797, 63807, 64569]","[25000, 25000, 25000, 15611, 12141, 16591, 63396, 43708, 40577, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 45473, 56142, 63762, 7068, 21217, 25000, 25000, 25000, 25000, 25000, 10253, 57776, 54364, 60494, 59427, 50421, 42658, 40536, 43269, 49343, 55594, 60799, 1770, 6519, 14152, 14647, 8341, 9688, 5591, 62251, 59022, 60601, 60125, 56530, 61635, 3660, 2851, 64844, 63906, 65390]","[40536, 40536, 40536, 49222, 7084, 57235, 8326, 21886, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 18234, 6653, 62907, 55137, 46063, 40536, 40536, 40536, 40536, 40536, 58690, 16215, 5348, 3430, 7670, 14754, 17135, 16187, 15789, 12463, 9244, 2377, 59408, 47180, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 46544, 58396, 3278, 3487, 64922, 63248]"
basket,"[61789, 61612, 61937, 63541, 63358, 63364, 63403, 63201, 63164, 63058, 62923, 62898, 63286, 63663, 64095, 64432, 64720, 64923, 65120, 65300, 65386, 61, 203, 154, 192, 65466, 65219, 64747, 63992, 63745, 64174, 65050, 64905, 65495, 5, 65416, 64786, 65150, 65124, 65460, 316, 259, 618, 683, 847, 609, 524, 47, 5, 4, 65188, 64848, 64450, 64219, 63978, 64319, 64757, 64750, 64660, 64732]","[64311, 65229, 3180, 65168, 65403, 645, 506, 365, 275, 528, 783, 1062, 927, 1046, 544, 303, 65414, 65151, 64922, 64512, 64143, 64124, 64388, 64479, 64574, 64962, 65323, 65364, 153, 64706, 538, 981, 65349, 256, 65383, 227, 426, 42, 65535, 65403, 28, 65401, 65306, 65421, 65447, 88, 465, 1243, 1415, 1347, 1330, 1146, 1342, 1123, 1592, 1527, 1050, 996, 627, 342]","[63871, 64632, 628, 554, 65436, 943, 935, 503, 311, 553, 489, 682, 480, 359, 140, 65366, 64926, 64656, 64411, 64050, 63953, 63774, 63883, 63920, 63949, 64381, 64680, 64663, 65383, 606, 1516, 2212, 1967, 869, 812, 1058, 1147, 707, 508, 254, 173, 357, 53, 70, 136, 286, 143, 437, 339, 208, 353, 88, 264, 145, 342, 65494, 65193, 65515, 302, 201]","[5591, 509, 56345, 1083, 64230, 64397, 64593, 570, 4038, 3801, 6527, 4090, 704, 65390, 57727, 55815, 52383, 57493, 62177, 63513, 63345, 63304, 63558, 64405, 441, 1056, 3372, 3472, 53606, 40536, 55432, 61704, 11896, 52742, 58847, 4670, 64797, 722, 1485, 8443, 12076, 9136, 11371, 18666, 17081, 16055, 18259, 13344, 7237, 2584, 3868, 6602, 9234, 3579, 60480, 56903, 5346, 6814, 58881, 53021]","[25000, 25000, 25000, 65205, 10951, 8729, 54779, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 50816, 58627, 1953, 7744, 20508, 25000, 25000, 25000, 25000, 25000, 25000, 19195, 56265, 52252, 1673, 3727, 60205, 49224, 43860, 43096, 51635, 58621, 58636, 62875, 63574, 65022, 64921, 62711, 58668, 63319, 61979, 60199, 56992, 55166, 58363, 55461, 61189, 7339, 8436, 3943]","[40536, 40536, 40536, 11095, 59064, 59523, 11231, 21393, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 24880, 13885, 2301, 57933, 52806, 43974, 40536, 40536, 40536, 40536, 40536, 40536, 64839, 13676, 65189, 64874, 4693, 10634, 16541, 16586, 17909, 14925, 13809, 3243, 64684, 54957, 45175, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 47507, 56614, 64151, 3538, 1418]"
basket,"[61876, 61612, 61612, 64197, 63412, 63469, 63696, 63482, 63299, 62958, 62949, 63398, 63868, 64345, 64668, 64852, 65171, 65419, 208, 373, 581, 665, 605, 463, 476, 65386, 64664, 63609, 62766, 64437, 65245, 65345, 22, 65509, 65530, 65331, 65354, 65322, 29, 65514, 384, 361, 848, 739, 842, 510, 22, 64957, 65054, 64527, 64262, 64019, 63844, 63697, 64133, 64514, 64600, 64641, 64677, 64639]","[64164, 63305, 1247, 680, 64465, 91, 364, 327, 121, 376, 630, 843, 1137, 1154, 948, 615, 172, 65318, 65111, 65029, 64814, 64766, 64778, 64863, 64863, 65016, 65060, 65318, 65333, 1125, 63, 65415, 5, 65317, 228, 110, 65497, 65474, 65429, 65383, 65370, 65336, 65336, 65206, 64948, 65074, 480, 802, 1339, 1619, 1651, 1102, 680, 1154, 1400, 1051, 392, 171, 186, 286]","[63257, 64460, 941, 877, 65379, 230, 718, 562, 352, 613, 622, 735, 741, 603, 234, 20, 65281, 64917, 64499, 64366, 64350, 64178, 64215, 64261, 64172, 64316, 64279, 64992, 1488, 2152, 2069, 1519, 1183, 1250, 1150, 856, 591, 531, 362, 419, 195, 177, 65477, 65281, 65306, 65012, 264, 811, 790, 936, 778, 360, 91, 40, 65418, 65366, 65471, 25, 133, 156]","[2490, 42712, 62252, 48161, 19410, 60441, 64149, 1129, 7267, 13196, 10789, 9218, 7587, 65527, 53658, 51062, 51005, 58598, 62620, 60921, 63262, 64531, 720, 1344, 1514, 5651, 11198, 64698, 40536, 48797, 4313, 7176, 52230, 65055, 1998, 62994, 1147, 4715, 5967, 5533, 8623, 11815, 16122, 15694, 16565, 22856, 14986, 8561, 11954, 65192, 7002, 216, 17305, 21132, 10280, 62550, 59114, 62769, 65465, 1676]","[25000, 25000, 25000, 11724, 61866, 12585, 1165, 46886, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 47991, 53779, 60447, 1454, 7750, 19995, 25000, 25000, 25000, 25000, 25000, 63508, 54660, 64125, 64684, 59147, 53907, 49423, 46781, 46110, 47701, 50782, 57027, 57887, 62305, 65178, 5149, 17275, 11840, 4779, 8034, 2000, 994, 2398, 2337, 65189, 64542, 798, 2790, 2705, 836]","[40536, 40536, 40536, 60225, 18132, 61893, 2649, 18753, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 18592, 11976, 3752, 62381, 57569, 50217, 45300, 40536, 40536, 40536, 41486, 11538, 6203, 105, 871, 5638, 8653, 12009, 14551, 15093, 13377, 11003, 8896, 7121, 65224, 53582, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 45519, 62438, 5881, 2917, 64500, 63446]"
basket,"[62798, 61612, 61612, 63742, 64074, 63826, 63782, 63713, 63168, 63214, 63742, 64147, 64536, 64626, 64582, 65030, 65402, 150, 299, 356, 325, 154, 128, 64846, 63620, 62232, 63975, 65300, 64617, 41, 146, 10, 65515, 65500, 65365, 65240, 65428, 65485, 292, 286, 679, 642, 884, 929, 507, 124, 65313, 65259, 65025, 64941, 64532, 64324, 64177, 63963, 64063, 64541, 64708, 64654, 64627, 64647]","[64360, 64290, 3924, 64239, 112, 163, 398, 485, 564, 852, 1091, 1346, 1153, 861, 443, 65326, 65036, 64777, 64491, 64496, 64656, 64860, 64903, 64992, 65027, 65450, 636, 1175, 8, 97, 65471, 46, 186, 198, 156, 70, 65391, 142, 65367, 65368, 65184, 65292, 65091, 64927, 65003, 65493, 1269, 1389, 1792, 1294, 1624, 1497, 1035, 1052, 1365, 1244, 749, 390, 270, 247]","[64222, 670, 1982, 926, 520, 907, 1169, 1077, 1265, 1176, 1154, 1118, 674, 344, 26, 64878, 64501, 64248, 64145, 64018, 64007, 63982, 64011, 64015, 64296, 408, 1990, 1870, 2189, 1024, 987, 1375, 1158, 945, 823, 661, 588, 400, 228, 180, 65516, 56, 65433, 65289, 65398, 50, 22, 368, 125, 65380, 65334, 65477, 65487, 65517, 65499, 65282, 65383, 73, 138, 72]","[61002, 49335, 43044, 4884, 3684, 2779, 13923, 15401, 12817, 14221, 8970, 4030, 61048, 57189, 53836, 58253, 58463, 59711, 60105, 60585, 64965, 64703, 64816, 9341, 10190, 45959, 52002, 64634, 6808, 53390, 54496, 2082, 865, 63660, 63452, 3028, 6867, 4978, 4445, 9582, 12373, 12379, 15605, 20293, 25000, 25000, 23453, 4606, 65466, 65254, 4997, 63110, 2, 64667, 65501, 1854, 3650, 64216, 60612, 63447]","[25000, 25000, 25000, 50408, 62970, 4987, 55338, 46407, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 41750, 50633, 58224, 65344, 10114, 24346, 25000, 25000, 25000, 25000, 15215, 54892, 53572, 3102, 2581, 60871, 58291, 53973, 46858, 43134, 43684, 46945, 50701, 53688, 59912, 60457, 63126, 1270, 62494, 58468, 59701, 54172, 55989, 57814, 58096, 58565, 62672, 62945, 62414, 2790, 5482, 3527, 612]","[40536, 40536, 40536, 12409, 2099, 1611, 13913, 20808, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 21600, 11826, 842, 57593, 50965, 44895, 40536, 40536, 40536, 40536, 63528, 14980, 64241, 60934, 65506, 3726, 4652, 9385, 15625, 16900, 15543, 16464, 14386, 10964, 4562, 23, 55583, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 41907, 55756, 2792, 4425, 1204, 497]"
