gesture,ax,ay,az,gx,gy,gz
basket,"[62634, 61612, 62117, 63639, 64263, 64123, 64091, 64044, 64052, 63976, 64214, 64519, 64864, 65160, 65385, 10, 235, 271, 523, 638, 483, 65388, 63682, 61612, 62483, 64924, 65432, 185, 394, 325, 381, 399, 497, 550, 651, 623, 629, 610, 597, 624, 574, 597, 566, 599, 649, 703, 665, 651, 630, 639, 670, 692, 692, 666, 665, 625, 686, 668, 706, 693]","[65417, 2451, 2425, 2068, 1083, 1225, 1577, 1708, 1708, 1547, 1223, 800, 353, 314, 59, 65223, 64933, 64492, 64079, 63847, 63938, 63735, 63616, 535, 1661, 926, 1107, 562, 273, 447, 304, 255, 173, 76, 106, 139, 161, 168, 176, 191, 163, 192, 199, 223, 194, 189, 184, 179, 140, 118, 84, 88, 64, 47, 33, 30, 32, 21, 91, 28]","[64604, 1532, 2997, 2190, 1797, 1743, 1693, 1335, 852, 508, 85, 65500, 65212, 65214, 65095, 64872, 64654, 64338, 63877, 63462, 63452, 63224, 63310, 389, 1948, 2942, 2293, 1494, 1212, 1058, 836, 682, 643, 653, 668, 682, 747, 790, 764, 747, 759, 706, 708, 735, 738, 785, 833, 803, 781, 731, 671, 641, 628, 635, 613, 619, 658, 742, 796, 826]","[65398, 3759, 58405, 6384, 3044, 9029, 5359, 3955, 4267, 62956, 57669, 52900, 51706, 52209, 50257, 51923, 55680, 58134, 1538, 2081, 1412, 57657, 60203, 6606, 46992, 52722, 3962, 65089, 7051, 3339, 1656, 1037, 64932, 2215, 3003, 167, 64178, 64063, 63959, 64734, 699, 1348, 1130, 312, 250, 78, 65044, 64665, 65081, 183, 608, 486, 65250, 65218, 65020, 65276, 64545, 64806, 64335, 65456]","[25000, 25000, 25000, 65444, 58268, 54065, 45892, 40536, 40536, 40536, 40536, 40536, 40536, 41987, 43488, 45406, 46857, 48244, 48843, 62132, 8203, 25000, 25000, 25000, 25000, 22162, 62636, 59187, 61693, 60547, 60718, 63167, 63917, 64834, 65361, 1131, 1666, 528, 65237, 64964, 65000, 64770, 65098, 64641, 64862, 65457, 65077, 64517, 64250, 63696, 63919, 64282, 65115, 65479, 308, 885, 1431, 1559, 910, 396]","[40536, 40536, 51488, 1971, 8301, 12594, 16433, 23089, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 21053, 15707, 11189, 65207, 52763, 40536, 40536, 40536, 40536, 52420, 2124, 8594, 10061, 7164, 5765, 4549, 4651, 5133, 3846, 2581, 1516, 1092, 878, 1031, 1432, 1477, 1918, 1753, 2130, 1776, 1717, 1732, 2044, 2279, 2146, 1600, 1377, 981, 804, 416, 424, 65500, 102, 423]"
basket,"[61791, 61612, 61612, 61612, 63708, 63816, 63755, 63717, 63570, 63757, 63948, 64429, 64843, 65056, 65392, 150, 116, 536, 377, 203, 65398, 64571, 62832, 62290, 64219, 128, 65442, 65472, 236, 331, 442, 409, 611, 626, 589, 65526, 64494, 63767, 63031, 62763, 62490, 61671, 62984, 64599, 64654, 64454, 64481, 64580, 64533, 64558, 64654, 64571, 64572, 64585, 64501, 64523, 64564, 64566, 64591, 64583]","[63556, 2393, 1777, 1777, 2055, 1524, 1842, 1901, 1744, 1488, 1135, 577, 304, 155, 65359, 65128, 64833, 64114, 63681, 64000, 64067, 64217, 64806, 2523, 2169, 475, 765, 65410, 65065, 65287, 65130, 65121, 65156, 64950, 64803, 64902, 65299, 328, 1028, 1548, 975, 1209, 2116, 1168, 872, 409, 43, 167, 199, 140, 65528, 10, 67, 65456, 24, 93, 115, 88, 136, 132]","[62983, 1118, 2525, 2525, 1562, 1668, 1256, 909, 441, 124, 65384, 65182, 65229, 65157, 64984, 64697, 64460, 63509, 63465, 63555, 63501, 64015, 64710, 1755, 3319, 1711, 940, 763, 225, 200, 65518, 65304, 65175, 65098, 65027, 65386, 231, 546, 614, 68, 65167, 64966, 64959, 64699, 64986, 65206, 65372, 65456, 65527, 0, 65405, 65466, 65528, 62, 119, 63, 65512, 65484, 65441, 65430]","[60620, 12488, 63373, 63373, 15148, 17802, 11126, 5858, 63085, 59617, 52820, 47714, 47725, 44792, 48261, 56015, 63207, 373, 1875, 3288, 64711, 62446, 2565, 11334, 40536, 9275, 12704, 1445, 9427, 5986, 324, 4995, 7779, 9230, 13810, 12398, 17569, 21462, 20390, 25000, 25000, 25000, 63319, 54757, 3460, 7987, 11976, 13895, 8782, 1797, 62338, 62238, 57130, 54280, 55253, 57568, 63154, 65218, 392, 65220]","[25000, 25000, 25000, 25000, 64819, 57176, 49663, 46198, 41933, 40536, 40536, 40536, 42276, 41721, 40536, 41365, 41145, 48435, 64867, 10326, 25000, 25000, 25000, 25000, 14331, 47140, 47656, 49663, 50503, 54945, 58481, 61282, 672, 5354, 13846, 24158, 25000, 25000, 25000, 15116, 3652, 59756, 48666, 54732, 809, 5265, 7886, 8623, 6136, 1235, 65042, 65466, 877, 1177, 772, 65077, 64958, 69, 65418, 65448]","[40536, 40536, 46444, 46444, 12184, 21149, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 24762, 21713, 15376, 3999, 55531, 43604, 40536, 40536, 40536, 59694, 7200, 16405, 22985, 19637, 12179, 9684, 5005, 348, 58891, 47511, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 49909, 4088, 14431, 12107, 7405, 6403, 4578, 3034, 1168, 135, 63882, 62614, 63546, 232, 35, 177, 486]"
basket,"[65184, 63937, 61696, 61612, 62426, 63833, 64041, 64129, 64061, 64163, 64199, 64424, 64723, 64977, 65254, 65440, 23, 259, 489, 438, 767, 599, 474, 219, 65268, 64152, 62200, 62457, 65416, 413, 229, 304, 497, 381, 473, 111, 250, 293, 425, 437, 522, 576, 375, 65202, 64442, 63976, 63536, 63372, 62522, 63063, 63289, 64435, 64483, 64512, 64637, 64640, 64587, 64612, 64563, 64525]","[63454, 63810, 64311, 3487, 1749, 2215, 1263, 876, 1221, 1272, 1229, 1010, 887, 705, 546, 461, 182, 65426, 65220, 64920, 64532, 64476, 64375, 64352, 64303, 64394, 64780, 1742, 608, 1258, 614, 200, 359, 364, 331, 157, 45, 65428, 65485, 65279, 65288, 65155, 65175, 65188, 405, 833, 1115, 735, 1708, 1246, 1745, 2104, 934, 218, 65325, 65496, 22, 41, 65521, 88]","[62754, 63072, 63747, 2275, 2692, 2413, 2053, 1953, 1683, 1320, 928, 503, 221, 243, 15, 42, 65264, 64895, 64651, 64473, 63893, 63853, 63778, 63793, 63880, 64177, 64993, 2614, 2190, 1436, 1535, 1101, 600, 463, 340, 381, 253, 57, 65430, 65358, 65327, 65374, 65437, 51, 484, 687, 582, 65474, 65324, 65295, 48, 65508, 65028, 65039, 65172, 65475, 14, 65457, 65420, 65526]","[58614, 58089, 62771, 25000, 41406, 11165, 2329, 10010, 10837, 7895, 5379, 4106, 63815, 59112, 57510, 53844, 54293, 55261, 59743, 61822, 2647, 3915, 2739, 63917, 60693, 60700, 62389, 50631, 54476, 8165, 102, 12286, 11531, 7828, 5312, 3432, 4690, 4457, 3724, 975, 3289, 5941, 6961, 16414, 24087, 25000, 25000, 25000, 25000, 17053, 25000, 23215, 2660, 55359, 56479, 61903, 62525, 62807, 63166, 64400]","[7747, 25000, 25000, 25000, 25000, 9823, 62085, 53695, 45117, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 44119, 46587, 49549, 56674, 64359, 13026, 25000, 25000, 25000, 25000, 62717, 65408, 62253, 51127, 53003, 59753, 62590, 63569, 63806, 64350, 64057, 2116, 7901, 13233, 21205, 25000, 25000, 25000, 19401, 8999, 8827, 3900, 10565, 1169, 60482, 62128, 4409, 4529, 539, 62236, 63323, 1158]","[55487, 40536, 40536, 40536, 53344, 60394, 8904, 11925, 15704, 22181, 24978, 25000, 25000, 25000, 25000, 25000, 25000, 23711, 20257, 18575, 13567, 6096, 514, 55152, 43790, 40536, 40536, 40536, 54000, 1286, 10633, 13115, 11767, 9838, 12204, 11874, 11630, 12147, 8857, 5608, 784, 59571, 50350, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40888, 614, 13903, 9307, 3442, 227, 645, 1314, 279, 64042]"
basket,"[62330, 61612, 61612, 62228, 62919, 63315, 63340, 63258, 63406, 63341, 63540, 64031, 64420, 64692, 65137, 166, 243, 313, 344, 310, 620, 449, 321, 65266, 64644, 63634, 63101, 64217, 65163, 65326, 20, 64, 411, 259, 376, 327, 522, 661, 756, 505, 486, 64982, 64177, 63654, 63169, 63121, 62392, 62969, 63706, 64436, 64339, 64431, 64616, 64627, 64659, 64671, 64602, 64487, 64523, 64580]","[64385, 65201, 1673, 1728, 1613, 1117, 693, 1251, 883, 1240, 1000, 969, 667, 462, 45, 65335, 65342, 65125, 65061, 64727, 64303, 64208, 64325, 64588, 64581, 64978, 421, 1369, 1225, 1132, 278, 182, 82, 65276, 65320, 65214, 65278, 65141, 65103, 65023, 65131, 65253, 537, 1162, 1571, 958, 1577, 1480, 1508, 1319, 887, 112, 65532, 87, 65370, 65459, 65518, 107, 167, 156]","[64016, 64414, 2250, 2090, 1676, 1951, 1707, 1267, 544, 555, 221, 70, 65405, 65271, 65145, 64930, 65079, 64785, 64482, 64327, 63560, 63668, 63735, 64300, 64575, 64931, 239, 2493, 2822, 1690, 784, 624, 172, 578, 320, 86, 65252, 65171, 65172, 65134, 65221, 65425, 347, 113, 450, 25, 65378, 65311, 65170, 65017, 79, 65354, 65317, 65438, 65321, 65351, 65491, 115, 65497, 65380]","[49332, 57612, 9433, 64363, 15736, 2790, 11963, 4816, 2307, 2657, 64316, 62409, 53123, 48485, 49064, 49960, 53394, 58224, 31, 466, 2471, 1287, 920, 62165, 62712, 4934, 1723, 52401, 3038, 1643, 10740, 12726, 5299, 726, 109, 2710, 7502, 10388, 9257, 5493, 6223, 6807, 9981, 11505, 12975, 11880, 25000, 9356, 10352, 15218, 6159, 2534, 731, 56594, 53942, 57622, 60516, 1771, 979, 336]","[25000, 25000, 25000, 20152, 8745, 62469, 51706, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 41256, 45181, 43532, 46551, 46523, 55027, 6274, 20356, 25000, 25000, 25000, 25000, 25000, 390, 40863, 44382, 49346, 52893, 59865, 55270, 55562, 57028, 61279, 614, 4447, 15276, 22478, 25000, 24484, 25000, 15078, 11364, 64253, 3214, 3415, 3639, 64156, 660, 64452, 63887, 65435, 811, 1209, 65302, 273]","[40536, 40536, 40536, 51354, 6136, 14904, 21067, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 22401, 17813, 14416, 14514, 6780, 63149, 52419, 45268, 40536, 40536, 40536, 43762, 62838, 14233, 22453, 18019, 16404, 11936, 7387, 6692, 5217, 1615, 58458, 47074, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 45396, 64780, 13621, 14020, 7374, 1559, 65362, 63093, 62976, 64776, 238, 466]"
basket,"[65293, 64070, 61612, 61612, 61612, 63409, 63428, 63556, 63773, 63800, 64084, 64314, 64660, 65195, 65451, 293, 541, 409, 845, 748, 830, 420, 65206, 63488, 62523, 64122, 65222, 65332, 65265, 184, 219, 310, 128, 351, 641, 784, 550, 65166, 63793, 62920, 62508, 62422, 62389, 63202, 63933, 64531, 64586, 64624, 64682, 64593, 64526, 64564, 64592, 64621, 64622, 64598, 64571, 64567, 64566, 64590]","[63649, 63471, 64021, 2533, 1907, 2493, 1252, 1266, 1377, 1348, 806, 662, 227, 65437, 42, 65145, 65290, 64883, 64514, 64338, 64220, 64344, 64411, 64592, 778, 1285, 1294, 888, 142, 65285, 65149, 65299, 65093, 65132, 65182, 64750, 64712, 64656, 65237, 490, 1448, 1409, 1953, 1680, 1652, 964, 354, 27, 65469, 95, 191, 151, 54, 94, 151, 167, 177, 112, 123, 151]","[62930, 62751, 63814, 2894, 3667, 2928, 2481, 1953, 1228, 896, 352, 206, 65518, 65137, 65317, 64712, 64720, 64622, 63927, 63670, 63338, 63676, 63850, 64934, 780, 2880, 2591, 1374, 748, 142, 65446, 65356, 65170, 65090, 64964, 64914, 64903, 65250, 103, 753, 593, 10, 65049, 65006, 65291, 65028, 65296, 226, 65518, 65399, 65359, 65354, 65375, 65382, 65378, 65367, 65475, 65429, 65399, 65405]","[56566, 55642, 50576, 13931, 60090, 17219, 5836, 15190, 11667, 5897, 63360, 59575, 55611, 53813, 55898, 57034, 62720, 61267, 64811, 65477, 64265, 59872, 59089, 55295, 3657, 55508, 58439, 7499, 9369, 9279, 4790, 2703, 251, 9312, 9468, 7772, 15108, 12195, 12959, 21501, 25000, 25000, 25000, 25000, 13076, 1806, 3932, 1001, 1132, 3709, 199, 61780, 63233, 65186, 63951, 63311, 62040, 62990, 64284, 64477]","[7374, 25000, 25000, 25000, 23941, 289, 48349, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 49265, 50109, 53737, 60099, 6640, 25000, 25000, 25000, 25000, 25000, 56801, 40536, 40536, 41785, 48426, 55732, 59884, 62391, 4414, 11709, 21742, 25000, 25000, 25000, 25000, 19476, 15627, 11404, 4210, 64879, 1195, 63768, 62081, 64236, 64466, 65100, 482, 353, 65478, 553, 465, 64947, 65298, 157]","[53057, 40536, 40536, 40536, 55491, 4737, 15588, 23368, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 21330, 16705, 15972, 10747, 5633, 63277, 51369, 42108, 40536, 40536, 53215, 64577, 17480, 23339, 21112, 15797, 11519, 9060, 3170, 586, 56920, 43929, 40536, 40536, 40536, 40536, 40536, 40536, 44537, 58915, 4297, 9377, 5714, 1398, 413, 65501, 617, 730, 269, 65347, 65084, 65034, 33, 65425, 65316]"
basket,"[62568, 61612, 62028, 63247, 63829, 63952, 64124, 64209, 64135, 64268, 64461, 64699, 64907, 65120, 65389, 65417, 65507, 55, 64837, 63806, 61612, 61612, 64940, 41, 65368, 102, 285, 386, 185, 359, 375, 579, 372, 445, 65526, 64969, 63905, 62814, 63028, 61612, 62514, 64107, 64354, 64489, 64594, 64657, 64613, 64636, 64618, 64611, 64582, 64534, 64556, 64595, 64627, 64623, 64604, 64588, 64572, 64588]","[65439, 2302, 2710, 2122, 1338, 1234, 1564, 1807, 1472, 1101, 891, 685, 244, 135, 65000, 64554, 63672, 63442, 63815, 63832, 64181, 1568, 1147, 1508, 357, 37, 214, 87, 65329, 65444, 65243, 65291, 64917, 65038, 64970, 65196, 65488, 1363, 1268, 2011, 2681, 1172, 1325, 665, 115, 95, 199, 138, 19, 226, 233, 180, 179, 211, 246, 234, 239, 249, 238, 224]","[65083, 1811, 3476, 2848, 2338, 2125, 1545, 1026, 578, 187, 65416, 65349, 65022, 64831, 64122, 63707, 62902, 62562, 63154, 63610, 64195, 2840, 3257, 2605, 1706, 675, 65525, 65479, 56, 65320, 65418, 65374, 65454, 65249, 65423, 238, 370, 118, 204, 64945, 65460, 65086, 65351, 65089, 65162, 65460, 99, 65493, 65281, 65284, 65441, 44, 66, 65505, 65436, 65399, 65385, 65416, 65465, 65511]","[63765, 5163, 55726, 7181, 11946, 15829, 14112, 4737, 61836, 55500, 54178, 47407, 46741, 47434, 51383, 61123, 3639, 62149, 58149, 51030, 55169, 40536, 60595, 3352, 12563, 19127, 13946, 562, 60386, 63769, 2311, 7003, 13058, 18301, 23479, 22180, 25000, 25000, 23374, 25000, 56762, 61734, 17323, 9751, 13058, 13942, 8011, 64255, 63133, 61244, 56398, 56362, 58753, 63295, 63750, 63306, 62294, 61251, 60431, 59418]","[25000, 25000, 25000, 60718, 49297, 41884, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 41479, 42769, 6034, 25000, 25000, 25000, 25000, 16573, 55002, 45065, 43229, 50974, 60618, 63176, 64859, 2975, 7704, 11677, 18474, 25000, 25000, 25000, 21819, 15335, 7314, 63339, 2539, 3124, 64757, 2829, 6404, 2902, 61414, 61009, 64001, 2089, 2618, 476, 64607, 64351, 64315, 64725, 0, 261, 157]","[40536, 40856, 52872, 6337, 15356, 18867, 24080, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 17492, 9401, 55401, 40536, 40536, 40536, 40536, 53189, 8508, 21004, 20966, 18192, 17183, 11824, 9941, 10361, 6477, 1045, 54118, 42326, 40536, 40536, 40536, 40536, 40536, 40536, 44115, 2151, 14790, 14626, 9209, 4645, 2798, 1963, 65017, 64312, 64355, 64195, 65287, 96, 65302, 64789, 64990, 65053, 65214]"
basket,"[61612, 61612, 61674, 63215, 63770, 63595, 63616, 63315, 63784, 63978, 64416, 64953, 65333, 30, 311, 449, 356, 369, 64841, 63231, 61612, 63850, 39, 17, 65286, 172, 283, 443, 250, 397, 579, 787, 681, 159, 64902, 64128, 63419, 62991, 62648, 62050, 62638, 64188, 64584, 64492, 64467, 64550, 64607, 64646, 64616, 64625, 64543, 64444, 64535, 64576, 64613, 64611, 64603, 64601, 64590, 64585]","[63956, 2015, 1846, 2068, 836, 1093, 1541, 1544, 1118, 812, 179, 0, 65433, 65063, 64688, 64268, 63685, 63787, 63919, 64165, 1060, 1511, 663, 881, 7, 65254, 65473, 65256, 65198, 65284, 65117, 65098, 64914, 64897, 65281, 65439, 365, 1527, 917, 1378, 1331, 1413, 1063, 496, 91, 25, 132, 45, 118, 119, 210, 178, 79, 160, 124, 135, 154, 146, 149, 157]","[64433, 2976, 3638, 3189, 2383, 2131, 1399, 997, 191, 65454, 65129, 64970, 64949, 64611, 64042, 63489, 63145, 62615, 63315, 64042, 583, 2858, 1868, 1751, 1245, 410, 65511, 50, 24, 65104, 65152, 65155, 65126, 65324, 233, 723, 476, 354, 65138, 131, 65376, 65103, 65163, 65224, 65282, 65358, 65462, 65491, 65475, 65367, 65512, 189, 31, 65435, 65414, 65411, 65376, 65340, 65372, 65406]","[51063, 10639, 60409, 9190, 6373, 6854, 10353, 62308, 59899, 50978, 46907, 51598, 54884, 57734, 62275, 63576, 2450, 58629, 55694, 56125, 7724, 44258, 61266, 64059, 5252, 16138, 8862, 5024, 5211, 5970, 7723, 8279, 13914, 21099, 25000, 14500, 25000, 24327, 25000, 25000, 6696, 12973, 13014, 11649, 14665, 14638, 9897, 3075, 63854, 60638, 56779, 55095, 61375, 62839, 63688, 65493, 65049, 64954, 65085, 63573]","[25000, 25000, 25000, 61004, 50007, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 41190, 49060, 55043, 16970, 25000, 25000, 25000, 24683, 60313, 51413, 40536, 40536, 48649, 58416, 60836, 63393, 5472, 13249, 19351, 25000, 25000, 25000, 25000, 22860, 25000, 10399, 917, 63773, 153, 498, 2943, 5818, 5683, 1282, 64025, 63089, 991, 1661, 64785, 64439, 64719, 64601, 64451, 65343, 724, 936]","[40536, 40536, 55433, 4837, 16467, 16685, 25000, 25000, 25000, 25000, 25000, 25000, 23692, 19021, 14494, 10325, 1292, 50569, 40536, 40536, 40536, 55101, 137, 9405, 18111, 18104, 16142, 15171, 10795, 6225, 4272, 62712, 57159, 43363, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 47659, 4882, 15916, 16067, 9568, 4859, 2674, 64953, 63552, 63550, 63785, 8, 341, 526, 355, 160, 467, 543, 152]"
basket,"[62354, 61612, 61612, 63418, 63627, 63683, 63712, 63836, 63911, 64049, 64464, 64863, 65250, 65508, 117, 185, 387, 404, 183, 65490, 64404, 62666, 61612, 63620, 65493, 65330, 65469, 325, 312, 351, 220, 468, 509, 777, 732, 197, 64616, 63762, 62177, 62113, 61765, 62505, 63944, 64273, 64448, 64648, 64611, 64614, 64641, 64667, 64641, 64589, 64551, 64515, 64518, 64558, 64588, 64606, 64609, 64591]","[63898, 2342, 1731, 2138, 888, 1063, 1452, 1282, 1108, 777, 330, 150, 65461, 65256, 65160, 64986, 64421, 64158, 64137, 63823, 63889, 63948, 432, 1718, 945, 969, 65311, 65384, 65504, 65158, 65153, 65416, 65129, 65107, 64897, 64468, 65120, 65194, 591, 1503, 1651, 2194, 1302, 1228, 779, 35, 262, 84, 70, 65502, 65522, 64, 89, 73, 138, 198, 141, 136, 123, 57]","[64326, 3128, 3856, 2593, 2273, 1909, 1406, 1070, 469, 39, 65333, 65144, 65053, 64891, 64641, 64305, 63529, 63383, 63365, 63068, 63572, 63867, 1111, 3924, 1993, 1404, 703, 92, 38, 65388, 65363, 65169, 65152, 64988, 65046, 65273, 242, 710, 48, 65397, 64752, 65059, 64949, 65389, 0, 65098, 65451, 65295, 65217, 65242, 65357, 65437, 65514, 20, 15, 65477, 65384, 65368, 65397, 65398]","[52688, 83, 1713, 11829, 4191, 11432, 11757, 64536, 63205, 54407, 53943, 54269, 53237, 54925, 61170, 96, 1434, 2084, 2818, 58794, 50483, 47002, 14629, 43929, 20876, 9265, 8838, 13328, 4042, 62625, 3923, 6608, 7215, 9294, 7788, 7459, 17303, 11140, 25000, 25000, 25000, 62025, 59460, 23535, 11857, 10732, 4099, 58236, 55199, 52883, 54619, 59093, 61738, 267, 1133, 64540, 63543, 63737, 63281, 63384]","[25000, 25000, 25000, 57763, 49367, 41357, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40853, 45471, 61295, 5446, 23435, 25000, 25000, 25000, 25000, 43339, 42137, 40554, 47225, 55259, 58541, 60979, 63892, 2810, 8958, 17809, 25000, 25000, 25000, 25000, 25000, 8550, 4892, 8477, 6968, 62996, 1834, 2713, 62852, 60685, 63236, 65432, 194, 714, 1295, 550, 64403, 63976, 64726, 65107, 228]","[40536, 40536, 61404, 6215, 16293, 17827, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 21897, 17088, 16481, 14633, 4296, 62536, 52354, 40536, 40536, 40536, 50556, 6633, 17299, 22014, 18269, 16132, 13583, 7935, 5879, 3645, 60538, 54074, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 43317, 6606, 17275, 12482, 3390, 1599, 1523, 63884, 62098, 63232, 64965, 248, 174, 325, 622, 141, 22, 65446]"
basket,"[62079, 61612, 63463, 64001, 64184, 64167, 64290, 64288, 64347, 64482, 64819, 65073, 65329, 124, 279, 401, 490, 480, 560, 419, 65476, 64774, 63151, 62263, 64869, 87, 84, 467, 369, 480, 459, 506, 578, 659, 636, 90, 65090, 64061, 63483, 63368, 62680, 62828, 62837, 63549, 64534, 64449, 64431, 64582, 64623, 64644, 64594, 64623, 64573, 64556, 64566, 64500, 64526, 64582, 64589, 64610]","[64789, 3279, 2025, 2044, 757, 991, 1273, 1284, 1159, 820, 433, 222, 108, 65464, 65186, 64931, 64805, 64559, 64394, 64319, 64274, 64323, 64795, 2384, 1183, 406, 539, 65356, 65368, 65371, 65292, 65233, 65136, 65176, 64995, 64959, 65363, 65393, 1049, 1048, 1110, 1230, 562, 1450, 1444, 625, 331, 43, 15, 35, 2, 68, 75, 170, 136, 189, 163, 139, 148, 124]","[65519, 3832, 2547, 2434, 1988, 1669, 1311, 1270, 883, 401, 65471, 65305, 65017, 64889, 64806, 64581, 64226, 63994, 63702, 63691, 63553, 63960, 65177, 2718, 3040, 1023, 810, 232, 198, 52, 65366, 65214, 65162, 65111, 65069, 65335, 249, 645, 432, 476, 65394, 257, 65479, 64916, 65016, 65271, 65407, 65476, 65437, 65451, 65389, 65367, 65422, 65500, 25, 173, 91, 65485, 65431, 65369]","[65401, 14136, 4150, 2859, 63532, 7110, 9073, 3882, 65118, 60103, 53062, 53311, 53704, 53988, 57696, 63814, 1120, 1247, 64667, 63267, 60007, 56320, 59632, 2311, 42194, 16128, 10089, 9553, 8870, 2668, 2912, 3936, 7790, 10277, 9527, 13604, 13283, 15144, 25000, 21325, 25000, 14953, 18559, 25000, 11663, 7982, 10747, 7218, 5044, 64312, 61555, 63189, 64706, 62839, 59727, 60608, 62693, 63310, 62526, 61212]","[25000, 25000, 13151, 64676, 53229, 45306, 42976, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 43370, 44921, 47562, 52553, 59772, 11272, 25000, 25000, 25000, 25000, 62868, 42693, 44989, 48691, 52374, 54869, 58382, 64870, 3865, 10530, 18600, 25000, 25000, 25000, 25000, 25000, 24247, 16328, 3123, 61884, 1178, 6108, 2914, 49, 63389, 62969, 63322, 54, 2163, 2713, 2439, 2188, 64205, 63419, 63456, 64494]","[40536, 42657, 60686, 5800, 11588, 12651, 18750, 25000, 25000, 25000, 25000, 25000, 25000, 22375, 19195, 15176, 12002, 8165, 3000, 58384, 50153, 40536, 40536, 40536, 65239, 9041, 16515, 18940, 16957, 12477, 9352, 5890, 726, 60681, 53692, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 46126, 62593, 9391, 12939, 11332, 6189, 3065, 219, 65188, 65285, 64628, 64352, 64232, 383, 421, 709, 578]"
basket,"[62435, 61892, 62731, 63756, 63994, 63856, 64018, 64092, 64361, 64410, 64718, 65118, 65416, 160, 398, 497, 545, 699, 733, 559, 466, 138, 64999, 63990, 63239, 64157, 65301, 65378, 65302, 159, 296, 516, 384, 617, 706, 746, 447, 65467, 64863, 64345, 63086, 62339, 62606, 62686, 63094, 64376, 64535, 64521, 64635, 64646, 64639, 64638, 64595, 64603, 64582, 64557, 64544, 64554, 64590, 64607]","[64796, 1942, 1601, 1555, 733, 884, 1156, 1249, 863, 737, 382, 316, 135, 57, 65438, 65253, 64991, 64649, 64405, 64278, 64347, 64399, 64717, 65167, 116, 2224, 847, 855, 341, 65415, 65328, 65337, 65161, 65105, 65067, 64942, 65011, 65080, 65384, 65420, 199, 1249, 1654, 1138, 1426, 1570, 727, 418, 269, 65504, 8, 72, 117, 158, 149, 124, 127, 228, 214, 160]","[64853, 2584, 2845, 2303, 2342, 2050, 1568, 1267, 611, 309, 65463, 65331, 65164, 65163, 64958, 64834, 64608, 64121, 63944, 63847, 63744, 63715, 64271, 65028, 395, 2688, 2381, 1134, 773, 444, 151, 65439, 65301, 65150, 65179, 64980, 65165, 346, 475, 631, 636, 65370, 65248, 65303, 65505, 65004, 65109, 65213, 65366, 65417, 65460, 65375, 65305, 65340, 65449, 0, 55, 34, 65478, 65406]","[62427, 2557, 64282, 11175, 3907, 13161, 14690, 7294, 3478, 62611, 55877, 54159, 53166, 56824, 58168, 60422, 62342, 62889, 64786, 502, 64162, 63104, 63763, 1850, 3000, 46431, 54886, 16866, 9955, 12050, 6334, 44, 64924, 3033, 8407, 12253, 18520, 17408, 18771, 6866, 20490, 25000, 25000, 25000, 25000, 13325, 5986, 9973, 2675, 267, 354, 64132, 62227, 59840, 59144, 57258, 58376, 61006, 60868, 60432]","[25000, 25000, 15205, 62274, 52549, 41626, 41336, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 41075, 43856, 44843, 48843, 57180, 64162, 8983, 23845, 25000, 25000, 25000, 25000, 59408, 45152, 47321, 49295, 52745, 55884, 59748, 62816, 4485, 10556, 20208, 25000, 25000, 25000, 25000, 25000, 25000, 17351, 8084, 59447, 64102, 960, 58, 734, 64490, 62823, 63657, 757, 1773, 1837, 1578, 70, 64191, 63854]","[40536, 47903, 59329, 6839, 10762, 12480, 19134, 24309, 25000, 25000, 25000, 25000, 23575, 21213, 20130, 18277, 18330, 15311, 9073, 1316, 58397, 49177, 40536, 40536, 40536, 44006, 133, 16618, 22730, 22695, 19210, 12977, 11428, 5870, 2932, 60600, 49150, 40536, 40536, 40536, 40536, 40536, 40536, 40892, 49623, 63024, 8119, 10770, 9423, 6433, 2906, 1516, 469, 64674, 64794, 64408, 63726, 64614, 172, 300]"
