gesture,ax,ay,az,gx,gy,gz
basket,"[62424, 61612, 61612, 62909, 63037, 63888, 63986, 63849, 63699, 63872, 63889, 64017, 64149, 64578, 65175, 65451, 316, 796, 536, 486, 398, 349, 455, 373, 478, 314, 220, 121, 169, 64986, 64706, 64912, 65305, 354, 279, 65534, 65461, 65262, 65330, 121, 42, 316, 428, 707, 792, 833, 814, 546, 166, 65267, 64632, 63971, 63587, 63294, 63306, 63167, 62898, 63146, 64077, 64408]","[65213, 924, 2366, 1376, 406, 246, 747, 1122, 1216, 1199, 1197, 1107, 888, 488, 80, 65490, 64976, 64962, 65008, 64843, 64963, 65143, 65058, 64927, 65070, 65064, 65292, 65299, 93, 45, 612, 856, 463, 40, 640, 743, 588, 383, 71, 34, 121, 65277, 65173, 65202, 65019, 64940, 65144, 64962, 65328, 323, 114, 128, 627, 128, 65527, 48, 318, 1454, 1619, 560]","[65497, 43, 1457, 1195, 102, 113, 571, 720, 747, 553, 381, 226, 65338, 64995, 65051, 64844, 64614, 64523, 64663, 64695, 64768, 64829, 64864, 64901, 65013, 65057, 65282, 65511, 65487, 253, 1426, 2637, 1299, 686, 805, 1104, 1066, 897, 522, 267, 221, 150, 37, 65458, 45, 207, 74, 375, 167, 46, 369, 207, 384, 328, 171, 65374, 65159, 65271, 65255, 65436]","[63946, 20500, 2505, 63438, 62418, 60152, 65448, 62495, 58847, 51293, 45323, 45778, 41489, 44367, 52201, 51134, 49870, 58404, 56738, 61410, 315, 65392, 62057, 61657, 64281, 61217, 60314, 58704, 63907, 62097, 1588, 64323, 173, 8587, 9715, 59237, 57343, 59068, 64875, 7042, 63570, 58565, 1102, 2790, 3395, 10076, 15746, 19062, 25000, 19792, 10353, 13840, 714, 61072, 12060, 25000, 25000, 25000, 56383, 47853]","[25000, 25000, 25000, 42457, 40536, 52961, 3110, 2680, 57864, 44797, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 54267, 61614, 2422, 5631, 8774, 13257, 14178, 19255, 25000, 25000, 25000, 25000, 25000, 6047, 45887, 57077, 5256, 5487, 61207, 54150, 48061, 49787, 53704, 56118, 56503, 59846, 3431, 8823, 9383, 17975, 19025, 19334, 25000, 25000, 25000, 25000, 25000, 15388, 8781, 3447, 63863, 65422]","[40536, 40536, 40536, 18492, 25000, 16350, 12462, 16154, 18784, 18077, 19571, 23057, 24850, 25000, 25000, 25000, 25000, 17788, 10236, 4976, 62842, 60368, 61719, 56889, 55391, 52972, 49636, 46060, 42951, 44880, 47934, 64027, 7657, 8271, 3536, 163, 4110, 10049, 15831, 19282, 16542, 14229, 12130, 8989, 5360, 617, 61045, 55212, 43581, 40536, 40536, 40536, 40536, 40536, 45667, 55921, 55930, 42664, 46330, 3392]"
basket,"[62452, 61612, 61612, 62380, 64555, 64778, 64300, 63690, 63275, 63567, 63661, 63984, 64494, 64717, 64923, 65111, 65301, 65393, 114, 251, 301, 527, 412, 617, 542, 437, 123, 65472, 65365, 64919, 64413, 64421, 65037, 65106, 65074, 65071, 65098, 65322, 65272, 65262, 153, 149, 421, 331, 540, 354, 320, 65408, 65062, 64465, 64527, 64136, 64196, 63848, 63956, 63982, 63701, 63532, 63792, 64314]","[65017, 65335, 2204, 1602, 64915, 65195, 708, 614, 869, 696, 998, 929, 722, 1056, 615, 483, 654, 709, 533, 1, 65505, 65026, 64684, 64703, 64497, 64665, 64958, 65117, 65109, 65276, 306, 50, 329, 562, 542, 351, 767, 731, 277, 15, 65413, 65231, 65294, 65174, 65071, 65015, 65309, 65402, 461, 1362, 1081, 882, 934, 888, 583, 387, 348, 726, 1472, 1150]","[65088, 65069, 2348, 2284, 64589, 73, 254, 540, 658, 328, 533, 574, 511, 439, 270, 96, 148, 165, 65514, 62, 65339, 65069, 64716, 64359, 64049, 64046, 64417, 64679, 64838, 65087, 102, 836, 1871, 1629, 1388, 1534, 1186, 775, 561, 382, 174, 46, 123, 136, 131, 390, 248, 359, 316, 95, 210, 203, 74, 324, 295, 39, 65279, 65289, 65364, 65317]","[3554, 2177, 56928, 40536, 14074, 14730, 59218, 57634, 2832, 3135, 64992, 59939, 64352, 56081, 46126, 53048, 51545, 49511, 40827, 50489, 52002, 46047, 52681, 59144, 60428, 60409, 65443, 64391, 62047, 18, 51992, 43500, 62234, 6924, 3386, 5867, 1907, 53711, 54789, 64072, 6564, 10969, 5365, 65428, 3693, 8778, 15142, 21699, 25000, 25000, 13510, 15687, 15118, 6363, 5039, 13722, 25000, 25000, 6976, 43731]","[25000, 25000, 25000, 40536, 40536, 12217, 10904, 1205, 53136, 47787, 51236, 48684, 47311, 45715, 42130, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 44341, 55006, 4720, 17598, 23859, 25000, 25000, 25000, 25000, 25000, 9578, 3581, 65465, 57728, 52939, 51671, 48112, 49321, 54975, 64011, 4403, 6968, 13208, 12519, 17423, 20046, 11331, 11049, 12331, 9225, 15106, 13486, 6668, 802, 3288, 4483, 626]","[40536, 40536, 40536, 61317, 25000, 64179, 59371, 4428, 14732, 20930, 21943, 21646, 21967, 22773, 20931, 23524, 20336, 21339, 21063, 20583, 21341, 21023, 13975, 7387, 2592, 54733, 48346, 48046, 44270, 40536, 40536, 40536, 48892, 3556, 8983, 10386, 7213, 5671, 10860, 16404, 20296, 21769, 13858, 5886, 1729, 59943, 53422, 49346, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 49178, 57853, 55265, 47612, 57496]"
basket,"[62710, 61612, 61612, 62633, 62729, 62976, 63612, 63463, 63707, 63984, 64249, 64389, 64446, 64656, 64889, 65246, 11, 187, 505, 624, 762, 551, 473, 383, 169, 65394, 64596, 64976, 116, 330, 313, 307, 65527, 118, 65489, 207, 312, 461, 263, 64988, 64402, 63178, 62906, 62876, 61974, 61909, 63078, 63958, 64111, 64342, 64530, 64566, 64582, 64470, 64432, 64444, 64445, 64462, 64534, 64615]","[64909, 65433, 1639, 2886, 474, 43, 844, 1252, 775, 987, 947, 844, 882, 678, 444, 19, 65209, 64790, 64444, 64505, 64648, 64752, 65036, 65132, 65183, 65223, 292, 667, 657, 319, 573, 282, 65529, 65394, 65362, 65113, 65086, 64798, 64886, 64969, 427, 397, 711, 331, 65319, 634, 1831, 1066, 65367, 65321, 334, 478, 370, 377, 374, 290, 213, 170, 140, 95]","[65236, 64737, 1182, 1483, 320, 369, 469, 491, 581, 543, 345, 231, 65477, 65319, 65087, 65025, 64929, 64515, 64268, 64135, 64217, 64524, 64812, 64935, 65112, 65353, 827, 1778, 1574, 841, 550, 277, 218, 144, 108, 3, 65508, 12, 49, 36, 11, 127, 33, 65436, 65445, 65461, 82, 171, 351, 159, 90, 54, 65504, 65407, 65386, 65388, 65438, 65486, 65499, 65504]","[692, 15639, 10384, 40536, 48989, 11686, 16369, 51816, 52348, 60581, 51594, 50574, 47592, 45878, 47294, 44267, 54203, 49743, 53196, 62847, 60920, 63511, 64655, 59521, 59201, 62498, 56272, 54142, 65075, 17387, 13897, 64038, 61909, 2633, 2083, 4177, 6970, 8550, 12855, 21558, 20912, 5710, 64716, 61320, 13750, 25000, 13387, 40993, 61230, 25000, 25000, 15164, 2541, 65372, 65279, 2438, 4544, 3791, 805, 63381]","[25000, 25000, 25000, 20116, 40536, 40536, 52160, 56923, 46829, 49211, 44455, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 52216, 2668, 14046, 17155, 21704, 25000, 25000, 25000, 20319, 2707, 61565, 61431, 62393, 64725, 65122, 2780, 3574, 7799, 12617, 20068, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 15164, 10836, 65382, 58834, 59798, 58951, 56331, 54370, 56591, 59932, 62875, 64432, 64420, 64406]","[40536, 40536, 40536, 40536, 16538, 25000, 22875, 17932, 22818, 23462, 20908, 23868, 23797, 25000, 25000, 25000, 25000, 24885, 12836, 3939, 62331, 54956, 53862, 49430, 48516, 46639, 40536, 55417, 61626, 7959, 12373, 12147, 13107, 13669, 12183, 10012, 5546, 61318, 49188, 40536, 40536, 40536, 40536, 40536, 58055, 46733, 40536, 56969, 15604, 24808, 19869, 10907, 5435, 3778, 5995, 10469, 13737, 13545, 11253, 8120]"
basket,"[62240, 61612, 61612, 63232, 63017, 63852, 64112, 64288, 64370, 64431, 64608, 64683, 64711, 64859, 64747, 64797, 65080, 65164, 65351, 66, 244, 595, 617, 542, 443, 188, 65383, 64938, 63746, 61724, 63908, 64805, 64695, 65037, 64985, 65093, 65294, 65503, 65533, 65513, 65416, 65326, 65227, 65531, 65410, 242, 325, 466, 576, 488, 236, 64897, 64024, 63440, 63347, 63110, 62185, 61612, 63429, 64012]","[65027, 1129, 3056, 1652, 87, 65534, 566, 817, 802, 1145, 1282, 1410, 1214, 1252, 1317, 972, 829, 692, 134, 65017, 64631, 64521, 64400, 64581, 64761, 64530, 64322, 64769, 65251, 64853, 734, 873, 307, 65512, 570, 596, 628, 278, 329, 577, 372, 259, 159, 7, 65460, 65450, 65258, 65111, 65068, 65078, 65196, 65261, 269, 419, 740, 282, 65125, 1368, 1983, 580]","[64976, 73, 1217, 879, 65419, 65434, 344, 461, 505, 660, 627, 571, 429, 182, 62, 65429, 65411, 65438, 65512, 65259, 65096, 64624, 64431, 64249, 64309, 64365, 64342, 64563, 64944, 38, 2254, 1987, 1649, 1338, 1279, 1223, 1005, 798, 664, 639, 665, 630, 508, 431, 422, 296, 99, 194, 69, 65456, 65527, 65464, 96, 166, 18, 65202, 64997, 844, 386, 635]","[3349, 25000, 58684, 40536, 62210, 22573, 12310, 61694, 1104, 6435, 63383, 57541, 55146, 51389, 45341, 47531, 54234, 58207, 53129, 54256, 49072, 53048, 59405, 62005, 62797, 59078, 56147, 51181, 47619, 40536, 62398, 7688, 4369, 10171, 1057, 61420, 63684, 64741, 3858, 62263, 55320, 58288, 60824, 1055, 3117, 1829, 2324, 5863, 5813, 10309, 13388, 17400, 15569, 6936, 910, 954, 25000, 9369, 44550, 40536]","[25000, 25000, 25000, 2072, 40536, 50954, 749, 1151, 63596, 60005, 53696, 49855, 44441, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 42336, 40887, 46670, 56760, 3859, 13547, 20931, 25000, 25000, 25000, 25000, 9585, 60120, 62824, 1421, 63831, 58807, 57417, 58864, 59369, 59025, 57905, 55886, 57156, 60644, 59615, 57448, 60590, 64568, 2712, 15094, 23978, 25000, 25000, 25000, 19929, 18099, 25000, 12005, 49579]","[40536, 40536, 40536, 47299, 25000, 25000, 12168, 7345, 9720, 14103, 13848, 17836, 21189, 22879, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 17172, 9295, 62566, 56145, 56115, 48038, 40536, 40536, 40536, 40536, 5955, 19572, 11983, 212, 62361, 1821, 7066, 8239, 5903, 6307, 8329, 11754, 14362, 14133, 12436, 10383, 6816, 62619, 53069, 40536, 40536, 40536, 40536, 40536, 46759, 62228, 40536, 40536, 2950]"
basket,"[62200, 61612, 61612, 62475, 63743, 64494, 63971, 63845, 63786, 64021, 64292, 64327, 64331, 64542, 64567, 64687, 65122, 65399, 271, 381, 512, 568, 727, 703, 496, 526, 532, 164, 65344, 64696, 63450, 63364, 64612, 64532, 64682, 64964, 65078, 65163, 65348, 65440, 65499, 65528, 65431, 65414, 157, 226, 230, 229, 429, 456, 126, 191, 65355, 65341, 64710, 64093, 64125, 63873, 63925, 63991]","[64914, 65385, 3924, 419, 64754, 65284, 452, 748, 907, 1025, 975, 1186, 1209, 1198, 1052, 767, 334, 238, 65469, 65314, 65062, 65070, 64852, 64772, 64836, 64630, 64712, 64615, 65128, 65461, 65319, 64904, 944, 1050, 338, 388, 717, 646, 369, 488, 513, 336, 297, 248, 68, 65533, 65481, 65407, 65301, 65534, 65339, 65456, 178, 287, 49, 461, 608, 328, 364, 288]","[65056, 65131, 2528, 555, 65230, 65483, 865, 823, 609, 568, 555, 570, 448, 126, 20, 65356, 65224, 65214, 65126, 65132, 64956, 64797, 64709, 64740, 64790, 64357, 64300, 64222, 64343, 64732, 65241, 781, 2036, 1772, 1636, 1307, 1229, 1192, 963, 748, 672, 621, 554, 362, 238, 303, 410, 533, 398, 611, 745, 498, 448, 394, 529, 456, 518, 451, 204, 84]","[64255, 25000, 47964, 40536, 65380, 15824, 5514, 1744, 7576, 65376, 60155, 59263, 56096, 53096, 40573, 41843, 48885, 45574, 48006, 54186, 59562, 61380, 60045, 61300, 62281, 802, 64269, 62900, 61493, 55352, 43941, 56411, 11123, 61353, 64396, 7283, 576, 61358, 2519, 3563, 61876, 63749, 429, 65299, 65147, 63637, 63231, 64092, 3907, 3176, 2249, 13016, 15624, 10279, 5382, 10793, 65425, 3832, 13123, 18373]","[25000, 25000, 25000, 40536, 40536, 9947, 12383, 58789, 55518, 51895, 51144, 47889, 42572, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 42409, 49144, 56099, 59800, 56225, 3233, 13900, 25000, 25000, 25000, 25000, 25000, 3295, 59603, 60001, 64199, 62789, 58339, 55932, 59580, 60914, 60908, 57922, 60108, 64522, 2497, 3992, 3727, 10914, 13450, 8818, 10612, 15142, 25000, 25000, 25000, 20246, 12689, 13541]","[40536, 40536, 40536, 21011, 25000, 7680, 7213, 9776, 13541, 15102, 15610, 16533, 18340, 19908, 19578, 22028, 25000, 22929, 16387, 16645, 14344, 10837, 7865, 1353, 62139, 59833, 53122, 46877, 40536, 40536, 40536, 40536, 44032, 64098, 8267, 7698, 2192, 2384, 8696, 9638, 8035, 10350, 12221, 13795, 15724, 13323, 9323, 6611, 3141, 64250, 60084, 57791, 53455, 44778, 40536, 40536, 40536, 50231, 58072, 62759]"
basket,"[62269, 61612, 61811, 62893, 63367, 63316, 63691, 64266, 64736, 64885, 65202, 65439, 65224, 65090, 64959, 64979, 64800, 65211, 65340, 63, 658, 527, 542, 384, 64, 65116, 64112, 63211, 62823, 64380, 64450, 64384, 64736, 64922, 65177, 65398, 24, 225, 106, 210, 107, 65476, 123, 65510, 110, 58, 201, 375, 790, 436, 65425, 64199, 63427, 63530, 63352, 62541, 62163, 63384, 64040, 64267]","[65109, 1278, 2682, 943, 225, 276, 43, 118, 583, 1326, 1190, 1074, 1419, 1304, 1078, 726, 672, 65387, 65175, 65010, 64604, 64314, 64332, 64423, 64471, 64821, 65153, 8, 65200, 557, 697, 491, 284, 487, 533, 371, 304, 28, 227, 282, 135, 189, 147, 20, 38, 65527, 65516, 65163, 65260, 65105, 65151, 65339, 480, 690, 65491, 96, 1286, 2045, 947, 65320]","[65419, 1435, 2540, 987, 650, 746, 767, 494, 699, 1007, 724, 611, 588, 346, 288, 241, 65381, 65137, 64913, 64643, 64295, 64128, 64025, 64085, 64040, 64356, 64769, 65127, 555, 1718, 1998, 2082, 1924, 1631, 1190, 754, 612, 508, 664, 637, 616, 571, 382, 364, 320, 312, 385, 131, 65469, 65410, 100, 713, 568, 498, 241, 12, 13, 65489, 151, 234]","[61912, 10219, 47115, 49677, 12362, 59038, 2431, 16462, 13956, 6981, 54583, 56180, 49336, 41686, 40536, 44436, 45027, 43184, 59859, 63408, 59179, 61368, 2146, 2539, 4524, 59719, 57226, 55212, 40536, 60284, 12256, 5201, 64776, 1398, 65449, 3492, 64255, 64542, 65421, 61796, 61318, 62387, 62531, 61927, 61782, 62959, 45, 4096, 13364, 15599, 17065, 11723, 15958, 10650, 19550, 25000, 18670, 47303, 40536, 3626]","[25000, 25000, 25000, 45158, 55717, 55160, 54417, 58658, 62747, 62484, 50270, 48246, 43600, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 51972, 61354, 8004, 16300, 25000, 25000, 25000, 25000, 25000, 9206, 2150, 64478, 58711, 54557, 51588, 53847, 56178, 61019, 61798, 61690, 61254, 60027, 61645, 62662, 63078, 63589, 61896, 3026, 17605, 25000, 25000, 25000, 25000, 25000, 19869, 10634, 13019, 10054, 57915]","[40536, 40536, 47789, 9250, 25000, 15643, 13975, 11965, 7787, 6381, 5797, 7756, 13541, 17993, 25000, 25000, 25000, 25000, 16892, 14666, 12713, 1132, 57803, 48049, 44360, 40536, 40536, 40536, 40536, 40983, 8430, 13658, 4060, 3975, 5599, 10156, 8740, 8813, 5388, 5065, 6207, 5475, 7152, 6874, 4832, 4287, 3713, 1020, 60954, 52469, 40536, 40536, 40536, 40536, 42373, 40536, 40536, 40536, 62514, 20293]"
basket,"[62829, 61612, 61612, 62314, 62934, 64055, 64072, 63933, 64040, 64301, 64741, 64716, 64624, 64544, 64491, 64648, 65075, 65328, 575, 905, 1010, 761, 626, 316, 65507, 65451, 64751, 63839, 62777, 63967, 64468, 64800, 65105, 65297, 65288, 65385, 65231, 65436, 65482, 123, 80, 372, 86, 424, 96, 65214, 64925, 64374, 64233, 64067, 63852, 63944, 63620, 63107, 63418, 64384, 64367, 64526, 64674, 64655]","[64430, 69, 3196, 1856, 65101, 65307, 459, 798, 897, 1075, 1175, 1413, 1207, 1182, 1110, 599, 395, 65162, 64830, 64792, 64998, 64985, 64859, 65002, 64955, 64705, 64934, 65471, 102, 203, 804, 164, 127, 289, 350, 318, 235, 44, 65490, 36, 65437, 65402, 65454, 332, 204, 247, 429, 567, 712, 130, 447, 343, 151, 664, 1873, 1459, 226, 65380, 98, 308]","[64942, 65073, 2451, 1113, 75, 88, 757, 940, 669, 559, 600, 643, 603, 200, 65485, 65318, 65078, 64935, 64735, 64605, 64591, 64701, 64670, 64939, 64877, 64553, 64654, 65091, 593, 2620, 2349, 1648, 1461, 1177, 913, 616, 452, 268, 146, 210, 195, 373, 416, 433, 470, 392, 586, 507, 607, 564, 442, 81, 65283, 65205, 65325, 65158, 65392, 65473, 65436, 65513]","[61284, 11593, 12689, 42566, 64996, 12204, 7815, 7251, 10303, 7037, 456, 58546, 54174, 52457, 48765, 53772, 56927, 51789, 58095, 63180, 64427, 63200, 64898, 65074, 63267, 61071, 57258, 51221, 46605, 64388, 4660, 64552, 5648, 4499, 151, 65324, 551, 1486, 3563, 4418, 5058, 6406, 8171, 7770, 9511, 18024, 14655, 10605, 65099, 3109, 16823, 23529, 25000, 25000, 7874, 40536, 43719, 10604, 25000, 18371]","[25000, 25000, 25000, 48799, 40536, 59220, 8522, 61549, 54276, 50765, 47862, 45148, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 45073, 55916, 63993, 3198, 11365, 11632, 19025, 25000, 25000, 25000, 25000, 58532, 54861, 60707, 57702, 57155, 55948, 56125, 54170, 57370, 64248, 1381, 7692, 12090, 7947, 12733, 14486, 20273, 20033, 24182, 25000, 23712, 14700, 6485, 3911, 64359, 59225, 57873, 55757, 63984, 3485]","[40536, 40536, 40536, 6979, 25000, 15258, 5931, 9009, 10158, 13115, 13518, 17062, 22729, 25000, 25000, 25000, 25000, 25000, 24288, 13682, 5070, 1101, 62397, 53950, 52733, 48469, 40536, 40536, 40536, 48849, 5126, 10605, 8760, 8033, 7518, 9202, 12250, 14030, 13888, 10708, 8125, 2996, 60689, 57053, 53269, 47002, 40536, 40536, 40536, 40536, 45196, 56091, 62715, 55825, 40536, 52224, 12145, 22308, 19833, 12818]"
basket,"[62151, 61612, 61612, 62645, 63128, 63787, 63934, 64062, 64054, 64292, 64434, 64518, 64445, 64589, 64734, 64845, 65076, 65512, 307, 275, 447, 269, 198, 27, 65214, 64702, 64268, 63182, 61926, 62940, 63720, 64101, 64758, 65048, 65119, 65085, 65139, 65213, 65282, 65480, 161, 143, 238, 272, 248, 65460, 65178, 64833, 64575, 64308, 64322, 64324, 64187, 63760, 63150, 63189, 64072, 64174, 64422, 64629]","[64660, 65086, 3318, 1411, 372, 217, 643, 1062, 1151, 1422, 1199, 752, 1060, 952, 525, 526, 65458, 65128, 64959, 64648, 64546, 64616, 64546, 64379, 64342, 64483, 64929, 65177, 65071, 61, 1646, 597, 65451, 388, 486, 398, 300, 56, 65403, 65459, 8, 65523, 186, 90, 78, 34, 612, 622, 481, 641, 332, 281, 138, 65469, 346, 1205, 1701, 87, 65383, 240]","[65271, 269, 3150, 1487, 405, 610, 910, 1244, 1005, 754, 590, 444, 134, 65403, 65396, 65333, 65179, 64910, 64616, 64430, 64214, 64190, 64089, 64139, 64235, 64422, 64637, 64817, 321, 1671, 2991, 1903, 1193, 1023, 976, 895, 529, 291, 211, 244, 232, 348, 438, 424, 631, 651, 505, 584, 479, 425, 447, 256, 52, 65453, 65482, 89, 65334, 239, 179, 65528]","[58442, 16737, 62308, 46723, 5586, 1902, 4643, 6735, 9812, 389, 53430, 52583, 51649, 42938, 49671, 50617, 47315, 55478, 56364, 56187, 63179, 65012, 163, 63333, 62093, 58623, 56077, 51305, 43894, 1868, 10369, 59873, 4995, 4181, 60826, 60115, 59160, 60620, 1535, 3988, 2753, 4119, 4052, 3996, 10023, 14036, 18417, 9987, 11780, 8661, 6321, 13791, 18954, 24702, 21075, 18356, 53229, 48211, 15318, 18358]","[25000, 25000, 25000, 47840, 40536, 58101, 63525, 60934, 57910, 51274, 48032, 41786, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 41576, 48242, 58074, 64991, 10567, 19381, 25000, 25000, 25000, 25000, 25000, 17757, 46961, 49591, 276, 2807, 61623, 52575, 48101, 48893, 55229, 63210, 5778, 11699, 12038, 16228, 20853, 15319, 19269, 19353, 19444, 22032, 18076, 10740, 3778, 5672, 11841, 3070, 553, 54106, 57023]","[40536, 40536, 40536, 18, 25000, 15672, 10415, 13943, 18762, 19692, 22043, 24738, 25000, 25000, 25000, 25000, 25000, 25000, 24797, 16708, 8237, 20, 61201, 54615, 47057, 40536, 40536, 40536, 40536, 40536, 60023, 17261, 14508, 3758, 1314, 5431, 10525, 15091, 17799, 14838, 8993, 3254, 62288, 61017, 55624, 52696, 47079, 44199, 42939, 41128, 45576, 52150, 57644, 58312, 50201, 41252, 52059, 9258, 19403, 18639]"
basket,"[61612, 61612, 61612, 62583, 62934, 63902, 64255, 64290, 64206, 64255, 64389, 64541, 64655, 64749, 64837, 65029, 65134, 65065, 65383, 10, 62, 225, 372, 490, 487, 500, 550, 392, 584, 470, 536, 430, 367, 221, 153, 65318, 64696, 63291, 62081, 63275, 64021, 64261, 64881, 65054, 64832, 64865, 64988, 131, 304, 604, 510, 785, 597, 209, 65406, 64822, 64764, 64395, 64308, 64428]","[64575, 272, 2026, 1315, 125, 113, 362, 604, 585, 612, 674, 671, 684, 620, 528, 454, 610, 642, 369, 543, 331, 334, 263, 139, 139, 65318, 65156, 64750, 64642, 64562, 64335, 64457, 64566, 64445, 64622, 64569, 64500, 65066, 65321, 717, 1272, 595, 235, 593, 633, 253, 65304, 65254, 65282, 65429, 65373, 65235, 65458, 53, 296, 771, 482, 723, 969, 485]","[65421, 681, 2427, 1952, 173, 205, 231, 442, 485, 494, 413, 251, 178, 193, 105, 47, 164, 330, 275, 385, 484, 567, 532, 549, 473, 195, 65440, 64965, 64606, 64295, 63961, 64033, 64067, 64204, 64455, 64559, 64526, 64968, 175, 1551, 2987, 2038, 1298, 1028, 877, 454, 65506, 65362, 65444, 73, 170, 405, 409, 407, 552, 769, 952, 820, 695, 424]","[60328, 14707, 42529, 43808, 14665, 12136, 65070, 59449, 64525, 3612, 62946, 58771, 60000, 58286, 57147, 59418, 57109, 52097, 58195, 57033, 53980, 57517, 55073, 57882, 53141, 56586, 56833, 54477, 59753, 57708, 60807, 64190, 65520, 64067, 63356, 60060, 56273, 53624, 54641, 1035, 64402, 3125, 4062, 2519, 60338, 54891, 60882, 5557, 5656, 2472, 99, 8318, 11951, 15581, 12480, 9806, 9979, 13975, 63946, 63950]","[25000, 25000, 25000, 8524, 40536, 49306, 63191, 4175, 2980, 62614, 54816, 50069, 49649, 48667, 46484, 45818, 49572, 49575, 46773, 52208, 52977, 50824, 49713, 46448, 40724, 40536, 40536, 40536, 40536, 42899, 52707, 65147, 8131, 16331, 24276, 25000, 25000, 25000, 25000, 25000, 13866, 52603, 51413, 57227, 53375, 42423, 40536, 43663, 60540, 4809, 8634, 11474, 16287, 15764, 22914, 21901, 20561, 21873, 24687, 21389]","[40536, 40536, 40536, 54087, 25000, 24674, 5116, 4511, 10768, 15762, 13695, 10426, 11973, 14111, 14159, 14619, 14477, 14130, 14404, 12966, 12187, 13333, 13353, 15568, 16797, 19277, 22451, 20157, 16390, 10660, 3478, 61001, 56054, 53357, 46993, 45080, 40536, 40536, 40536, 40536, 61880, 15826, 12009, 10485, 13307, 15189, 18905, 19809, 11958, 3792, 64613, 60149, 52198, 46947, 40536, 40536, 40817, 40536, 40536, 43155]"
basket,"[62202, 61612, 61612, 62359, 62945, 63675, 64046, 64460, 64586, 64664, 64746, 64726, 64608, 64594, 64795, 64747, 64831, 65097, 64976, 69, 63, 2, 89, 25, 86, 65418, 65019, 64594, 62836, 61667, 64629, 714, 373, 65453, 65427, 65487, 65413, 65298, 105, 186, 307, 372, 422, 585, 591, 816, 648, 670, 698, 101, 65005, 64626, 64567, 64472, 64190, 63920, 63318, 62473, 63405, 64238]","[64864, 65396, 3641, 1627, 248, 227, 837, 746, 1120, 1360, 1431, 1244, 1234, 1209, 878, 703, 287, 65247, 64909, 64779, 64391, 64155, 64292, 64598, 64542, 64532, 64989, 64632, 64619, 667, 1833, 482, 65394, 159, 610, 569, 547, 319, 65530, 65400, 65480, 65353, 65218, 65246, 65206, 65365, 65492, 65308, 65530, 65519, 491, 385, 814, 504, 329, 80, 104, 445, 1775, 982]","[65461, 65402, 3584, 2017, 257, 335, 1213, 1273, 1097, 951, 615, 276, 156, 65481, 65525, 196, 41, 65361, 65029, 64545, 64198, 64016, 63886, 64092, 64149, 64223, 64633, 64454, 64832, 2548, 3052, 586, 1498, 2167, 1726, 1078, 923, 578, 186, 128, 116, 235, 154, 39, 58, 23, 304, 338, 152, 235, 667, 869, 855, 705, 641, 406, 234, 495, 402, 85]","[56993, 5455, 58229, 52581, 15371, 12054, 1588, 61587, 3089, 63467, 56668, 53945, 56515, 55498, 52707, 54511, 55492, 54043, 55462, 60567, 57779, 59128, 1757, 3298, 58259, 59553, 57979, 45534, 49872, 54501, 54731, 21945, 61676, 60570, 5572, 11117, 2893, 59682, 61651, 1654, 715, 63456, 64474, 2882, 4324, 9256, 4081, 8491, 17413, 17312, 4129, 276, 63467, 62978, 3147, 7293, 7179, 7103, 5250, 61920]","[25000, 25000, 25000, 47264, 40536, 59416, 63344, 52671, 52475, 48925, 43912, 41212, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 42703, 52945, 63129, 7336, 14924, 25000, 25000, 25000, 25000, 25000, 56100, 59880, 14542, 10811, 57889, 57251, 55363, 47896, 46380, 53684, 57937, 60991, 61341, 62318, 1491, 4152, 12575, 16463, 14909, 18108, 25000, 24552, 23538, 25000, 24364, 20500, 22061, 25000, 9638, 61143]","[40536, 40536, 40536, 65462, 25000, 24765, 15489, 13148, 11552, 16937, 18519, 22568, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 23469, 18009, 7027, 59234, 52932, 52714, 43233, 41186, 45729, 40536, 40536, 49703, 19825, 3487, 60523, 2610, 11619, 13976, 14446, 15591, 15365, 11830, 9791, 7957, 4832, 1130, 60432, 53460, 44447, 42895, 40536, 40536, 40536, 40536, 40536, 44859, 47635, 47659, 40536, 40667, 9240]"
