gesture,ax,ay,az,gx,gy,gz
basket,"[-2057, -3603, -2297, -1281, -1348, -1505, -1575, -1210, -871, -494, -153, -112, -46, 199, 181, 223, 117, 133, 205, -223, -1396, -1669, -1407, -1008, -33, 114, 98, -59, -162, -206, -200, -108, -113, -127, -137, -141, -112, -128, -121, -121, -122, -111, -127, -141, -139, -137, -155, -141, -143, -154]","[-151, -629, 262, 981, 44, 243, 260, 533, 516, 174, 94, -71, -226, -408, -596, -567, -470, -324, -329, -593, -637, -422, 179, 1097, -56, -76, 4, 56, 98, 129, 110, 26, 27, 100, 96, 118, 91, 79, 81, 82, 95, 73, 82, 92, 101, 99, 106, 90, 96, 95]","[116, 254, 707, 419, 67, 163, 127, 248, 149, 20, -55, -46, -227, -503, -629, -642, -523, -326, -431, -356, -486, 45, 1444, 533, -11, 235, 263, 451, 535, 513, 464, 432, 444, 463, 481, 471, 452, 453, 467, 470, 457, 459, 463, 463, 461, 460, 464, 464, 463, 465]","[-16153, -13173, 19948, 782, -12906, -1100, 7710, 11686, 2201, -985, 1577, 1083, -2781, -2278, -2041, -1746, -1360, -3774, -7319, -10271, -7327, -15145, 5835, 8382, -9663, -3003, 1052, 2442, 2491, 1722, -395, -975, 310, 202, -11, 68, -302, 218, -61, 160, -2, 243, 405, 289, 66, 199, 77, 25, 159, 219]","[25000, 25000, 20174, -8225, -18580, -25000, -25000, -25000, -25000, -23112, -18720, -14158, -17001, -13306, -6504, 212, 6398, 11871, 20513, 25000, 25000, 25000, 18547, -19682, -15018, -9959, 1488, 4052, 3083, 106, -1928, -1235, 240, 598, 257, -570, -566, -32, 162, -57, -107, 175, 376, 276, 83, 128, 109, 42, 32, 82]","[-25000, -22337, -10987, 4023, 13508, 16184, 17679, 25000, 25000, 21921, 20938, 21906, 21845, 18139, 10783, 2610, -4212, -7034, -12788, -25000, -25000, -25000, -18193, -4685, 2175, 24, 1374, 1817, 2948, 3204, 1866, 951, 160, -850, -658, -482, -148, -106, -229, -254, -244, -70, -80, -331, -425, -154, -183, -122, -42, -121]"
basket,"[-172, -50, -867, -2083, -3924, -3846, -1437, -1503, -904, -1084, -1232, -997, -788, -574, -501, -436, -238, -310, -23, -292, -389, -273, -477, -2408, -2530, -1818, -1002, 279, 85, 54, -178, -232, -254, -161, -116, -145, -155, -145, -121, -118, -142, -118, -111, -119, -106, -127, -140, -127, -133, -133]","[-579, -433, -299, -303, -1143, -341, 1412, 163, -155, 326, 785, 809, 716, 513, 142, -83, -281, -624, -737, -966, -630, -445, -430, -1001, -1157, 847, 1282, -980, -322, -68, 12, 66, -14, -47, -17, 4, -14, -48, 3, -18, 21, -4, -8, 16, 4, -9, -9, 16, 12, 12]","[-924, -788, -425, -199, -1102, 1948, 376, -261, 89, 403, 534, 402, 387, 277, 161, 55, -259, -602, -799, -880, -545, -451, -461, -571, -170, 1821, 459, -97, 302, 305, 632, 474, 490, 454, 424, 434, 478, 496, 449, 457, 473, 473, 454, 463, 488, 454, 492, 481, 458, 473]","[747, -11419, -14326, -17036, -25000, 22814, 6936, -23253, -4998, 18139, 15189, 8469, 7386, 4722, 462, -2701, 1052, 2536, -325, -2327, -3369, -6092, -15081, -18726, -17189, 14775, 5149, -5842, -83, -5031, 415, 1863, -344, -725, 374, 361, 597, 177, 92, 174, 228, 38, 294, 391, 276, 450, 136, 69, 293, 286]","[-25000, 7800, 25000, 25000, 25000, 25000, -14647, -22350, -23699, -18469, -25000, -22254, -18852, -15523, -13501, -16180, -18927, -18076, -7329, 4518, 14320, 21776, 25000, 25000, 25000, 23218, -25000, -12572, -4919, 4047, 3730, 624, -1782, -1664, -497, 350, -443, -809, -946, -421, -404, -387, 204, 140, -10, -19, -9, -232, 71, 194]","[4921, -12600, -25000, -25000, -25000, -9475, 11450, 14816, 10642, 13865, 20944, 23523, 24497, 25000, 25000, 25000, 22896, 21935, 16727, 1943, -10396, -14861, -25000, -25000, -25000, -18010, 2237, 7778, -2710, -7311, -1825, 1644, 42, -1425, -746, 128, -30, -711, -1219, -866, -252, 3, -176, -194, 356, 224, -758, -387, 140, 74]"
basket,"[-2693, -3924, -3924, -2001, -902, -492, -477, -709, -773, -673, -415, -411, -74, -117, 79, 94, 163, 235, 199, 163, 161, 81, 36, 102, 59, 200, -586, -1685, -1323, -1215, -289, -202, 185, -69, -172, -233, -179, -118, -136, -204, -196, -175, -165, -187, -162, -144, -174, -151, -153, -163]","[-467, -1306, 612, 818, 31, -93, 294, 585, 509, 550, 554, 675, 466, 281, 61, -41, -215, -368, -490, -587, -547, -559, -520, -524, -400, -369, -597, -650, -7, 472, 109, -42, 66, 105, 132, 103, 66, 30, 54, 82, 68, 61, 70, 88, 57, 61, 77, 75, 70, 68]","[-188, -998, 2028, 196, -138, -80, -12, 207, 275, 273, 295, 304, 258, 171, 22, 0, -65, -230, -348, -426, -435, -435, -370, -384, -248, -359, -411, -352, 1709, 1029, -180, 824, 91, 496, 440, 552, 432, 454, 445, 483, 472, 467, 458, 458, 476, 447, 456, 472, 446, 465]","[-15882, -22741, 25000, -7826, -15771, 2639, 9736, 2462, -18, 2388, 3968, 3651, -1042, 1408, 794, -1134, -605, 140, -770, -840, -370, -1136, -3440, -4462, -7011, -10090, -10537, -17772, -6042, 9575, -6736, -7251, -113, 382, 978, 197, -769, -849, 408, 178, 90, -42, 167, 114, 69, 259, 326, -64, 479, 41]","[25000, 25000, 21428, -19657, -20336, -12574, -4313, -5050, -11243, -15066, -14945, -13992, -13170, -13325, -11204, -9003, -10016, -9609, -7161, -4749, -1326, 1623, 4703, 7887, 13895, 23944, 25000, 25000, 25000, -2069, -13595, -5079, -1548, 4470, 2813, 733, -1519, -437, 654, 717, 19, -144, 24, -67, -480, -96, -33, -135, -109, -164]","[-25000, -25000, 48, 22116, 15324, 8204, 7106, 10650, 14754, 16361, 15907, 21048, 21659, 22180, 21837, 19301, 17616, 15610, 12309, 7564, 2903, -18, -2154, -4680, -9983, -21463, -25000, -25000, -19812, -5921, 9241, -2327, -3633, -1537, 939, 1606, -457, -1326, -418, -137, -83, -340, -402, -243, 7, 113, -192, 160, 386, -240]"
basket,"[-1344, -2673, -3924, -2087, -1060, -1230, -965, -791, -853, -989, -739, -513, -260, -126, -57, 102, 208, 229, 179, 208, 80, 19, 48, 96, 110, -526, -1272, -1268, -1119, -898, -52, 93, -75, -179, -174, -158, -160, -178, -168, -168, -185, -171, -155, -166, -157, -170, -158, -157, -168, -178]","[-135, -573, -1352, 729, 879, 90, -121, 115, 453, 633, 385, 427, 462, 318, 102, -49, -186, -338, -436, -485, -509, -528, -518, -438, -375, -513, -445, -545, 144, 1203, -258, -198, -15, 93, 97, 52, 28, 44, 17, 59, 72, 52, 58, 52, 64, 64, 32, 60, 48, 59]","[-85, 376, -501, 1271, 263, -117, -155, -93, 138, 255, 279, 274, 178, 120, 62, -96, -179, -315, -448, -547, -498, -502, -473, -278, -302, -273, -292, 338, 1399, 469, 242, 209, 391, 516, 484, 430, 465, 476, 462, 459, 461, 452, 434, 452, 469, 447, 458, 438, 479, 465]","[-11463, -25000, -19000, 25000, 1621, -14529, -2420, 10920, 9645, 1417, -1155, 4345, 3757, -562, 131, 71, -1113, 1126, 1992, 480, -721, -1083, -3405, -5654, -8024, -7981, -13418, -13784, 8582, 3978, -5704, -76, -579, -89, 144, -387, -269, -72, -110, 362, -29, 159, 57, 61, -44, 235, -73, -118, 177, 13]","[25000, 25000, 25000, 22125, -7271, -16130, -22142, -14010, -8762, -12613, -19138, -20676, -17554, -15015, -14274, -13818, -12163, -11153, -8697, -4119, 437, 3412, 8130, 15297, 24514, 25000, 25000, 25000, 15101, -14325, -8956, -4130, 2517, 1093, -646, -679, 278, -90, -25, 32, -178, -276, -258, -18, 45, -441, -167, 0, 216, -180]","[-25000, -25000, -18556, -2467, 14114, 17519, 13737, 9846, 15417, 18165, 17382, 19558, 22162, 22676, 21590, 21308, 18533, 14335, 10856, 7131, 2694, -335, -2741, -8771, -18808, -25000, -25000, -22739, -12398, -365, 2373, 1535, -1160, -970, 118, -395, -872, -296, -342, -783, -499, -286, -307, -377, -253, -57, -379, -475, -218, -149]"
basket,"[-2266, -3924, -2780, -1562, -876, -1034, -1137, -624, -627, -941, -470, -308, -16, -12, 15, 21, 168, 238, 193, 39, 13, -306, -105, -193, -828, -2053, -1996, -1987, 26, 72, -71, -449, -267, -182, -173, -203, -201, -195, -209, -194, -204, -212, -197, -221, -216, -213, -208, -192, -196, -182]","[-510, -1818, -301, 1174, 195, -579, -346, -10, 548, 665, 551, 664, 510, 315, 212, -6, -139, -266, -373, -499, -658, -833, -630, -533, -813, -717, -885, 1222, 554, -332, -85, 293, 86, -76, -21, 40, 42, 18, 0, 9, 60, 38, 36, 50, 57, 45, 57, 56, 63, 66]","[-307, -1577, 455, 693, -279, -1, -232, -81, 287, 544, 499, 461, 265, 211, 117, 3, -130, -266, -418, -470, -553, -637, -528, -183, -458, -306, 908, 1873, -309, 314, 402, 616, 429, 372, 414, 475, 449, 445, 456, 442, 443, 448, 429, 454, 455, 451, 443, 440, 449, 415]","[-20164, -25000, 24053, 4851, -11249, -3999, 6265, 12750, 9741, 6678, 6488, 6600, 3556, 4549, 2041, -1315, -1418, 310, 874, -1739, -2635, -1993, -6049, -11830, -8954, -14986, -9263, 4698, -7935, -407, 1767, 1038, -287, -881, 221, -77, 131, 201, 344, 108, 411, 457, 189, 346, 135, 477, 276, 70, 157, 317]","[25000, 25000, 25000, -1374, -21124, -25000, -25000, -15022, -7476, -14128, -16461, -14678, -13726, -11760, -10870, -11484, -12434, -12444, -9003, -4372, -466, 6180, 17228, 25000, 25000, 25000, 25000, -1927, -20282, -2137, 5726, 2024, -2372, -1491, 414, 110, -122, -180, -250, -60, -29, -179, -45, 251, -84, -28, -305, -138, -196, -267]","[-25000, -25000, -14922, -10687, 15905, 21120, 18248, 9530, 8432, 15400, 16402, 18030, 20181, 21005, 22898, 22196, 19116, 15853, 14191, 11041, 5268, -1998, -8519, -21607, -25000, -25000, -25000, -23713, 9298, 4258, -4750, -972, 3534, 1625, -317, 125, 856, 665, 201, -233, 13, 290, 6, -202, 59, 286, -23, -283, 115, 212]"
basket,"[-1629, -2904, -3924, -3386, -1159, -917, -1446, -1211, -1104, -1238, -565, -413, -39, -101, 10, 126, 242, 272, 216, 169, 2, 5, 48, 16, -78, -320, -2176, -2185, -803, -165, 14, 94, -200, -236, -250, -136, -130, -127, -149, -162, -166, -169, -124, -169, -174, -175, -168, -151, -159, -154]","[-234, -945, -1997, 106, 743, -178, -371, -264, 244, 536, 353, 280, 222, 156, 10, -108, -283, -391, -488, -580, -595, -482, -492, -309, -403, -768, -1429, 511, 1534, -627, -498, 175, 189, 172, -22, 16, 123, 129, 72, 59, 80, 138, 68, 92, 87, 95, 89, 105, 98, 103]","[37, -126, -514, 183, 1004, -92, 7, -169, 337, 514, 338, 441, 162, 216, 88, -62, -209, -390, -569, -612, -562, -419, -372, -160, -179, -121, -820, 1736, 1380, -486, 539, 276, 521, 506, 503, 434, 471, 450, 445, 447, 484, 447, 450, 457, 469, 461, 453, 447, 455, 450]","[-11897, -24727, -13927, 23740, -4448, -9176, 3963, 14697, 16786, 11020, 5110, 5220, 6427, 4606, 3931, 939, 1621, 3851, 1200, -537, -1155, -3183, -4467, -8558, -14384, -22643, -19458, 7864, 10113, -9138, -5304, -2603, 3333, 1774, -193, -1270, -64, 502, 331, 802, -186, -191, 257, 283, 113, 265, 6, 160, 74, -28]","[25000, 25000, 25000, 25000, -8200, -22980, -25000, -24703, -18321, -21866, -18055, -17797, -16373, -12969, -13885, -12977, -12733, -12105, -9089, -2888, 2259, 7669, 11072, 18161, 24198, 25000, 25000, 25000, -8903, -13004, -4342, 6394, 5497, 2417, -1391, -1358, -205, 89, 477, 642, 112, -466, 57, 561, 368, -97, -108, -17, 14, 40]","[-25000, -25000, -25000, -25000, -7595, 21054, 25000, 15935, 19008, 23540, 21874, 18375, 19257, 18997, 21031, 19914, 16280, 13700, 11800, 6403, 775, -2175, -5061, -9157, -14673, -21941, -25000, -25000, 5108, 19852, -8011, -7514, -31, 5220, 2456, -2008, -1689, 492, 1207, 470, -675, -502, 303, 164, 131, 224, -83, -9, 160, 140]"
basket,"[-2319, -3924, -3924, -1430, -1131, -815, -722, -869, -841, -622, -417, -47, -106, -85, 87, 203, 250, 307, 252, 246, 159, 23, -72, -162, -47, -130, -901, -1727, -1794, -1173, -425, -266, 89, -179, -228, -238, -145, -111, -155, -198, -166, -169, -160, -180, -176, -174, -171, -162, -168, -164]","[-799, -3248, 1723, 1015, -1722, -633, -576, -154, 660, 513, 171, 227, 178, 21, -202, -289, -352, -368, -347, -395, -450, -542, -594, -539, -317, -377, -870, -992, 668, 1535, -281, -162, 379, 276, 398, 150, 33, 198, 221, 202, 132, 155, 172, 191, 150, 174, 189, 183, 186, 191]","[-117, -2205, 2274, -56, -350, -281, -298, 289, 306, 430, 281, 148, 52, -91, -279, -397, -454, -517, -467, -464, -529, -564, -643, -597, -264, -322, -168, -532, 1776, 1335, -341, 675, -3, 468, 487, 461, 438, 399, 436, 438, 413, 427, 447, 438, 423, 426, 430, 420, 420, 426]","[-24636, -25000, 25000, 5059, -7401, 1845, 8487, 25000, 25000, 1649, 98, 3652, 4843, -616, -2051, -306, -695, -774, -2287, -1700, -2721, -3278, -3988, -7148, -12461, -17320, -23776, -10834, -2624, 10280, -8967, -13795, -3963, 1564, 2671, -347, -1902, -1529, -325, 157, 134, -785, -446, -123, 76, -228, -191, -34, -16, -259]","[25000, 25000, 25000, -25000, -25000, -25000, -17689, -7912, -11700, -11638, -17435, -16325, -17820, -16942, -16269, -12041, -8976, -4586, -1610, -1149, 174, 1848, 5106, 11494, 20329, 25000, 25000, 25000, 25000, 148, -14899, -8566, 1091, 7420, 3843, 376, -1375, -93, 736, 509, 289, 360, 189, 103, 152, 188, -38, 57, -80, -38]","[-25000, -25000, -25000, 23101, 25000, 7279, 5189, 13576, 22993, 20648, 18816, 18330, 22314, 22819, 20901, 17462, 13270, 9685, 8268, 8858, 7761, 4477, -315, -5561, -11690, -16163, -25000, -25000, -25000, 3688, 22563, -6987, -11627, -2069, 5333, 5925, 240, -2237, 41, 2234, 1627, -252, -65, 766, 735, 189, 170, 600, 197, 149]"
basket,"[-2002, -3924, -3533, -1723, -987, -1136, -1271, -838, -998, -859, -526, -407, -252, -253, -156, -34, 200, 199, 113, 262, 124, 233, 100, 96, -83, -1410, -2498, -2139, -811, 41, -104, -77, -275, -241, -155, -140, -156, -210, -138, -154, -158, -175, -176, -190, -182, -207, -199, -207, -189, -197]","[-144, -2180, -1219, 1046, 294, -639, -614, -106, 408, 497, 444, 436, 424, 211, -17, -147, -275, -401, -541, -541, -529, -473, -587, -467, -653, -563, -818, 1136, 1364, -529, -291, 144, 299, 197, -52, -17, 77, 111, 59, 81, 92, 121, 104, 133, 114, 134, 112, 111, 100, 102]","[-99, -2105, 606, 765, -287, -115, -377, 7, 449, 461, 461, 412, 299, 175, 98, -106, -303, -414, -538, -629, -599, -483, -529, -380, -565, -199, -510, 1637, 903, -302, 455, 488, 452, 478, 379, 420, 479, 512, 452, 424, 450, 436, 453, 439, 437, 437, 440, 435, 448, 445]","[-25000, -25000, 23245, 7641, -14396, -5792, 15612, 20950, 16039, 4477, 3582, 7008, 4800, -32, -859, 792, 713, -1493, -1467, -2425, -3273, -5166, -6190, -11344, -13361, -12710, -16479, 7796, 8069, -7640, -2545, -4366, 1149, -544, -1438, -305, -25, 418, -177, 425, 95, 558, 96, 167, 141, 238, 53, 116, -29, 261]","[25000, 25000, 25000, -2716, -25000, -25000, -25000, -15431, -14139, -16501, -16457, -15052, -15466, -14886, -16434, -17551, -13215, -10038, -7522, -2300, 2474, 7110, 9610, 13323, 23113, 25000, 25000, 25000, -10073, -8046, -4766, 2748, 711, -1616, -1449, 590, 1038, -35, -569, -164, 274, 57, 87, 15, 117, 227, 64, 134, 32, 114]","[-25000, -25000, -14592, -14556, 7238, 15240, 17883, 15952, 16493, 17638, 16699, 17199, 21745, 23404, 22125, 20918, 18687, 15115, 9870, 4156, -1043, -3714, -8823, -9784, -15205, -25000, -25000, -25000, -4333, 15115, -3741, -8627, -594, 4278, 3572, 556, -315, 547, 445, -46, -399, -400, -564, -369, -160, 90, 183, 304, 196, 468]"
basket,"[-2039, -3924, -3363, -2008, -759, -1316, -1138, -1271, -1416, -1204, -735, -558, -177, -94, 23, 124, 188, 186, 169, 188, 169, 78, 30, -26, 4, -156, -2001, -2227, -1864, -718, -23, 42, -336, -422, -257, -212, -184, -269, -276, -278, -242, -258, -251, -254, -264, -241, -248, -247, -242, -253]","[-67, -969, -1021, 1328, 568, -420, -125, 270, 363, 214, 170, 220, 60, 117, -112, -224, -327, -396, -395, -389, -363, -378, -460, -432, -411, -462, -867, -1167, 742, 1359, -584, -82, 38, 210, -54, -30, 8, 62, 50, 8, 21, 61, 63, 32, 47, 40, 52, 61, 56, 52]","[6, -1107, 1240, 848, 46, 145, -54, -95, 58, 166, 187, 199, -46, -78, -223, -405, -483, -532, -548, -599, -628, -617, -638, -502, -421, -581, -753, -252, 2322, 399, 25, 2, 593, 544, 385, 382, 374, 452, 433, 429, 386, 429, 419, 411, 432, 429, 408, 413, 409, 414]","[-16615, -25000, 23615, 17843, -15305, -4808, 7296, 7953, 1059, 2010, 2634, 1495, 5118, 783, -2420, -733, -2723, -1058, -753, 504, 648, -917, -2587, -5388, -6608, -12132, -19003, -15501, 13161, 8722, -5230, 510, 527, 1426, -822, -914, -167, 966, 648, 299, -25, 141, 190, 326, 84, 292, 155, 182, 76, 16]","[25000, 25000, 25000, 4841, -6958, -16007, -19237, -19177, -16247, -21855, -21704, -24009, -21438, -17285, -17332, -14171, -10319, -7021, -5458, -3872, -1307, 1782, 6530, 13528, 22168, 25000, 25000, 25000, 19199, -24265, -6091, 2420, 8532, 669, -2659, -1348, 549, 1197, 138, -450, -323, -163, -144, 2, -21, -252, -181, 12, -119, 55]","[-25000, -25000, -16133, -19588, 13940, 23689, 19558, 13697, 19673, 21801, 19073, 18326, 19800, 20628, 20358, 18275, 14061, 9591, 5865, 2849, 834, 38, -733, -2929, -9022, -24609, -25000, -25000, -24771, 4114, 6247, -3263, -1966, 2864, 2845, -843, -1906, -101, 920, 13, -1000, -1012, -99, 251, -421, -215, -230, -232, -85, -193]"
basket,"[-1820, -3924, -3924, -2505, -1126, -1475, -1132, -947, -1250, -1172, -656, -284, -236, -168, 23, 218, 408, 383, 335, 204, -20, 71, -94, -246, -1436, -2154, -1655, -881, -291, -128, 94, -132, -317, -166, -133, -170, -168, -169, -144, -183, -146, -141, -121, -140, -114, -121, -116, -114, -114, -112]","[168, -761, -2493, 2414, 559, -714, -372, 270, 609, 406, 243, 246, 175, -146, -315, -395, -514, -561, -430, -468, -567, -675, -505, -438, -656, -562, 481, 1214, -236, -342, -37, 71, 229, -45, -51, 32, 72, 20, 5, 53, 38, 37, 39, 37, 44, 52, 41, 54, 25, 8]","[-13, -126, -631, 987, 53, -384, -410, -17, 229, 238, 114, 126, 95, 27, -97, -246, -446, -566, -521, -521, -456, -627, -254, -317, -291, -686, 1722, 1189, -335, 648, 100, 477, 609, 464, 396, 496, 448, 492, 424, 509, 445, 448, 461, 468, 460, 472, 454, 470, 473, 455]","[-15370, -25000, 7280, 25000, -25000, -6977, 12013, 11310, 5099, 2396, 5290, 7866, 1171, -4723, -2649, -872, -2336, -565, -511, -1944, -4006, -5599, -8512, -9045, -12050, -18552, 9588, 9302, -10319, -7385, -3629, 2101, 221, -447, -80, -459, -336, -135, -183, 280, 22, 199, 160, 92, 9, 22, -25, -185, -134, -195]","[25000, 25000, 25000, -495, -21660, -25000, -23314, -13602, -11675, -20072, -19986, -17104, -13856, -13730, -13411, -12820, -10231, -7293, -3280, -606, 2092, 7656, 19023, 25000, 25000, 25000, 25000, -9445, -14510, -8285, 1950, 5505, 404, -2539, -1082, 350, -615, -1033, -119, -435, -1048, -685, -546, -424, -463, -284, -414, -176, -216, -62]","[-25000, -25000, -12781, -9748, 9697, 23318, 19354, 14708, 19364, 21839, 19572, 21320, 24639, 25000, 22695, 19071, 14143, 8381, 4725, 2831, 1429, -2545, -11591, -25000, -25000, -25000, -25000, -1037, 19800, -2596, -7570, -2475, 1712, 2587, 159, -1321, 53, 325, -405, -140, 81, -471, -237, -302, -332, -315, -463, -337, -128, -524]"
