gesture,ax,ay,az,gx,gy,gz
basket,"[-1413, -1723, -1313, -999, -895, -832, -653, -366, -55, 62, 8, 295, 90, -37, 37, -373, -1312, -1092, -372, -335, -216, -15, 234, 251, 487, 395, 470, 137, 101, 86, 56, 36, 14, 15, 33, -2, -11, -13, -19, -27, -43, -18, -13, -33, -24, -26, -31, -40, -33, -31]","[518, 737, 566, 611, 651, 509, 366, 258, 127, 89, -71, -114, -196, -356, -361, -163, -51, 177, 244, 185, -229, -143, -59, -23, -115, -151, -228, 117, 491, 564, 580, 490, 468, 481, 412, 384, 385, 363, 365, 351, 365, 357, 355, 358, 360, 346, 355, 353, 331, 351]","[759, 1706, 1724, 1347, 1065, 722, 330, -12, -227, -422, -473, -789, -678, -901, -1129, -793, -420, 708, 740, 301, 21, -16, -7, 53, 39, 179, 506, 706, 838, 749, 709, 611, 505, 450, 389, 373, 367, 334, 336, 332, 341, 317, 310, 321, 331, 329, 326, 339, 333, 331]","[7061, 3389, 3401, 1138, -6935, -11696, -14825, -17550, -13385, -6960, -2526, 1724, -5416, -2948, 478, 1010, 3489, -6453, -3836, -8915, -1615, 8990, 9823, 5718, 6040, 9308, 13632, 16786, 14598, 7110, 3418, 3610, 3514, 1507, -1181, -1045, -357, -226, -224, 193, 547, 754, 635, 104, -331, -45, -35, -663, -433, -305]","[25000, 19145, -1673, -14413, -21942, -25000, -25000, -25000, -25000, -23842, -20304, -8816, -85, 3907, 17213, 25000, 25000, 25000, 1206, -15355, -21559, -14436, -4547, 2591, 4461, 9477, 12707, 8223, 3432, 3271, 2302, 1364, 1780, -79, 582, 1013, 64, 139, -145, -391, -1257, -1250, -165, 117, -33, 608, 859, 880, 463, 607]","[673, 2323, 2838, 4931, 4465, 5260, 5830, 3939, 4479, 4952, 2947, 1009, 1011, -1332, -4676, -7655, -8837, -9015, -3092, 1992, 6819, 8470, 7286, 5139, 801, 129, -3487, -8354, -9267, -8806, -7290, -4842, -3433, -1681, -972, -497, -175, -25, -126, -426, -228, -167, -130, -142, 29, 124, 98, 168, 102, -47]"
basket,"[-1346, -1694, -987, -532, -765, -932, -876, -509, -183, 20, 87, 5, -39, -56, -108, -1377, -1406, -422, -464, -97, 124, 79, 181, 271, 312, -68, -361, -685, -572, -748, -918, -768, -734, -673, -580, -451, -414, -447, -485, -464, -447, -441, -447, -452, -460, -470, -463, -451, -444, -431]","[254, 1336, 749, 692, 983, 886, 518, 317, 241, 73, -39, -104, -206, -297, -379, -25, -197, 280, 142, -180, -2, -60, 23, -168, -212, -87, 293, 346, 463, 374, 688, 467, 513, 418, 589, 465, 299, 195, 138, 112, 132, 141, 127, 99, 77, 128, 179, 201, 238, 228]","[483, 2128, 2285, 1903, 1515, 902, 202, -176, -252, -501, -656, -671, -956, -1062, -1162, -561, 767, 926, 295, -124, -97, -69, 26, -27, 110, 219, 615, 682, 645, 485, 319, 240, 207, 211, 130, 40, 48, 46, 48, 19, 3, 7, 11, 20, 42, 42, 20, -3, 6, 4]","[11704, 9614, 1194, 3248, -3080, -8997, -15955, -16654, -13850, -10634, -5992, -1905, 1451, -2034, -2064, -832, -7438, 3011, -3097, 2887, 6567, 4515, 1535, 2095, 6848, 14335, 14730, 15375, 7056, 11036, 14443, 1901, 2429, 5082, 13550, 6179, 601, -2162, -3309, -1928, 49, 518, 395, 507, 2005, 4020, 4427, 4812, 3949, 1140]","[25000, 19555, 352, -10937, -17044, -24796, -25000, -25000, -25000, -22624, -15430, -8109, -2856, 15421, 25000, 25000, 25000, -2234, -24352, -21770, -8043, 989, 3792, 6894, 14143, 19201, 20547, 13150, 6203, 11299, 7899, 4554, 7337, 5160, 140, -1770, -466, -275, -154, -60, -338, 193, 190, -321, -165, -226, -431, -200, 228, 149]","[-2715, -1148, 2526, 4638, 8856, 11799, 12733, 10534, 7876, 4235, 2101, -656, -2494, -2591, -6361, -6560, -5968, -749, 3735, 7045, 6443, 5540, 2774, 1654, -2805, -8629, -11619, -11839, -13042, -14661, -12730, -11140, -9727, -5170, 469, 3153, 3059, 1496, 345, 152, 453, 756, 907, 877, 487, -210, -218, 14, 146, 356]"
basket,"[258, -410, -1145, -1666, -1626, -1131, -1002, -1059, -921, -567, -266, -109, 117, 128, 51, -34, -175, -1064, -1338, -828, -446, -329, 29, 151, 239, 321, 356, 347, 142, 1, -206, -409, -527, -828, -973, -869, -741, -630, -470, -413, -402, -406, -428, -450, -483, -501, -474, -465, -448, -442]","[21, 164, 160, 345, 687, 452, 814, 583, 410, 231, 269, 69, -120, -180, -207, -187, -185, -139, -203, 203, 434, -126, -204, -53, 141, -123, -195, -101, -11, 109, 106, 198, 150, 346, 469, 595, 530, 373, 362, 246, 158, 159, 163, 150, 135, 146, 143, 144, 156, 163]","[-1051, -851, 142, 1405, 2228, 2031, 1574, 967, 347, -87, -236, -419, -883, -869, -1010, -964, -1047, -585, 106, 1129, 550, 15, -91, -3, 75, 66, 112, 229, 382, 561, 566, 550, 447, 424, 317, 349, 359, 342, 93, 25, 7, -4, -8, 4, 39, 63, 24, 2, 0, -1]","[242, 1789, 3161, 10314, 3297, 6110, -954, -7827, -11853, -10644, -10557, -11171, -7730, -5952, -257, -3656, -5283, -1056, -470, 5148, -5607, -7885, 5291, 9759, 5462, -671, 4673, 9285, 9712, 8207, 8085, 7404, 7133, 11474, 10022, 5372, -1071, 6652, 7752, 1952, -41, -72, -675, -264, 977, 1220, 978, 1079, 659, 780]","[9279, 25000, 25000, 24721, 8843, -11851, -20546, -25000, -25000, -25000, -25000, -23519, -18647, -6456, 1191, 14971, 25000, 25000, 25000, 17071, -12653, -25000, -18359, -7900, -967, 1702, 6729, 8281, 11173, 14395, 14635, 13480, 12722, 12350, 10333, 9214, 7603, 854, -2130, -447, -108, 30, 353, 1358, 1548, 346, -415, -569, -411, 67]","[-3361, -2443, 2691, 4081, 1835, 5683, 8142, 11935, 10978, 9965, 10003, 7906, 3958, -720, -2008, -2106, -4579, -4264, -4710, -3234, -535, 4512, 6678, 7489, 6984, 3400, 1620, -2927, -6613, -9147, -10570, -12115, -12487, -13952, -12198, -9202, -5704, -939, 3070, 2613, 958, 516, 154, -244, -208, 78, 315, 315, 325, 473]"
basket,"[-1417, -1789, -925, -671, -1090, -1169, -925, -467, -163, -55, 86, -30, 72, -395, -993, -1232, -1021, -494, -353, -14, 153, 357, 441, 289, 359, 126, -193, -303, -454, -541, -657, -700, -719, -621, -526, -456, -428, -413, -415, -426, -441, -464, -470, -465, -453, -449, -439, -444, -446, -448]","[224, 1152, 668, 1027, 889, 499, 239, 167, 45, -89, -227, -282, -293, -138, -72, -289, 397, 449, -221, -178, -167, -27, -151, -158, -260, -198, 51, 246, 498, 512, 739, 585, 624, 475, 302, 393, 309, 257, 274, 273, 251, 218, 177, 182, 177, 175, 168, 166, 172, 194]","[1027, 2424, 2348, 1946, 1475, 550, -112, -368, -571, -685, -996, -1103, -1148, -868, -371, 252, 1254, 558, 5, -74, -150, -156, -193, -109, -50, 203, 409, 689, 586, 515, 363, 381, 352, 315, 235, 144, 104, 64, 41, 31, 17, 23, 35, 19, 0, -5, -3, -4, -2, 2]","[8684, 1192, 5716, 3708, -5217, -12356, -15771, -12497, -11117, -4004, -1750, -1391, 1236, -235, -5075, -259, 7489, -6171, -3150, 7242, 7965, 3995, 1787, 2791, 5613, 5597, 9376, 9659, 5496, 10648, 8923, 2476, 3721, 730, 6127, 9715, 7562, 7159, 5152, 1757, -416, -1467, -1353, -885, -1147, -1043, -511, 172, 407, 440]","[25000, 16492, -4588, -13109, -22563, -25000, -25000, -25000, -23718, -16609, -6656, 6250, 19372, 25000, 25000, 25000, 12780, -19422, -25000, -23961, -15851, -4036, 2869, 7815, 11102, 16631, 18211, 14638, 11277, 13512, 8357, 8495, 6771, 2178, 359, -169, 283, 804, 817, 1066, 1293, 1311, 730, 60, -77, 125, 453, 361, 299, 132]","[-3889, -2329, 3329, 7121, 13947, 16879, 14072, 12012, 7856, 3418, 783, -1472, -4622, -6936, -6322, -1928, -5706, 517, 9608, 10917, 4829, 2601, -162, -2858, -5771, -11395, -15138, -15717, -16473, -16035, -12888, -11616, -7875, -5259, -2974, -595, 249, 170, -330, -469, -466, -183, 262, 239, 125, 140, 163, -74, -306, -561]"
basket,"[-1255, -1647, -1241, -467, -738, -934, -867, -374, 67, -150, 17, -1185, -1951, -965, -485, -292, -130, 120, 329, 417, 715, 498, 375, 25, -130, -67, -146, -154, -268, -335, -276, -302, -357, -393, -417, -398, -368, -342, -357, -388, -404, -395, -377, -373, -375, -387, -409, -430, -445, -432]","[85, 809, 1248, 602, 584, 503, 339, 177, -53, -192, -242, -509, 168, -197, 476, -150, -144, -81, -31, -105, -149, -265, -111, 145, 396, 356, 555, 407, 384, 412, 305, 286, 406, 364, 378, 390, 327, 287, 298, 316, 333, 320, 276, 239, 218, 228, 238, 238, 269, 262]","[-149, 1772, 3130, 2756, 2041, 1021, 118, -622, -1011, -1189, -1190, -1371, 146, 925, 601, -11, -136, -67, 45, 40, 217, 151, 420, 539, 709, 612, 702, 621, 550, 395, 303, 246, 279, 273, 255, 233, 194, 189, 219, 225, 178, 126, 96, 92, 95, 100, 100, 106, 114, 104]","[5885, 10863, 1625, 2468, -6175, -11397, -16039, -12880, -9172, -1142, -3152, -6707, -6476, -907, -326, 1724, 5442, 4061, 4934, 3988, 6091, 10372, 15440, 10979, 7928, 1770, 5156, -321, 2856, 1211, 525, 4799, 1959, 1348, 3994, 2874, 593, 559, 1396, 2063, 2144, -145, -2108, -2185, -972, -129, 93, 409, 24, -728]","[25000, 23736, 5666, -14242, -25000, -25000, -25000, -25000, -17793, -5578, 21028, 25000, 25000, 20141, -12474, -22876, -16856, -6391, 627, 1381, 6089, 7931, 14499, 10840, 7818, 7626, 8112, 7721, 7673, 3277, 1575, 3689, 3065, 4021, 4020, 2551, 1536, 1342, 1730, 1482, 973, 329, 362, 553, 360, 429, 768, 517, 614, 530]","[-1649, 1493, 3088, 7621, 8539, 12422, 11798, 8310, 2815, -1334, -2949, -5891, -7299, -3508, 1139, 5824, 8803, 6167, 3312, 3370, 1796, -1332, -5874, -12646, -10067, -9884, -7635, -6546, -5653, -3357, -2939, -3205, -3555, -2941, -2172, -1427, -906, -817, -502, -280, -45, 41, -206, -173, -177, -534, -625, -618, -778, -412]"
basket,"[-271, -58, -1252, -2393, -2115, -1163, -1453, -1436, -742, -242, -143, 143, 52, -1254, -1638, -724, -416, -191, -24, 182, 390, 523, 234, -148, -468, -830, -620, -789, -849, -756, -725, -631, -552, -520, -453, -423, -442, -466, -490, -484, -459, -455, -453, -455, -460, -469, -474, -464, -459, -458]","[-33, -125, -317, 1367, 1190, 931, 628, 433, 282, 180, -52, -165, -233, -405, 198, -206, -26, -135, -54, -178, -89, -107, -150, -47, 268, 406, 628, 387, 534, 457, 436, 493, 408, 258, 188, 170, 170, 176, 175, 138, 125, 125, 131, 160, 169, 163, 159, 151, 140, 143]","[-1091, -1734, -1126, 2098, 3723, 2812, 1390, 316, -323, -650, -820, -1254, -1065, -1000, 86, 839, 250, -77, -57, -140, -82, -49, 137, 301, 644, 641, 592, 475, 367, 295, 181, 96, 32, 18, 27, 17, 1, 3, -7, -23, -7, -9, -16, -27, -25, -17, -12, -22, -22, -23]","[-508, -1490, 2220, 19907, -6882, 4080, -12077, -16739, -13873, -15925, -6104, 2961, -6229, -1294, -6558, -13766, 1476, 6074, 3893, 1036, 5439, 7496, 10061, 13380, 11514, 14029, 4800, 6108, 11695, 6933, 5809, 6015, 4342, 3588, 3585, 2882, 1330, -43, -932, -1188, -1017, -1042, -331, -96, -376, -591, -653, -904, -833, -450]","[-10977, 16750, 25000, 25000, 3621, -22546, -25000, -25000, -25000, -25000, -13962, -3062, 20988, 25000, 25000, 9380, -12231, -17538, -12438, -6720, 502, 7570, 14293, 19648, 20068, 13548, 11466, 12054, 7322, 5731, 5610, 3151, 2242, 1167, 151, 129, 192, 348, -43, -357, 8, 32, -65, 237, 492, 369, -23, 9, 62, -6]","[-2255, -1553, -3244, 750, 4879, 10728, 14590, 13218, 10150, 5518, 34, -3073, -2651, -6058, -8713, -7042, 2114, 7304, 6406, 5069, 2082, -756, -4322, -10650, -13672, -13615, -14733, -11401, -9613, -9180, -8010, -3956, 405, 2186, 1993, 1359, 325, 224, 517, 696, 421, 178, 132, -88, -157, 56, 221, 126, 107, 169]"
basket,"[105, -442, -1426, -2162, -1747, -1247, -1466, -1270, -662, -283, -180, -44, -99, 19, -1542, -1375, -516, -494, -163, 91, 245, 334, 446, 444, 408, 49, -322, -233, -271, -471, -517, -653, -746, -667, -590, -524, -469, -415, -413, -435, -453, -472, -471, -452, -449, -453, -453, -454, -458, -456]","[-77, -236, -86, 1481, 494, 699, 510, 369, 313, 229, 51, -140, -368, -297, -176, -204, 251, 128, -289, -146, -149, 22, -92, -110, -176, 203, 351, 485, 409, 438, 323, 471, 434, 436, 436, 418, 329, 226, 167, 153, 144, 161, 182, 158, 130, 123, 145, 171, 184, 178]","[-1337, -1326, 257, 2631, 3335, 2399, 1300, 283, -237, -371, -702, -908, -1149, -1295, -842, 383, 1058, 274, -222, -242, -184, -156, -129, -41, 68, 391, 711, 703, 592, 605, 472, 480, 413, 321, 222, 147, 89, 40, 36, 39, 33, 23, 34, 34, 40, 57, 49, 33, 29, 27]","[-1506, -4078, 13903, -112, -1490, -206, -9516, -14948, -12323, -12220, -5797, -2959, -3961, -2051, -867, -6886, 3122, -5143, 3017, 5354, 5606, 4688, 4696, 5838, 9038, 12135, 7448, 7071, 2945, 2707, 4975, 4654, 3350, 5336, 6688, 7806, 3406, -1282, -2192, -1866, -885, 431, -128, -1100, -745, -63, 579, 738, 215, -148]","[4435, 25000, 25000, 24238, -5115, -25000, -25000, -25000, -25000, -25000, -21671, -7428, 8380, 25000, 25000, 25000, 1099, -25000, -25000, -16713, -5133, 513, 3328, 8485, 14619, 19626, 16163, 11161, 13132, 12407, 9627, 11062, 9159, 5811, 3965, 1885, 102, -677, -262, 142, 586, 637, 2, 9, 165, 105, 158, 279, 263, -6]","[-3392, -3656, 215, -471, 5938, 8704, 12907, 10664, 8869, 5753, 1210, 837, -1992, -6402, -7058, -6575, -1763, 2022, 6521, 5156, 4731, 1349, 1007, -1833, -7314, -13413, -13476, -12762, -12663, -11044, -9466, -10725, -8566, -6131, -3984, -217, 1636, 970, 853, 280, 105, 309, 118, 360, 423, 138, -138, -128, 22, 106]"
basket,"[-1529, -1549, -904, -759, -1004, -979, -728, -728, -50, 47, 32, -132, 66, -220, -1681, -1260, -252, -363, -188, 77, 207, 288, 422, 372, 571, 176, -160, -282, -388, -464, -538, -645, -678, -638, -602, -550, -500, -451, -435, -430, -451, -478, -483, -473, -463, -452, -452, -452, -446, -451]","[399, 736, 371, 771, 653, 339, 280, 280, 137, -6, -69, -296, -412, -346, 32, -59, 343, 151, -279, -116, -99, -23, -131, -154, -249, -145, 195, 328, 402, 427, 402, 388, 406, 376, 419, 420, 329, 264, 224, 191, 155, 157, 168, 162, 163, 169, 157, 157, 164, 162]","[1333, 2492, 2405, 1993, 1378, 577, 73, 73, -327, -556, -645, -847, -1346, -1211, -459, 975, 649, 268, -95, -136, -93, -100, -90, -76, -3, 206, 559, 634, 736, 681, 499, 504, 371, 209, 135, 75, 27, 21, 19, 25, 55, 91, 62, 37, 16, 5, 10, 12, 9, 2]","[9949, -640, 6019, 3277, -5096, -6226, -10537, -10537, -10463, -4438, -2961, -2781, -3228, -347, 1228, -4660, 3488, -5528, 1841, 3678, 4325, 576, 2141, 5592, 6992, 11085, 8083, 4956, 4577, 3677, 4113, 6866, 6083, 5778, 7405, 5635, 3321, 1937, 658, -48, 495, 1341, 408, -959, -1532, -1881, -1625, -1024, -617, -318]","[25000, 15120, -7580, -16782, -25000, -25000, -25000, -25000, -24649, -19244, -9447, -4071, 15279, 25000, 25000, 25000, -1469, -19608, -23608, -16010, -5971, -1691, 861, 5612, 11410, 19199, 20186, 16511, 14397, 12319, 9268, 9503, 7812, 5260, 4068, 3086, 1456, 494, 415, 454, 727, 505, -73, -383, -344, -99, 72, -64, -106, 271]","[-843, 48, 4197, 7254, 11995, 13062, 13213, 13213, 6299, 2838, 2279, 306, -2639, -6242, -9186, -5027, -1622, 6294, 8156, 5176, 5525, 2136, 576, -212, -6224, -13241, -16405, -14986, -12138, -11502, -9553, -9286, -9230, -7586, -5175, -2433, 62, 1377, 1132, 481, 424, 281, 384, 556, 394, 276, 198, 205, 330, 462]"
basket,"[-134, -383, -1112, -1886, -1626, -419, -685, -1183, -1085, -583, -583, -138, -37, -124, -287, -1803, -1187, -425, -466, -66, 45, 240, 298, 432, 127, -70, -595, -377, -483, -694, -610, -650, -634, -559, -490, -455, -454, -452, -443, -447, -454, -455, -446, -433, -419, -429, -451, -470, -483, -451]","[-120, -110, -85, 1141, 1575, 833, 913, 771, 531, 324, 324, -75, -188, -439, -404, -4, -181, 159, -35, -91, -150, -32, -57, -145, -97, 111, 443, 711, 502, 691, 552, 401, 542, 542, 393, 280, 228, 202, 157, 153, 176, 170, 164, 154, 142, 160, 191, 222, 224, 237]","[-1235, -1284, -702, 1712, 3397, 2922, 2089, 1088, 247, -226, -226, -730, -928, -1246, -1328, -522, 783, 653, -53, -189, -165, -102, -97, -77, 75, 575, 837, 795, 666, 580, 452, 320, 260, 159, 87, 59, 52, 62, 24, 7, 11, 8, 10, 17, 28, 35, 35, 29, 5, -5]","[-2234, 271, 5075, 18725, -2816, 5870, -840, -8300, -13792, -14123, -14123, -3530, -5593, -4770, -3211, -43, -9475, 2814, 2182, 4479, 1847, 6024, 4158, 6654, 9963, 9725, 11252, 6415, 3370, 10583, -144, 7072, 10160, 2819, -1802, -972, -437, -1093, -1248, 532, 1283, 633, 311, -267, -190, 617, 1037, 966, 764, 783]","[1211, 19585, 25000, 25000, 8777, -15946, -25000, -25000, -25000, -25000, -25000, -18951, -675, 14635, 25000, 25000, 25000, -7760, -25000, -19835, -7745, -1233, 1620, 9389, 16438, 22978, 17126, 10798, 14370, 8817, 6860, 9031, 6015, 3209, 1757, 1310, 1378, 289, -308, 15, 33, -16, 16, 277, 701, 619, 164, -207, -465, -244]","[-3173, -4596, -4748, -3923, 1801, 7443, 12369, 17851, 17642, 15127, 15127, 3205, 1749, -1100, -6174, -7658, -5533, 1515, 6538, 8330, 5548, 4197, 273, -3334, -9986, -16946, -18012, -15584, -14373, -11792, -9349, -8409, -6448, -3209, -170, 1452, 1941, 1316, 952, 1259, 1032, 1184, 1010, 572, 439, 178, -41, -247, -195, -110]"
basket,"[-1388, -1350, -1046, -641, -593, -687, -753, -703, -479, -178, 36, 158, 141, 180, 142, 247, 281, -570, -975, -892, -327, -262, -51, 140, 166, 209, 270, 299, 411, 418, 331, 333, 0, -88, -82, -281, -279, -301, -504, -571, -502, -557, -581, -546, -498, -456, -409, -408, -422, -430]","[313, 126, 197, 466, 459, 590, 493, 328, 224, 132, 56, 48, 55, -49, -156, -286, -351, -406, -9, 205, 390, 17, -13, 30, 41, 15, -75, 23, -71, -118, -73, 13, 211, 373, 402, 387, 379, 388, 401, 365, 326, 343, 441, 388, 299, 220, 188, 171, 150, 174]","[1005, 1799, 1904, 1646, 1540, 1269, 904, 460, 83, -172, -325, -384, -400, -521, -632, -927, -1055, -647, -12, 896, 910, 393, 194, 97, 89, 47, 40, 27, -18, 73, 70, 265, 518, 590, 637, 703, 571, 474, 489, 325, 171, 108, 122, 85, 29, 37, 50, 62, 88, 52]","[3434, -4478, 8967, 9780, 2412, 2150, -3543, -6226, -9352, -11236, -9884, -5899, -2224, -2080, -1786, -3583, -4750, -905, 2929, -3769, -3155, -1338, 4055, 2851, 1807, 137, 2368, 4586, 5231, 4915, 7027, 8046, 5365, 6267, 2848, 1466, 3864, 5235, 7093, 5391, 3879, 5935, 3959, 1023, 416, 885, 1880, 1258, 117, -9]","[25000, 18123, 3584, -9348, -12854, -18232, -22685, -25000, -25000, -24014, -19405, -14393, -10163, -7100, -2655, 5341, 22040, 25000, 25000, 25000, -1020, -18537, -17811, -11727, -8520, -5819, -3284, -2484, 446, 6424, 9283, 13157, 15218, 11886, 11159, 11126, 7016, 8184, 11082, 3993, 2655, 5198, 3754, 1768, 708, 485, 617, 635, 381, 401]","[1261, 1164, -3, 4741, 7455, 11182, 12917, 13547, 12593, 9357, 5093, 724, -507, 484, 931, -606, -4337, -7329, -6998, -6797, -3758, 4832, 6331, 5613, 6063, 3942, 3356, 1890, 988, -1831, -4823, -8449, -11310, -11480, -10232, -10699, -9542, -9986, -9797, -7218, -6591, -6492, -4749, -2330, -382, 741, 1033, 797, 350, 33]"
