gesture,ax,ay,az,gx,gy,gz
basket,"[405, -83, -557, -1131, -2033, -2686, -1921, -1098, -898, -748, -564, -357, -187, 142, 490, 364, 322, 344, 387, 503, 462, 376, -7, -315, -343, -498, -650, -148, 10, -83, 9, 23, 80, 84, 108, 102, 177, 204, 193, 195, 182, 173, 199, 204, 209, 208, 191, 189, 192, 198]","[-374, -262, -142, 273, 268, 271, 647, 785, 166, 278, 401, 682, 670, 551, 361, 270, -13, -44, -177, -298, -263, -117, 28, 88, 131, 496, 538, 58, -521, 89, -30, 122, 250, 132, 46, 74, 52, -4, 65, 99, 80, 69, 45, 43, 62, 49, 58, 59, 66, 81]","[-887, -1326, -1778, -1297, -779, 605, 1059, 947, 932, 818, 656, 442, 353, 200, -47, 15, -239, -447, -576, -585, -490, -366, -209, -253, -460, -504, 311, 610, 519, 805, 854, 740, 596, 465, 445, 449, 434, 437, 438, 411, 405, 411, 414, 431, 449, 443, 440, 428, 407, 415]","[-302, 2716, 7634, 3186, 5436, -191, 11900, 5321, 6138, 7313, 12508, 6704, 1165, 4, 823, -195, -2106, -1815, -3471, -3550, -2001, -1629, -334, 8149, 17538, 12698, -12364, -18079, -3150, 6649, -1040, 3206, -1974, -5106, -2897, 260, -268, 1116, 1663, -107, -978, -783, 21, 1024, 753, 482, 16, -360, -120, -392]","[-1779, 13456, 25000, 25000, 25000, 25000, 9646, -7485, -12102, -21646, -24214, -24745, -21771, -22157, -18981, -14470, -12199, -7831, -5764, -1458, 1659, 4144, 4667, 8388, 17590, 25000, 24517, 11128, 3775, 7188, 2185, -270, -2607, -2047, -842, -2397, -2647, -1693, -1185, -832, -496, -692, -383, -289, -348, -334, -412, -610, -759, -923]","[-5381, -10112, -12450, -10358, -3706, -6248, -4121, 5588, 6501, 5063, 4152, 8641, 8936, 8883, 12542, 18443, 19139, 16478, 12858, 5814, -551, -6187, -7943, -9140, -14691, -14791, -3015, -1236, 683, 3220, 2280, 221, -750, -1348, -580, 474, 245, 38, -289, -716, -678, -496, -33, 131, 210, 151, -89, -218, -131, 234]"
basket,"[-273, -1190, -1395, -2633, -2326, -1753, -1007, -710, -643, -366, -416, -286, -56, 128, 56, -81, -6, 209, 495, 352, 100, -27, -487, -651, -1159, -185, -9, 149, 246, 158, 152, 203, 236, 203, 179, 174, 178, 169, 111, 37, 91, 23, 28, -31, 198, 288, 430, 249, 123, -60]","[-711, -60, -49, 907, 629, 1013, 743, 375, 384, 413, 958, 753, 833, 719, 589, 381, 74, -315, -463, -395, -4, 4, 69, 11, 355, 715, 18, -120, -51, 131, 225, 174, 166, 84, 195, 159, 136, 134, 157, 176, 104, 8, 26, 34, 39, -134, -49, -184, 168, 312]","[-1415, -1530, -1252, -302, 749, 1047, 746, 686, 613, 494, 536, 368, 305, 242, 253, -40, -433, -678, -858, -977, -964, -829, -766, -848, -45, 663, 609, 642, 520, 490, 527, 443, 419, 414, 488, 475, 438, 419, 424, 311, 202, 124, 96, -58, -73, -116, 106, 98, 240, 476]","[7617, 7153, 1612, 11802, -2486, 15709, 4511, 8808, 9953, 13586, 4976, 2462, -871, -151, -2975, -5516, -8995, -8323, -7744, 1243, 9055, 8326, 13333, 12684, -459, -16726, -4405, 3667, 7859, 4116, -1989, -4818, -4617, -412, 1499, -582, -707, -1120, -1532, -3403, -5120, -3293, -3900, -5054, -3367, 2481, 4827, 5424, 9054, 7233]","[13426, 25000, 25000, 25000, 19672, 8109, -3747, -9266, -17680, -20960, -22402, -21181, -20345, -17827, -15730, -14747, -11338, -8957, -6591, -3060, 1612, 10882, 25000, 25000, 24310, 4210, 1220, 1356, 2623, 3466, 1112, -236, -447, 115, 687, -762, -1738, -1388, -2518, -5109, -6433, -7187, -7869, -9251, -8090, -1162, 4973, 8210, 11908, 14264]","[-12889, -19417, -15473, -1782, -6321, -1140, 893, 3452, 4262, 5656, 10702, 12034, 12744, 14938, 20316, 23889, 22013, 17854, 7589, -3658, -9127, -11236, -13595, -14641, -12405, -10944, 2776, 4610, 1688, 307, -1751, -3370, -2289, -991, -865, 251, -52, 340, 936, 2014, 4032, 6340, 6235, 3444, 524, -1031, -3897, -10965, -19557, -20735]"
basket,"[-1817, -2151, -1555, -1319, -1104, -1099, -1179, -1192, -1074, -831, -797, -598, -343, -79, 276, 358, 340, 257, 142, 64, -89, -354, -956, -1569, -47, 45, 80, -76, -140, -65, 49, 31, 14, 22, 61, 60, 55, 72, 80, 53, 77, 106, 174, 236, 278, 191, 128, 142, 219, 197]","[552, 542, 567, 726, 768, 720, 599, 812, 890, 691, 567, 199, 202, 5, -369, -520, -517, -414, -226, 27, -65, -191, 154, 1030, 225, -207, -98, 241, 153, 239, 148, 111, 134, 130, 143, 121, 178, 127, 164, 176, 63, 53, -3, 12, 66, 145, 107, 19, 4, 4]","[-531, 348, 587, 738, 846, 973, 702, 524, 304, 50, -127, -374, -297, -551, -836, -900, -1026, -999, -850, -602, -512, -553, -580, 1377, 660, 573, 578, 670, 698, 579, 460, 475, 495, 493, 442, 409, 447, 426, 444, 533, 483, 449, 404, 369, 367, 389, 328, 188, 124, 74]","[5529, -68, 10400, 6472, 2920, -1163, -6225, 1538, -5189, -6515, -11972, -11830, -10991, -9341, -7515, -5748, -985, 2613, 6154, 3415, 1396, 10313, 13138, -11150, -16527, 1379, 6371, 3178, -15, -1271, -4286, -1428, 723, 821, 477, 481, -333, -341, -676, -3410, -2424, -1648, 31, 1699, 1517, -625, -3021, -1679, -432, -735]","[25000, 22116, 15980, 5107, 389, -5545, -15797, -20217, -25000, -25000, -25000, -24988, -20167, -16422, -10332, -6174, -4344, -475, 4188, 9268, 15614, 25000, 25000, 16781, 1596, 1335, 5226, 6720, 2185, -1079, -275, 292, 192, -740, -1937, -1388, -1445, -2059, -1123, -2056, -4221, -4947, -4514, -4347, -3678, -4573, -6617, -6672, -5763, -4981]","[-10223, -9274, -3790, -2032, 1443, 5312, 8092, 12658, 16165, 17458, 18192, 16928, 15321, 11104, 7834, 4074, 1578, -2650, -7535, -8555, -9669, -15295, -15929, -6904, -2972, 3724, 791, -1429, -1260, -2275, -2663, -1583, -799, 77, 143, -15, 389, 813, 78, 1245, 2093, 2583, 2393, 1756, 1409, 1775, 2736, 2256, 1786, 2180]"
basket,"[-1868, -1942, -1727, -1137, -880, -666, -626, -506, -441, -365, -219, -63, 0, 225, 294, 348, 372, 244, 87, -108, -250, -242, -273, -251, -161, 35, 67, 60, 107, 88, 116, 139, 159, 188, 201, 220, 234, 241, 238, 233, 231, 220, 212, 185, 202, 233, 288, 338, 358, 357]","[373, 867, 813, 727, 359, 584, 693, 572, 711, 588, 470, 309, 142, -113, -322, -410, -338, -203, -143, 56, 4, -14, 113, 338, 253, 75, -88, 142, 191, 155, 202, 131, 121, 107, 91, 92, 59, 74, 99, 97, 118, 103, 114, 122, 124, 103, 51, 48, 65, 50]","[-491, 539, 1025, 1041, 866, 718, 523, 364, 331, 248, 146, 54, -170, -495, -636, -806, -828, -696, -527, -382, -321, -306, -275, 120, 769, 629, 773, 790, 629, 601, 537, 469, 440, 414, 397, 393, 391, 407, 407, 401, 414, 417, 433, 440, 409, 390, 347, 342, 333, 314]","[12617, -2781, -598, -1388, 8043, 3302, 2432, 1051, 2744, -605, -1129, -4166, -2802, -5261, -5538, -1718, 1451, 2345, 5481, 4721, 4270, 8664, 8690, -2385, -13447, -6030, -1313, 3263, -956, -1029, -1336, -1913, -129, -89, -824, -536, -470, 189, -58, -9, -22, -495, -443, -359, -392, -592, -224, 697, 388, -437]","[25000, 25000, 16235, 1635, -7109, -12566, -16188, -19515, -20413, -21032, -20263, -20134, -18816, -16001, -11301, -9409, -4469, -307, 3720, 8041, 11471, 15722, 21013, 22965, 16619, 11585, 9178, 3025, 1378, -32, -1900, -1718, -1814, -1948, -1384, -1113, -774, -447, -523, -428, -68, -188, -814, -2282, -3465, -3800, -3979, -3357, -3160, -3302]","[-19963, -10256, -7398, -1385, 6514, 5931, 9163, 9645, 13037, 15829, 16849, 17315, 18581, 18959, 14459, 8149, 2364, -1612, -5948, -9260, -10612, -12737, -13400, -10892, -4472, -2822, -715, -888, -647, -704, -913, -363, -195, -32, -260, -275, -259, -706, -654, -464, -398, -533, -209, 747, 835, 1339, 1430, 1257, 1205, 1261]"
basket,"[-1568, -1884, -1445, -1055, -716, -668, -627, -613, -558, -432, -270, -76, 1, 338, 495, 623, 554, 572, 718, 454, 315, 242, 105, 87, 109, -64, -201, -286, 48, -12, 107, 118, 23, 76, 110, 161, 184, 202, 212, 235, 235, 233, 221, 208, 206, 199, 204, 200, 198, 184]","[738, 1136, 693, 1278, 830, 732, 727, 916, 776, 525, 127, -5, -15, 156, 399, 242, 155, -80, -180, -8, -123, -187, -144, 6, -88, -99, 113, 413, 218, 50, -1, 166, 272, 135, 122, 89, 77, 65, 85, 56, 86, 88, 92, 92, 49, 85, 77, 75, 64, 35]","[-153, 860, 819, 825, 808, 979, 666, 453, 231, 34, -244, -272, -74, 192, 632, 317, 96, -199, -515, -406, -497, -463, -396, -352, -410, -365, -136, 271, 773, 804, 723, 647, 722, 600, 498, 413, 388, 395, 406, 392, 397, 395, 420, 428, 424, 435, 408, 414, 433, 435]","[11475, -1847, 11188, 5940, 12, 2209, -1437, 2966, -596, -3679, -7685, -5438, -2164, 1680, 692, -4437, -8756, -9437, -6067, -5748, -4223, -1883, 1265, 2219, 2430, 4430, 8189, -5497, -10412, 115, 2728, 3884, -2135, -3717, -2948, -2167, -708, -624, -1161, -1091, -395, -384, 14, -685, 452, 817, -4, -595, -1845, -1261]","[25000, 22784, 13353, 2657, -1073, -8993, -15584, -18085, -18024, -16025, -14510, -9681, -6824, -4345, -6502, -8468, -7263, -7633, -5383, -4541, -4160, -1271, 2408, 6173, 10514, 21050, 25000, 15108, 10035, 3612, 1277, 2349, 904, -1493, -2029, -2243, -1290, -457, -842, -734, -476, -364, 47, -383, -589, -1013, -1352, -1140, -991, -1327]","[-18916, -13934, -9002, -4425, 1434, 5204, 7380, 11213, 14107, 14887, 13967, 10255, 6231, 2832, 5748, 9479, 9289, 8954, 4367, 3383, 3316, 264, -4931, -6565, -7393, -10616, -9056, -5088, -3482, 1981, 1863, 337, -320, -187, -486, -646, -585, -766, -822, -543, -983, -413, -232, -67, 353, 190, 595, -215, -63, 169]"
basket,"[-1566, -1756, -1705, -952, -719, -694, -621, -372, -275, -81, -33, 130, 115, 259, 317, 541, 508, 376, 344, 246, 98, 55, 82, -162, -435, -407, -34, 115, 37, 26, -10, 49, 92, 119, 114, 146, 144, 147, 154, 142, 175, 171, 191, 187, 192, 207, 210, 217, 213, 211]","[192, 742, 787, 775, 444, 561, 698, 699, 590, 362, 344, 349, 351, 199, 77, -250, -141, -189, -173, -154, -11, 43, 19, 22, 289, 426, 107, -108, 92, 205, 166, 170, 61, 106, 115, 111, 125, 171, 154, 154, 132, 122, 159, 129, 142, 142, 121, 136, 135, 141]","[-42, 485, 1061, 749, 699, 655, 522, 372, 293, 92, 160, 137, 279, 42, -82, -477, -387, -483, -427, -402, -344, -383, -529, -370, -15, 1027, 803, 662, 737, 733, 652, 542, 403, 396, 406, 407, 449, 446, 439, 442, 426, 426, 421, 416, 410, 397, 401, 414, 416, 413]","[10690, -5273, -1132, 5491, 3688, 1561, 4157, 3605, -148, -4824, -4185, -4824, -6621, -7732, -8731, -8483, -7876, -5693, -4105, -242, 2134, 1529, 2166, 8332, 2677, -9801, -5244, -170, 6422, 553, 852, -3115, -1263, 1474, 823, 609, 1547, -235, -1245, -831, -981, 463, -167, -448, 183, -909, -366, -530, -704, -292]","[25000, 23023, 19137, -5452, -9681, -12836, -17745, -16071, -13861, -13589, -11111, -11061, -9950, -12454, -10322, -9260, -5416, -3888, -1566, 1393, 4574, 8354, 16218, 25000, 25000, 12468, 3922, 3151, 4578, 2578, 247, -1801, -1912, -1167, -972, -683, -684, -1133, -704, -600, -1146, -1092, -1116, -968, -930, -885, -551, -374, -213, -333]","[-22153, -9080, -12448, 6740, 6538, 7481, 9968, 10982, 13247, 13782, 12997, 12787, 12897, 12716, 12087, 8979, 5210, 2867, -244, -4184, -7126, -8382, -9926, -8558, -4058, -5677, 886, 3827, 404, -181, 296, -702, 114, 261, 494, 227, 178, -452, -333, -474, -283, 54, -360, -65, -295, -434, -322, -612, -476, -284]"
basket,"[-1437, -1442, -1497, -984, -767, -683, -681, -604, -637, -470, -342, -203, 26, 378, 566, 566, 594, 490, 538, 398, 225, 57, -15, 51, -36, -64, 118, 216, 264, 320, 355, 349, 325, 298, 303, 300, 317, 327, 313, 313, 319, 314, 319, 332, 308, 307, 310, 315, 338, 341]","[771, 372, 735, 562, 409, 362, 302, 499, 603, 486, 432, 217, 150, 42, -63, -203, -260, -245, -259, -157, -24, -37, 98, 16, 123, 261, 175, 32, -116, -132, 29, 45, 54, 25, 62, 67, 48, 47, 74, 44, 47, 62, 59, 51, 70, 71, 66, 66, 54, 41]","[565, 528, 1073, 893, 875, 844, 699, 521, 508, 246, 137, -41, -102, -187, -358, -499, -594, -618, -578, -489, -346, -288, -215, -307, -141, 201, 491, 576, 574, 484, 457, 428, 402, 353, 351, 358, 350, 341, 367, 361, 357, 365, 381, 368, 373, 355, 342, 353, 347, 344]","[-5228, 3007, -1099, -1220, 7297, -393, 2537, 6926, 3238, 1551, -236, -3070, -1272, -2105, -5307, -6440, -5478, -3583, -1619, 2056, 3111, 3918, 510, 428, 2819, -3587, -8568, -7724, -4414, 1961, 3824, 807, -1724, -1143, 426, 457, 337, 1380, 662, -93, 135, -38, -745, -448, -550, -915, -749, -579, -827, -245]","[21819, 25000, 16267, 1622, -5567, -9609, -16342, -19573, -22393, -23504, -21223, -18823, -16079, -12545, -9416, -6375, -3186, -2018, 49, 1849, 3081, 6197, 9200, 13438, 17751, 13978, 8993, 4956, 837, 337, 653, 193, -830, -585, -301, -759, -923, -111, -70, -89, 30, 283, 14, 214, 225, -97, 91, 108, -200, 202]","[-8596, -11086, -7181, -1165, 4778, 4544, 4845, 7235, 10809, 10814, 11912, 11335, 9706, 11641, 14560, 13777, 8877, 5382, 2082, -1828, -4401, -7560, -8880, -8356, -7035, -4600, -1229, 688, 1823, 981, -423, 177, -246, -601, -732, -270, -15, -119, -50, -54, -393, -335, -347, -518, -509, -582, -388, -299, -292, -386]"
basket,"[-1529, -2064, -1807, -1169, -845, -688, -712, -562, -485, -261, -56, 293, 524, 489, 579, 538, 441, 420, 262, 163, 118, 21, -80, -13, -166, -499, -137, 10, 101, 46, 56, 132, 160, 209, 224, 260, 270, 256, 230, 211, 208, 239, 275, 317, 250, 221, 176, 218, 245, 275]","[588, 807, 1084, 981, 636, 486, 513, 479, 568, 582, 488, 245, 174, 214, 127, -34, -171, -234, -131, -103, 76, -41, -5, 113, 82, 303, -163, -38, 54, 99, 129, 62, 36, 77, 3, -3, 123, 150, 177, 162, 155, 57, 86, 95, 73, 75, 62, 48, 33, 32]","[-319, 371, 892, 804, 771, 697, 447, 203, 121, 86, -64, -201, -161, -212, -402, -352, -501, -560, -474, -403, -322, -428, -296, -305, -19, 994, 817, 715, 588, 610, 510, 446, 416, 401, 417, 400, 416, 380, 397, 429, 434, 429, 422, 391, 383, 372, 355, 334, 306, 283]","[10799, 10860, 10715, 3807, 7689, 2716, 6733, 2203, 2224, -3905, -5177, -6013, -6965, -7697, -7417, -8687, -10596, -6298, -1872, -1153, -411, 1266, 5413, 1052, 3232, -3630, -2931, 5570, 4034, 512, -2356, -4525, -1912, -1892, -1803, 969, 1068, 251, -527, -2143, -3709, -2628, -87, -811, -389, -1300, -1388, -1268, -828, -1104]","[25000, 25000, 12680, -3208, -11181, -17835, -25000, -25000, -25000, -25000, -22276, -17470, -10911, -9197, -6365, -1875, -4065, -581, 2202, 4960, 6273, 11457, 16804, 22292, 25000, 11664, 5185, -1048, 875, 1781, -1023, -2089, -1820, -1597, -1646, -1475, -1458, -855, -52, -378, -842, -1081, -1465, -1607, -1528, -2315, -3027, -4774, -5239, -5928]","[-13079, -12066, -7724, 713, 7168, 7024, 9137, 8632, 9252, 10023, 9054, 10398, 11539, 14159, 14661, 13112, 11115, 4033, -305, -3202, -3984, -5771, -7775, -7088, -5457, -352, 4988, 4963, 1756, 372, -1094, -1623, -1715, -1719, -1116, -1217, -2018, -2302, -2521, -2809, -3034, -2195, -1818, -1024, -570, -207, 485, 1005, 1097, 2139]"
basket,"[-1899, -2382, -1518, -1062, -817, -578, -387, -234, -50, 75, 206, 211, 246, 292, 660, 880, 720, 541, 220, -68, -401, -766, -493, 247, 206, 290, 182, 123, 152, 298, 282, 273, 293, 268, 291, 274, 294, 255, 278, 197, 132, 112, 171, 134, 153, 236, 245, 180, 183, -13]","[698, 1195, 969, 890, 708, 625, 612, 481, 550, 514, 442, 311, 198, 81, -56, -202, -163, -246, -85, 68, -55, 12, 213, 339, 86, -391, -75, 121, 19, -57, 15, 17, -48, 11, 52, 27, -1, 39, 29, 21, -4, -20, -15, -63, -70, -78, 34, 113, 271, 412]","[-437, 666, 998, 764, 658, 488, 413, 294, 181, 91, 97, 76, -89, -331, -418, -610, -575, -725, -710, -542, -528, -324, 193, 679, 506, 408, 455, 555, 493, 418, 441, 411, 401, 397, 380, 370, 356, 369, 375, 383, 318, 217, 170, 98, -38, -110, 99, 159, 344, 298]","[7648, 10309, 1514, 8115, 5101, 1057, 346, 1069, 2810, -1588, -1522, -3724, -4126, -6942, -3393, -5336, -6378, -3460, 1898, 4287, 2877, 5155, -4677, -7267, -12456, -1537, 3696, 191, -3546, -495, 1661, -318, 864, 1413, -436, -486, 859, 743, -226, -893, -836, 368, 1006, 2352, 4119, 5798, 8182, 8314, 10258, 5791]","[25000, 25000, 8013, -4824, -13178, -17527, -19224, -20299, -19009, -15993, -15407, -14744, -14657, -12259, -7628, -4019, -3681, 448, 8349, 16033, 25000, 24166, 12037, 3122, -1474, -714, 2871, 1084, -2199, -1979, -2256, -1609, 99, -481, -63, -199, -778, -1264, -1747, -1160, -2752, -3947, -2733, -1647, -1907, -202, 5288, 5072, 5030, 5117]","[-13344, -6459, -6437, 6176, 8496, 9305, 10384, 8412, 8912, 10997, 12374, 14993, 16450, 15579, 13453, 11746, 7221, 1179, -7231, -9588, -9791, -10628, -11682, -5626, 1253, 5162, 1153, 598, 2286, 1194, 1673, 2259, 1046, 456, -3, 138, 514, 852, 795, 1046, 1990, 1921, 2000, 2294, 612, -1435, -4731, -9084, -11421, -16013]"
basket,"[-1977, -1520, -1147, -930, -758, -682, -901, -1005, -835, -745, -525, -162, 355, 441, 490, 438, 418, 428, 155, -240, -300, -263, -198, -154, -482, -289, -58, 104, 70, 68, 104, 99, 114, 141, 214, 222, 226, 158, 129, 117, 200, 231, 342, 348, 383, 346, 323, 293, 155, 230]","[780, 682, 1048, 739, 507, 488, 782, 827, 679, 308, 294, 174, -39, -271, -288, -363, -275, -394, -217, 178, 240, 186, 209, 146, 181, -387, -38, -150, -123, -23, 0, -16, -22, -68, -56, -43, -32, -29, -53, -54, -26, -42, -87, -99, -92, -78, -46, -21, 123, 377]","[715, 854, 814, 981, 1045, 838, 781, 665, 357, 68, -199, -363, -591, -634, -696, -692, -743, -746, -624, -329, -358, -321, -273, -48, 502, 787, 854, 758, 719, 610, 502, 453, 456, 424, 396, 404, 406, 378, 298, 212, 128, 127, 52, -60, -25, -73, -68, -25, 114, 378]","[230, 9262, 7325, 648, -2931, -3395, -1773, 1969, -2809, -7506, -9544, -8014, -9483, -6897, -6102, -2478, -1565, 1274, 7869, 6347, 2204, 57, -7840, -6899, -16566, -7262, 3751, 1664, 1158, 387, -2315, -2822, -1291, -421, -708, -511, -1780, -2578, -2117, 328, 1636, 3004, 2859, 3077, 4036, 2690, 3106, 3667, 4544, 2764]","[25000, 15623, 5914, 2314, -5386, -9620, -18130, -24794, -25000, -25000, -24824, -20881, -13336, -8740, -5552, -3403, -3585, -1521, 3350, 7426, 14313, 22581, 25000, 25000, 11499, 3340, -395, 167, 132, -1532, -1893, -2246, -3752, -3953, -3331, -2548, -3309, -4754, -6288, -7377, -7773, -7474, -7168, -5207, -1834, 634, 2617, 4731, 6583, 7350]","[-7355, -5350, -3469, 2903, 4089, 4580, 8612, 13648, 17584, 15759, 13657, 11297, 12849, 12233, 8339, 4673, 2197, -2674, -9194, -11769, -11618, -10016, -6916, -4847, 3425, 5458, 5125, 3954, 1606, -203, -476, -1058, -192, 167, -288, -268, -235, 431, 979, 1273, 1334, 2794, 1352, -524, -2231, -4514, -7342, -10383, -13364, -13719]"
