gesture,ax,ay,az,gx,gy,gz
basket,"[176, -257, -1282, -1282, -3924, 0, 0, -1083, -1014, -1299, -1540, -1570, -1550, -1396, -1324, -1163, -830, -467, -105, -12, 132, 83, 62, -40, -155, -392, -1022, -1321, -814, -538, -136, -218, -287, -250, -233, -177, -202, -157, -159, -68, -89, 104, 72, 237, 130, 42, -6, -53, -369, -491, -457, -625, -685, -743, -782, -756, -602, -504, -462, -458]","[-639, -652, -421, -421, -1279, 0, 0, -330, -168, -79, -179, 163, -1, 162, 371, 286, 52, -125, -171, -267, -435, -389, -393, -219, -167, -145, -45, -603, -146, 355, -205, -188, -90, -19, 41, -33, -88, 10, -35, 0, -29, 36, 50, -99, 74, 82, 210, 328, 545, 855, 446, 446, 583, 255, 292, 408, 387, 276, 196, 85]","[-1298, -979, -1428, -1428, -426, 0, 0, 210, 233, 381, 153, 139, 237, 270, 252, 94, -181, -494, -707, -804, -998, -1012, -918, -727, -681, -807, -645, -661, 1254, 872, 369, 536, 559, 534, 396, 371, 339, 319, 335, 344, 278, 288, 257, 265, 214, 325, 206, 179, 137, 266, 173, -24, -8, -20, -11, -24, -43, -24, -31, -49]","[-1106, -1500, -1908, -1908, -2489, 0, 3125, 2060, -4750, -971, 6916, 7316, -212, 3040, 2918, -3485, -6626, -1966, -907, -2662, -60, 1714, 205, -2197, -2730, -1696, -9983, -17007, -3833, -4743, 202, 299, -1504, -804, -1173, -1301, -696, 131, -2092, 22, 1915, 5153, 4126, 6531, 10393, 9912, 12822, 12298, 17473, 7805, 3367, 10567, 55, -1328, 5777, 7258, 5602, 5555, 1333, 49]","[-2349, 25000, 25000, 25000, 25000, 0, 0, -5644, -8770, -14561, -24185, -25000, -25000, -25000, -25000, -25000, -25000, -25000, -24581, -16704, -9855, -926, 7406, 14542, 21810, 25000, 25000, 25000, 24097, -2189, -518, 3353, 1555, -1506, -3706, -4394, -6009, -5481, -5896, -6944, -5520, -5007, -2214, 692, 3017, 5265, 4273, 7022, 10354, 5932, 3476, 1346, 329, 3373, 5081, 3611, -41, -1271, -1082, -499]","[840, -13151, -20234, -20234, -22820, 0, 0, 10167, 714, 2939, 8567, 10646, 10370, 12834, 16660, 18961, 13581, 9186, 9686, 7790, 2363, -2019, -6971, -10889, -11993, -10646, -13050, -7375, -12269, -6290, 6488, 2211, -418, 395, 1561, 3030, 3954, 2653, 1449, 1647, 1417, 2230, 1029, 1445, -2492, -5163, -8477, -11481, -13232, -13066, -10401, -11439, -13608, -12205, -11650, -9799, -3786, 3194, 3522, 496]"
basket,"[-1582, -2961, -3924, -2151, -852, -1303, -1121, -1149, -1386, -1386, -1720, -1651, -1292, -966, -709, -502, -285, 87, 105, 122, 195, 209, 155, -170, -795, -2077, -1462, -487, -178, -74, -51, -162, -145, -73, -137, -197, -178, -35, 25, 314, 304, 389, 329, -2, -290, -587, -806, -778, -893, -756, -907, -952, -812, -600, -507, -464, -477, -518, -490, -491]","[-597, -1112, -1451, 1389, -690, -258, 136, 21, -79, -79, 31, 32, 74, 138, 154, 68, 2, -85, -197, -289, -386, -466, -417, -286, -187, -164, -533, 245, -296, -136, -163, -95, -34, 8, -30, -143, 25, -194, 2, 1, -85, 2, -111, 30, 266, 33, 293, 387, 742, 370, 284, 310, 513, 536, 195, 42, 77, 109, 25, 30]","[-1593, -2435, -840, 392, -554, 172, 203, 257, 256, 256, 229, 303, 204, 131, -53, -284, -478, -659, -641, -753, -950, -1241, -1082, -844, -1053, -665, 994, 1147, 663, 469, 512, 624, 542, 445, 352, 252, 170, 169, 64, 2, 31, -42, 33, 104, 233, 555, 465, 80, -98, -82, -92, -99, -102, -169, -78, -23, -29, -50, -73, -71]","[-3559, -11832, 561, -13377, -4612, 10352, -1035, -633, 1175, 1175, 637, 1396, 1035, 1606, -1505, -1183, 1104, 2038, 2690, 4205, 4142, 2509, -625, 48, 1644, -15897, -9685, -5864, 3805, -3509, -4285, 2128, 1671, -143, -83, 4094, 2968, 2095, 7291, 7905, 8983, 8623, 6986, 9269, 6642, 6420, 9424, 17648, 10938, 7496, 7425, 6663, 9698, 4277, 1171, 1163, 1259, 193, -642, -851]","[25000, 25000, 25000, 16446, -2497, 4427, -2404, -8400, -19310, -19310, -25000, -25000, -25000, -25000, -25000, -25000, -25000, -21958, -13011, -8888, -4658, 2262, 14007, 25000, 25000, 25000, 25000, 2426, -6968, -4599, 1341, 1066, -2218, -5234, -6362, -10234, -10850, -10056, -9758, -6700, 185, 3446, 11593, 17087, 15525, 16061, 8960, 5433, 2654, 5294, 4590, 3212, 1600, -299, 6, 559, 708, -346, -831, 251]","[-20295, -17983, -20287, -21482, 7768, 11579, 2349, 5261, 9129, 9129, 9544, 9192, 8894, 10418, 10975, 10576, 9759, 7432, 4329, 698, -2320, -5133, -9897, -14310, -14715, -15386, -9751, -5967, 6759, -1856, -1570, 1758, 2413, 2285, 3671, 6105, 3604, 3034, 2714, 3836, 4741, -625, -7585, -15502, -15243, -15558, -17688, -14137, -14369, -11033, -10834, -10918, -6732, -1075, 3994, 2558, 617, 965, 946, 699]"
basket,"[-1291, -3924, -2774, -1700, -1266, -1114, -1212, -1212, -1182, -1189, -889, -693, -484, -303, -127, 57, 168, 320, 402, 396, 399, 289, 39, -334, -607, -766, -469, -454, -232, -168, -34, -82, -140, -222, -80, -194, 50, -8, 246, 153, 348, 374, 389, 345, 109, -126, -387, -616, -726, -941, -1076, -1141, -888, -634, -536, -453, -412, -456, -465, -492]","[-304, -1585, -156, 141, -200, -145, 48, 48, 183, 280, 186, 132, 38, 0, -1, -62, -28, -105, -236, -231, -137, -159, -46, -36, -11, -376, 35, 176, -88, -83, -152, -74, 14, 11, -42, -4, -44, -38, -21, -10, -17, 40, -48, -60, 80, 106, 167, 531, 450, 592, 434, 634, 801, 657, 309, 151, 159, 193, 196, 176]","[-1659, -2231, 856, 70, 39, 294, 256, 256, 237, 468, 434, 410, 240, 85, -27, -254, -418, -683, -788, -877, -793, -767, -539, -439, -285, 138, 651, 964, 688, 554, 461, 528, 540, 479, 345, 275, 199, 157, 109, 142, 26, -27, 9, -7, 147, 357, 258, 367, 316, 190, 18, -80, -97, -21, 1, -34, -85, -75, -89, -63]","[-9046, -13376, 4424, -2325, -1272, -1038, -27, -27, -149, -655, -392, -995, -1551, -205, -2795, -1707, -676, -25, -303, 1052, -907, -730, -578, -2671, -8745, -10762, -5027, -4013, 2110, -1964, -3664, 246, 537, 15, 2275, 1311, 2632, 4745, 6015, 6694, 7677, 8113, 4792, 5540, 5946, 3229, 7079, 7924, 7249, 6021, 8481, 11169, 7485, 3614, 4277, 6712, 7007, 4917, 2503, -459]","[25000, 25000, 25000, 186, -1471, -8325, -19310, -19310, -25000, -25000, -25000, -25000, -23799, -25000, -24288, -22702, -19692, -13190, -5095, -397, 8193, 14303, 24635, 25000, 25000, 25000, 21590, 6236, -3901, -5764, -3090, -831, -1374, -5121, -9690, -11825, -12527, -12108, -9058, -6635, -4290, -1395, 2994, 6729, 11596, 13090, 10641, 10423, 8395, 6445, 6539, 7374, 7752, 3653, -1067, -2612, -1712, -693, -123, 660]","[-14701, -16702, -12971, 4858, 7557, 6609, 8391, 8391, 9562, 9810, 10132, 10304, 8233, 7999, 6472, 5417, 4750, 4628, 1118, -1967, -5580, -7516, -7804, -9686, -7157, -7614, -9490, -2780, 4160, 928, -1035, 332, 1995, 3378, 5133, 4814, 5699, 6495, 6008, 4812, 1825, 697, -2028, -8835, -13457, -15496, -19661, -19381, -18710, -19372, -18166, -17076, -13379, -4101, 3572, 4607, 2477, 1007, 995, 1427]"
bowling,"[-1485, -2263, -2263, -1794, -1942, -1576, -1401, -1129, -837, -639, -490, -344, -218, -105, 12, -114, -195, -617, -1471, -2993, -3924, -3924, -3924, -3158, -2009, -1153, -698, -328, -130, 72, 104, 136, 113, 93, 39, 58, 45, 93, -57, -56, -308, -335, -722, -566, -826, -870, -745, -566, -436, -448, -454, -426, -397, -368, -400, -403, -426, -468, -473, -477]","[-419, -479, -479, -444, -373, -450, -244, -152, -91, -13, 29, 87, 94, 168, 129, 125, 239, 10, -16, -605, -553, -146, -437, -384, -405, -281, -257, -181, -55, 7, 77, 61, 72, 66, 67, 65, 107, 119, 150, 238, 339, 465, 639, 631, 692, 680, 553, 508, 475, 344, 319, 294, 325, 319, 302, 251, 234, 190, 196, 178]","[202, -817, -817, -1499, -974, -819, -645, -509, -321, -25, -56, -68, -171, -300, -393, -476, -611, -889, -1378, -2230, -3181, -2955, -1892, -1176, -370, -116, 49, 140, 301, 257, 246, 171, 224, 196, 133, 104, 21, -18, -193, -291, -560, -493, -776, -709, -692, -679, -595, -521, -396, -276, -248, -250, -326, -307, -274, -258, -256, -257, -229, -248]","[6985, 13739, 13739, 11480, 7055, 9047, 6435, 5786, 7015, 3685, 3149, 3511, 1971, -421, -1554, -1844, -1110, -1995, -2530, -12282, -6383, -13566, -10929, -10216, -11947, -5574, -2104, -633, -758, 153, 1448, 1455, 1470, 679, 692, 1226, 788, 1960, 2050, 2525, 3168, 1097, 624, -655, -2293, -1992, 1786, 5721, 5552, 5178, 3482, 3083, 2087, 3010, 3245, 2680, 1951, 2421, 3235, 2677]","[-12472, -25000, -25000, -25000, -20205, -21195, -21060, -19638, -15398, -11267, -10554, -10113, -8440, -7037, -1698, 2258, 7989, 14021, 19845, 25000, 25000, 25000, 25000, 25000, 22512, 13351, 11905, 10033, 7193, 3579, 2603, 1865, 758, -643, -2317, -3984, -5794, -8542, -13172, -14536, -17642, -15177, -16831, -16331, -12934, -12416, -12147, -9627, -4148, -719, -558, -1475, -1423, 1300, 2602, 3111, 3446, 4391, 5356, 4611]","[-7583, -2779, -2779, 129, -621, 2185, 483, 445, 1055, -608, -863, 789, 936, -209, 640, -90, 170, 1226, 555, 1396, -1451, 189, 6059, 2967, 910, 6270, 6138, 4204, 1183, 1247, 1411, 1187, 485, -1095, -1387, -2497, -3587, -4466, -6233, -8230, -9607, -11780, -13211, -11842, -15011, -13766, -9309, -6669, -2826, -1361, -811, -160, -170, 2105, 2717, 3189, 3035, 2831, 2642, 2046]"
bowling,"[-1152, -1804, -2313, -1765, -1361, -1436, -1346, -994, -657, -505, -428, -307, -280, -124, -194, -202, -447, -876, -2078, -3924, -3924, -3924, -2752, -1717, -1060, -591, -199, 12, 83, 173, 206, 193, 204, 209, 127, 121, 79, 29, 22, -189, -125, -478, -385, -663, -729, -727, -694, -574, -510, -408, -410, -385, -382, -377, -358, -330, -345, -373, -385, -420]","[-418, -713, -853, -413, -796, -372, -516, -351, -5, -66, 55, 147, 61, 114, 222, 39, 180, -97, -814, -846, -15, -182, -199, -191, -250, -333, -179, -170, -64, -6, -9, 23, 45, 14, 13, 14, 76, 12, 252, 203, 263, 480, 375, 512, 446, 481, 369, 339, 312, 242, 234, 194, 173, 194, 181, 153, 234, 252, 234, 205]","[288, -366, -1943, -2731, -2465, -1753, -1288, -1360, -781, -551, -339, -236, -312, -394, -413, -500, -934, -1913, -3355, -3924, -3924, -1948, -848, -634, -317, 132, 171, 195, 239, 219, 275, 262, 229, 179, 137, 113, 52, -88, -210, -365, -525, -728, -646, -884, -813, -770, -746, -756, -643, -569, -401, -356, -327, -311, -301, -308, -285, -262, -253, -250]","[3703, 10042, 18852, 16836, 24006, 12760, 11991, 13509, 1623, -2613, 3528, 3582, -1399, -1792, -3356, -4106, -1613, -8015, -6957, -5775, -8605, -8903, -10658, -13235, -8497, -5155, -2829, -1395, -99, -651, -640, -193, 720, 878, 1787, 1435, 3319, 3461, 4282, 173, 4508, -1091, 2146, 2745, 4561, 6894, 8624, 12820, 13009, 9750, 4857, 2347, 2539, 3154, 3151, 3775, 2588, -1094, -2448, -2277]","[-6543, -25000, -25000, -25000, -25000, -21198, -24372, -23815, -11672, -8738, -8180, -9210, -8127, -4437, 1051, 4186, 8691, 14833, 25000, 25000, 25000, 25000, 25000, 17906, 13633, 10007, 5827, 5029, 4278, 2208, 2082, 123, -1634, -2910, -3428, -5263, -6686, -10461, -11243, -13700, -14935, -14188, -12302, -11838, -11319, -11942, -12002, -10200, -9418, -5174, -2582, -3423, -3332, -3781, -3418, -1812, 1250, 2401, 3279, 4084]","[-7387, -8127, -4354, -2776, 6031, 3867, 5969, 6325, 2011, -696, 1292, 3920, 2912, 1109, 1632, 1982, 1533, 3104, 2834, -3229, -161, 617, 1625, 2867, 5339, 5207, 3384, 2553, 910, 347, -491, -1020, -768, -1274, -2057, -3446, -3788, -4702, -6208, -8532, -9495, -13299, -14275, -14904, -13085, -10230, -6282, -1203, 3145, 2325, 878, 774, 1416, 2212, 3044, 2262, 578, -672, -766, -35]"
bowling,"[-1755, -3054, -3036, -1407, -1421, -755, -590, -430, -375, -248, -190, -209, -231, -220, -332, -339, -655, -1287, -2423, -3571, -3924, -3709, -2174, -1622, -1138, -750, -413, -124, -3, 102, 143, 177, 169, 180, 123, 225, 78, 196, 78, 106, -5, -37, -190, -539, -418, -765, -750, -775, -680, -554, -498, -491, -476, -481, -433, -419, -437, -466, -481, -476]","[-1211, -1421, -1179, 107, -622, -376, -113, -139, 26, 98, 95, 177, 236, 190, 93, 24, 75, -397, -998, -635, 489, 44, 38, 144, -40, -2, -153, -58, -79, -108, -43, -2, 8, -5, 50, 39, 102, 210, 212, 253, 396, 284, 283, 395, 526, 489, 447, 430, 231, 263, 273, 248, 210, 175, 142, 156, 136, 121, 94, 90]","[-160, -1552, -3924, -2437, -1186, -1540, -912, -635, -476, -395, -305, -190, -278, -289, -361, -478, -896, -1575, -2009, -2102, -1749, -1062, -685, -486, -352, -249, -35, 6, 125, 166, 198, 182, 182, 168, 139, 115, 30, 15, -79, -266, -386, -452, -484, -673, -619, -489, -577, -535, -528, -520, -432, -353, -312, -271, -234, -169, -136, -93, -79, -59]","[12791, 21910, 20296, 15945, 14603, 12231, 1942, 1945, 2534, -775, -3164, -755, -2161, -3157, -2420, -1842, -982, -2058, -4746, -48, -6005, -5485, -2987, -10289, -7789, -5594, -1287, 36, -2069, -1878, -1123, -2334, -1587, -971, -775, -303, 1337, 635, 2027, 4213, 2960, 2311, 4469, -534, -1681, 70, 2249, 4731, 8636, 11436, 8621, 3767, 379, 459, 1794, 4186, 3511, 1971, 997, 436]","[-21200, -25000, -25000, -17085, -19620, -17915, -9951, -8299, -10411, -9494, -4536, -3531, -4024, -3228, 146, 4040, 10393, 16914, 25000, 25000, 25000, 25000, 25000, 22689, 16451, 12643, 11597, 9070, 7146, 6369, 4170, 2647, 1393, 271, -2143, -3810, -6265, -6370, -8873, -12536, -13558, -14158, -14809, -16159, -11223, -9945, -11944, -11589, -10997, -9318, -6086, -4126, -3006, -1785, -431, 1149, 1247, 1685, 1411, 1713]","[1142, 3986, 944, -271, 7152, 5738, -170, 238, 1623, -523, -1087, -727, 1535, 4121, 5839, 4832, 4235, 6248, 973, -4615, -4648, 2533, 1270, 0, 3707, 5349, 6093, 4779, 2449, 1042, -112, -1366, -2151, -2848, -3930, -4601, -5421, -6794, -7365, -6721, -7697, -8391, -9064, -12598, -14165, -13277, -10290, -7197, -3807, -1592, -2030, -2797, -2662, -1853, -717, 862, 1217, 1225, 1131, 1167]"
reload,"[-1392, -3248, -787, 0, 298, 937, 1476, 1379, 1101, -952, -3231, -828, -429, 158, -258, -118, -26, -120, -98, -34, -23, -52, -30, -48, -32, -43, -65, -42, 9, 6, -17, -7, 3, -22, 9, 25, 18, -7, 2, -18, -22, 6, 2, 31, 13, -14, -3, -9, -18, -10, -9, -9, 0, -13, -9, -22, -29, -18, -11, -12]","[1431, -214, -731, 0, 632, 1318, 91, -673, -1336, -1154, 435, 1723, 150, 278, 716, 528, 518, 526, 449, 495, 476, 537, 448, 523, 513, 429, 517, 463, 443, 488, 536, 517, 548, 552, 490, 487, 510, 509, 529, 466, 460, 454, 489, 489, 506, 483, 533, 501, 531, 497, 485, 471, 498, 506, 503, 464, 520, 508, 473, 539]","[598, 2, 47, 0, 1856, 350, 276, 747, -33, -662, -169, 756, 938, -110, 285, 104, 18, 142, 84, 26, 1, 60, 14, 40, -1, 9, 4, -78, -51, 0, 26, 1, -64, -74, -65, -31, 4, -3, -63, -71, -60, -14, 47, -2, -24, -58, -112, -92, -35, -44, -39, -32, -40, -49, -84, -85, -73, -56, -54, -57]","[-17840, -21712, -17422, 0, -11980, 1557, -4416, 5687, 12764, 3639, 19355, 25000, 12987, 9299, 7022, 1341, 2321, 782, 2150, 943, 2072, 1643, 248, 1995, -969, -1103, 2628, 981, 1278, 1466, -347, 325, 525, -185, 47, 331, -405, 498, -126, 95, 302, -88, -485, 440, -135, 1607, 1409, -355, -60, 138, 311, -57, 50, 505, 298, 317, -704, 99, 876, 205]","[8846, 3878, -1226, 0, 6394, -10380, -3511, -613, -4306, 753, 14836, 9707, -4317, 1349, 4477, -2643, 1280, 2141, 383, -369, 810, 360, 560, 283, 130, -48, -632, -744, 289, 972, 177, -1052, -789, -514, 59, 576, 444, -509, -823, 27, 464, 1057, 158, -513, -593, -936, -721, 122, 257, -86, 168, 30, -451, -496, -486, -127, -35, -18, 90, -198]","[5999, 19497, 12179, 0, -20705, -7474, 4404, 9040, -6253, -20642, -23074, 9797, 6354, 2451, -517, 2024, 569, 75, 1740, 292, 461, 706, 411, 391, 200, 115, 967, 1144, 1206, 631, -94, -610, -366, 363, 733, 221, -173, -28, 229, 360, 450, -25, -283, -311, -559, -508, -308, -181, -60, 213, 64, -137, -440, -215, -97, -228, -125, -11, -59, -3]"
reload,"[-1663, -3177, -3177, 3522, 3285, 1774, 1633, -543, 0, -679, 27, -19, -90, -77, -24, -165, -117, -152, -77, -85, 1, -26, -59, 27, -83, -21, -95, -100, -115, -107, -40, -14, -1, 0, -74, -66, -80, -78, -60, -38, -2, -14, -19, -22, -39, -25, -23, 78, 22, -23, -39, -78, -85, -61, -60, -33, -38, -47, -48, -44]","[1134, 31, 31, -733, -1112, -295, -1292, -1323, 0, 472, -648, 393, 34, 272, 268, 314, 407, 539, 577, 538, 638, 461, 602, 500, 568, 537, 458, 435, 386, 420, 473, 538, 513, 496, 498, 546, 502, 540, 510, 456, 546, 453, 464, 473, 454, 392, 411, 478, 601, 586, 570, 493, 499, 469, 529, 509, 507, 483, 440, 479]","[568, 151, 151, 30, 273, 388, 972, -721, 0, 868, 832, 376, 486, 548, 338, 325, 94, 101, 111, 124, 55, -16, -4, -86, -5, -78, -79, -22, -37, -35, -35, -17, -15, -59, -33, -45, -91, -72, -80, -110, -131, -128, -141, -140, -112, -137, -101, -114, -40, -1, -42, -65, -61, -79, -43, -65, -73, -65, -47, -69]","[-25000, 5407, 5407, -16366, -12386, 4828, 4577, -7811, 0, 534, 5502, 8155, 6230, 12909, 9929, 11339, 9898, 6294, 4085, 2577, 2703, 2062, 1555, -593, 1602, 769, -158, 701, 547, -124, 1102, 1326, 1619, 2128, 1771, 1632, 1464, 917, 582, 1070, -377, -1239, -480, -1414, -1846, -122, 390, 624, -441, 651, 467, 1602, -260, 88, -583, -193, 215, 287, 340, 846]","[8958, 2535, 2535, 2076, -15438, 4455, -116, -6977, 0, -1050, 1300, -575, 2040, -598, -1164, 659, -489, 1677, 1248, 261, -749, -31, -797, 361, 502, -34, 1346, 1638, 1036, 487, 99, 1065, 628, 636, 293, -267, -241, -275, -910, -1286, -1713, -2054, -1811, -1887, -1702, -1087, -875, -783, 224, -422, -922, -607, -528, 122, 197, -393, -19, -212, -196, -237]","[-1504, 20339, 20339, -1596, -16512, 2586, -10477, -25000, 0, 6006, 1328, -35, 1674, 1042, 308, 337, -1245, -238, 1059, -37, 821, 322, 113, -317, 652, 1395, 1165, 1256, 939, 274, 45, 173, 379, 111, 3, 587, 293, 257, 595, 169, -166, 117, -222, 29, 791, 761, -78, -1624, -2127, -925, -5, 492, 703, 54, -158, -228, 61, 76, -73, -250]"
reload,"[-1640, -1562, -247, 2330, 658, 816, 433, 481, 442, 467, 616, 498, 289, 145, -445, -1876, -533, -147, -149, -32, -78, -58, -21, -45, -10, 9, 12, -1, 6, -8, 0, 11, -19, -19, -8, 25, 3, 21, 12, 1, 25, 21, 31, 39, 17, 27, 30, 41, 40, 31, 44, 42, 36, 39, 30, 25, 22, 9, 24, 28]","[171, -85, 278, -564, -142, 93, 384, -13, -27, 51, -180, -16, 77, -162, -160, 738, 1248, 1004, 168, 485, 540, 517, 579, 466, 459, 482, 523, 534, 512, 514, 503, 467, 498, 485, 479, 494, 511, 519, 525, 516, 469, 468, 472, 469, 470, 483, 473, 504, 499, 494, 495, 509, 487, 501, 513, 485, 461, 492, 485, 495]","[600, 379, 207, -167, 374, -303, 120, 328, 429, 359, 377, 452, 490, 195, -105, 244, -606, -39, 261, -34, 38, -2, -38, -3, -65, -51, 23, 51, 31, 34, 20, 8, 41, 37, 39, 41, 93, 59, 39, 20, 9, 26, 44, 42, 57, 61, 81, 61, 59, 52, 23, 9, 0, 5, 25, 33, 33, 44, 50, 60]","[-21236, -16138, -18763, -3299, -13138, 1869, 1651, 6703, 7729, 9683, 12739, 18433, 13852, 13836, 21367, 20270, 4786, -1239, -2929, 1542, -791, 1108, -816, -489, 521, -299, -819, -610, -77, -279, -894, -566, -355, -129, -157, -415, 193, -560, -140, -1284, -1212, -475, -399, 498, 701, 789, 878, -21, 379, 335, 759, -518, -170, 413, -310, -402, -82, -118, -57, -90]","[5193, -459, -7691, -8088, -3441, -2611, -643, 392, -1504, -3736, 159, 1707, -3734, -6286, 385, -4973, -6444, 4692, -1071, -438, 54, -1189, -602, -442, -754, 411, 263, -249, -164, 74, -399, -64, 43, -205, -28, 212, -15, -842, -331, -500, -267, 184, 19, 240, 70, 131, -90, -228, 196, -313, -396, -280, -222, 180, 144, 9, 106, 249, 142, 315]","[6302, 9550, 2360, 5710, -11664, -6865, -421, 5212, 5154, 4694, 4224, 2285, -1992, -7467, -14223, -15642, -9962, 2889, 2212, 222, -87, 393, 380, 959, 712, 432, 183, 448, 454, 192, 573, 493, 94, 476, 482, 334, 202, 52, 358, 486, 772, 198, 255, 429, 285, 197, 69, -272, -14, -138, -152, -198, -131, -199, -198, 119, -75, -115, -115, -165]"
volley,"[-182, 309, -2199, -2323, -1683, -1428, -1172, -1080, -1019, -1098, -1295, -1589, -1875, -1988, -1920, -1365, -899, -343, -114, 122, 230, 191, 177, 184, 127, 125, 14, 46, -151, 22, -233, 47, -97, -145, -130, -327, -323, -358, -424, -483, -506, -499, -508, -504, -473, -462, -471, -448, -457, -432, -423, -429, -428, -422, -433, -425, -424, -416, -420, -435]","[-1518, -2371, -1001, 710, 793, 731, 443, 527, 379, 233, 379, 756, 691, 321, -314, -793, -892, -924, -657, -487, -186, 81, 257, 252, 284, 265, 217, 174, 320, 232, 429, 479, 385, 525, 594, 416, 660, 519, 505, 499, 464, 509, 462, 438, 392, 366, 302, 271, 192, 185, 208, 209, 216, 221, 235, 232, 220, 197, 220, 231]","[319, -184, 195, 249, 88, -180, -82, -111, -108, -106, -161, -165, -147, 2, 189, 304, 250, 137, 97, 62, -34, -66, -111, -130, -69, -92, -40, -20, -62, -82, -85, -161, -138, -134, -149, -50, -56, -43, -54, -69, -125, -208, -223, -143, -131, -137, -161, -159, -111, -106, -115, -114, -117, -126, -108, -110, -100, -112, -113, -108]","[-3934, 500, 653, -227, -307, -125, 1386, 1483, 569, 1919, 527, 1914, -256, 199, -905, -344, -1251, -1320, 20, -601, 1, -1349, 216, 140, 761, 380, -151, 1229, 2168, 2267, 2311, -907, -2014, -2080, -4583, -2768, -1631, -934, 1470, 3823, 4610, 3613, 2004, -247, 418, 955, 1141, 247, -263, 140, 225, -86, -273, -118, -306, -65, -128, 27, 189, -260]","[-3614, -2521, 1050, -5552, -5522, -2812, -563, -911, 322, 636, 2733, 3751, 5305, 6881, 5615, 4762, 3272, 1302, 1995, 257, 256, 238, 35, 1094, 1216, 1269, 559, 1036, 1293, 384, 1826, -2611, 865, -2563, -250, -482, -648, -113, 1406, 1387, -18, -1528, -1535, -1412, -577, 453, 35, -311, -171, -354, 54, 319, -20, 80, 96, 70, 120, 59, 67, -70]","[4071, -15348, -25000, -25000, -17737, -12088, -7296, -3688, -211, 2413, 4789, 8472, 15861, 20680, 23499, 22754, 17937, 14204, 9848, 7676, 3115, 568, 567, -325, 261, -442, -990, -1268, -2338, -3102, -4079, -3141, -4799, -6017, -6012, -8775, -8959, -8398, -8675, -7934, -6022, -5331, -3705, -2619, -1880, -888, -291, 782, 1152, 656, 637, 376, 332, 507, 411, 508, 420, -161, -90, 93]"
