gesture,ax,ay,az,gx,gy,gz,player
basket,"[-124, -477, -1449, -3505, -2948, -1671, -1096, -898, -1100, -1077]","[-466, -630, -567, -364, 2218, 1684, 1127, 896, 736, 730]","[-1281, -1493, -1772, -636, 1588, 1693, 1395, 1142, 907, 548]","[654, 3608, 2914, 19437, -1805, 13347, 1257, -321, -4234, -5013]","[-135, 21188, 25000, 25000, 25000, 8080, -7546, -12572, -17203, -21863]","[1197, -11507, -21197, -20027, -13497, -4659, 8796, 10715, 13821, 14500]",wanlin
basket,"[-272, -911, -3324, -3229, -1929, -1229, -1090, -1134, -1136, -1110]","[-659, -760, -946, 2608, 898, 1331, 736, 649, 773, 789]","[-1566, -2040, -1374, 1591, 1373, 1252, 1096, 691, 399, 38]","[1637, 2268, 17213, -2099, 11036, 8362, -283, -495, -3261, -7405]","[12074, 25000, 25000, 25000, 172, -4434, -11185, -14684, -19426, -22948]","[-4899, -22076, -25000, -11819, -2911, 8745, 10059, 14117, 14732, 17645]",wanlin
basket,"[-372, -1057, -2167, -3924, -3653, -1231, -871, -991, -1056, -1056]","[-662, -704, -656, -78, 2679, 1373, 1396, 706, 752, 923]","[-1503, -1633, -2272, -1228, 1550, 1276, 1349, 1088, 640, 303]","[5471, 5459, 1384, 25000, -2973, 10723, 7935, -6146, 76, -5114]","[88, 25000, 25000, 25000, 25000, -5894, -5767, -11729, -17385, -19027]","[-257, -17375, -25000, -23769, -12429, 467, 10930, 9592, 13272, 16627]",wanlin
basket,"[-348, -960, -2250, -3924, -2196, -1367, -1122, -884, -945, -847]","[-635, -684, -572, 376, 2065, 1406, 1275, 818, 751, 780]","[-1519, -1829, -2281, -363, 1295, 1480, 1192, 945, 772, 599]","[1867, 3996, 3557, 25000, -11027, 14109, 2088, 666, -1200, -2276]","[600, 25000, 25000, 25000, 21831, 7903, -6291, -10431, -12730, -13751]","[-531, -19796, -25000, -11729, -12579, -2385, 7401, 8664, 9925, 11750]",wanlin
basket,"[-223, -582, -2263, -3924, -3073, -1318, -1130, -1025, -1022, -1032]","[-544, -841, -817, 847, 1003, 1295, 984, 729, 928, 1077]","[-1231, -2144, -2248, 487, 1544, 888, 1009, 762, 495, 225]","[-5398, -2177, -7928, 25000, -595, 17310, 8084, -833, 2486, -1778]","[-1252, 25000, 25000, 25000, 14366, 146, -3785, -9362, -12079, -13572]","[-4097, -20126, -24802, -9114, -6863, 3910, 8754, 9391, 11894, 16543]",wanlin
basket,"[-1755, -3924, -2519, -1348, -1005, -1127, -1067, -1012, -1042, -954]","[-312, -190, 1771, 892, 1259, 529, 622, 770, 852, 694]","[-1784, -614, 1176, 796, 867, 920, 612, 343, 192, -16]","[-1438, 21330, -6328, 15104, 6176, -4052, 1148, 878, -3733, -8400]","[25000, 25000, 23877, 1973, 321, -3888, -11474, -12916, -13329, -16980]","[-25000, -20592, -12159, -1110, 7581, 3901, 8075, 12485, 14271, 16338]",wanlin
basket,"[-2033, -3924, -2795, -948, -928, -902, -898, -920, -909, -809]","[-476, 936, 2301, 1069, 1294, 717, 810, 1006, 831, 672]","[-1591, -691, 1178, 118, 592, 445, 320, 65, -165, -300]","[-2069, 25000, -286, 20859, 9247, -10062, 86, -4179, -10290, -9043]","[25000, 25000, 20470, -4554, -41, -7043, -12074, -15654, -16846, -18804]","[-25000, -20780, -4387, 9499, 14538, 8023, 13212, 15422, 17089, 18793]",wanlin
basket,"[-278, -989, -2505, -3924, -2949, -1072, -1022, -1031, -977, -965]","[-598, -620, -952, 1971, 1018, 983, 1022, 607, 715, 786]","[-1507, -1821, -1674, 573, 1437, 638, 841, 646, 408, 222]","[2935, 4014, -130, 21549, -5752, 13642, 4993, -6333, -688, -3096]","[3209, 25000, 25000, 25000, 13183, -1751, -3402, -10202, -14128, -13814]","[-1908, -22172, -25000, -14700, -5123, 8036, 11162, 8428, 11870, 15909]",wanlin
basket,"[-450, -939, -2588, -3924, -3206, -1179, -1283, -1087, -1081, -951]","[-601, -713, -909, 1180, 2037, 1454, 1328, 815, 758, 752]","[-1430, -1794, -2433, -514, 967, 350, 765, 473, 344, 115]","[4336, 2630, -7118, 25000, -1769, 9870, -437, -3198, -2919, -9212]","[249, 25000, 25000, 25000, 19772, 8742, 3830, -9446, -11306, -11673]","[-1115, -18968, -25000, -16090, -8328, 1475, 6572, 8433, 9612, 9984]",wanlin
basket,"[-1871, -3924, -2928, -1355, -1069, -1025, -948, -962, -940, -833]","[-272, 282, 1642, 551, 675, 325, 499, 741, 780, 575]","[-1344, 397, 2635, 1697, 1441, 994, 801, 560, 323, 138]","[-5082, 22438, -13402, 8401, 4265, 282, 4196, 1737, -4907, -7039]","[25000, 25000, 24858, -1367, -6630, -10978, -11526, -12987, -14812, -15785]","[-17712, -14341, -7304, 2882, 5380, 7175, 7690, 10099, 12237, 12488]",wanlin
